timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,170.57,171.31,167.89,168.38,168.38,2231416,0.0000,1.0
2022-11-25,171.48,172.44,170.58,171.82,171.82,535154,0.0000,1.0
2022-11-23,170.75,171.46,170.0,170.49,170.49,1068167,0.0000,1.0
2022-11-22,170.67,170.95,169.12,170.82,170.82,1541516,0.0000,1.0
2022-11-21,168.13,170.95,167.735,169.87,169.87,1875221,0.0000,1.0
2022-11-18,167.55,168.25,166.0,167.5,167.5,1627459,0.0000,1.0
2022-11-17,164.61,165.845,162.67,165.65,165.65,1365637,0.0000,1.0
2022-11-16,163.62,166.21,163.52,165.51,165.51,1492766,0.0000,1.0
2022-11-15,166.94,167.66,162.0,163.62,163.62,2053086,0.0000,1.0
2022-11-14,166.49,168.19,165.17,165.29,165.29,1562773,0.0000,1.0
2022-11-11,169.64,169.64,164.83,166.6,166.6,1994618,0.0000,1.0
2022-11-10,164.14,168.615,163.3,168.39,168.39,2185614,0.0000,1.0
2022-11-09,161.69,162.33,158.96,159.31,159.31,1199460,0.0000,1.0
2022-11-08,162.4,163.92,160.32,161.73,161.73,1333949,0.0000,1.0
2022-11-07,160.47,163.73,159.54,163.01,163.01,1094337,0.0000,1.0
2022-11-04,160.31,161.32,157.285,160.37,160.37,1167653,0.0000,1.0
2022-11-03,157.88,160.7,156.925,159.03,159.03,1476704,0.0000,1.0
2022-11-02,161.68,164.16,159.06,159.06,159.06,1580778,0.0000,1.0
2022-11-01,162.59,163.66,161.32,162.24,162.24,1321877,0.0000,1.0
2022-10-31,162.85,164.29,161.35,161.49,161.49,1790885,0.0000,1.0
2022-10-28,155.78,163.97,155.78,163.74,163.74,2008284,0.0000,1.0
2022-10-27,155.55,156.45,154.23,155.23,155.23,1732949,0.0000,1.0
2022-10-26,153.83,156.12,152.57,154.44,154.44,1913108,0.0000,1.0
2022-10-25,155.95,155.95,152.09,153.11,153.11,2290987,0.0000,1.0
2022-10-24,156.15,157.5949,155.38,156.45,156.45,1663796,0.0000,1.0
2022-10-21,153.03,155.2,150.78,154.93,154.93,2071383,0.0000,1.0
2022-10-20,159.0,159.0,154.07,154.56,154.56,1973905,0.0000,1.0
2022-10-19,156.24,157.67,155.385,156.97,156.97,1615000,0.0000,1.0
2022-10-18,159.6,160.11,156.29,157.49,157.49,1609770,0.0000,1.0
2022-10-17,154.33,156.84,154.33,155.88,155.88,1514948,0.0000,1.0
2022-10-14,157.62,158.355,151.69,151.9,151.9,1875272,0.0000,1.0
2022-10-13,149.02,156.65,148.135,155.99,155.99,1997070,0.0000,1.0
2022-10-12,153.47,154.27,151.96,151.99,151.99,1593235,0.0000,1.0
2022-10-11,153.79,154.92,151.71,152.36,152.36,1342843,0.0000,1.0
2022-10-10,153.26,155.035,152.65,153.99,153.99,1387322,0.0000,1.0
2022-10-07,156.6,156.83,151.39,152.19,152.19,3057230,0.0000,1.0
2022-10-06,158.26,159.3599,156.99,157.32,157.32,1705077,0.5900,1.0
2022-10-05,158.06,160.19,157.19,159.23,158.635068077,1300061,0.0000,1.0
2022-10-04,156.24,158.92,155.93,158.71,158.117010956,1576506,0.0000,1.0
2022-10-03,150.78,155.72,149.94,154.88,154.301321006,2302431,0.0000,1.0
2022-09-30,150.42,151.73,149.14,149.29,148.732206953,2357140,0.0000,1.0
2022-09-29,150.58,151.09,148.74,150.65,150.087125578,1623416,0.0000,1.0
2022-09-28,150.51,151.66,148.68,150.95,150.386004686,1884837,0.0000,1.0
2022-09-27,150.69,151.98,148.11,149.18,148.622617947,1455595,0.0000,1.0
2022-09-26,151.02,151.81,148.55,149.19,148.632580584,1906976,0.0000,1.0
2022-09-23,150.55,151.64,149.29,151.38,150.814398075,1275775,0.0000,1.0
2022-09-22,153.18,153.48,150.32,151.21,150.645033247,1345546,0.0000,1.0
2022-09-21,156.54,158.64,153.56,153.6,153.026103477,1389410,0.0000,1.0
2022-09-20,155.74,156.08,153.5,155.47,154.889116585,1192199,0.0000,1.0
2022-09-19,155.26,157.25,154.87,157.22,156.632578051,1235645,0.0000,1.0
2022-09-16,156.36,157.0,155.0801,156.34,155.755866,2265278,0.0000,1.0
2022-09-15,159.17,159.17,156.33,156.89,156.303811032,1505079,0.0000,1.0
2022-09-14,160.61,161.22,157.84,158.81,158.216637325,2057718,0.0000,1.0
2022-09-13,164.8,165.32,160.21,160.49,159.890360332,1377245,0.0000,1.0
2022-09-12,167.13,168.035,166.25,167.39,166.764579824,1346677,0.0000,1.0
2022-09-09,166.28,167.625,165.725,166.76,166.136933696,1030560,0.0000,1.0
2022-09-08,164.93,166.77,164.43,166.27,165.648764486,1186535,0.0000,1.0
2022-09-07,162.01,165.88,161.88,165.56,164.941417263,1286174,0.0000,1.0
2022-09-06,160.93,162.67,160.02,161.57,160.966325122,1546683,0.0000,1.0
2022-09-02,163.88,164.51,159.36,160.27,159.671182319,1147451,0.0000,1.0
2022-09-01,160.82,162.63,159.56,162.57,161.962588816,1193449,0.0000,1.0
2022-08-31,163.1,164.69,161.12,161.37,160.767072383,1994284,0.0000,1.0
2022-08-30,164.66,164.945,162.1,162.54,161.932700906,1298639,0.0000,1.0
2022-08-29,164.65,165.735,163.43,164.35,163.735938193,992121,0.0000,1.0
