timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,128.11,128.58,124.12,124.64,124.64,2774046,0.0000,1.0
2022-11-25,128.88,129.82,128.52,129.04,129.04,882383,0.0000,1.0
2022-11-23,128.59,129.12,127.24,128.0,128.0,2349904,0.0000,1.0
2022-11-22,128.15,128.67,127.32,128.6,128.6,1757291,0.0000,1.0
2022-11-21,126.64,127.88,126.23,127.63,127.63,2153620,0.0000,1.0
2022-11-18,128.0,128.34,125.9,126.76,126.76,3176446,0.0000,1.0
2022-11-17,126.15,127.22,124.67,127.15,127.15,2249472,1.4900,1.0
2022-11-16,131.445,131.445,128.41,128.74,127.248841729,3208298,0.0000,1.0
2022-11-15,132.52,133.4799,129.77,131.22,129.700116604,2515050,0.0000,1.0
2022-11-14,132.55,133.91,130.94,131.03,129.51231732,2615354,0.0000,1.0
2022-11-11,129.59,133.49,129.15,132.98,131.439731032,3429332,0.0000,1.0
2022-11-10,127.66,129.26,126.8701,129.15,127.654092817,3159731,0.0000,1.0
2022-11-09,125.29,125.68,123.72,123.83,122.395712842,1782368,0.0000,1.0
2022-11-08,125.36,126.64,124.04,125.35,123.898107121,1824829,0.0000,1.0
2022-11-07,124.63,125.15,123.3,124.68,123.235867537,1914378,0.0000,1.0
2022-11-04,124.46,125.37,123.16,124.84,123.394014303,2320755,0.0000,1.0
2022-11-03,121.98,124.28,121.12,122.85,121.427063899,2006927,0.0000,1.0
2022-11-02,125.04,126.81,122.65,122.86,121.436948072,2561872,0.0000,1.0
2022-11-01,126.77,127.1,124.5746,125.3,123.848686256,2131855,0.0000,1.0
2022-10-31,126.1,126.45,125.36,125.79,124.333010728,4326370,0.0000,1.0
2022-10-28,122.98,126.67,122.51,126.6,125.133628731,3812614,0.0000,1.0
2022-10-27,123.49,124.45,122.0267,122.8,121.377643035,3716587,0.0000,1.0
2022-10-26,119.59,123.29,119.59,122.7,121.278801306,4629026,0.0000,1.0
2022-10-25,113.51,118.6,113.15,118.5,117.127448694,5014713,0.0000,1.0
2022-10-24,117.53,119.14,117.19,118.38,117.008838619,3394104,0.0000,1.0
2022-10-21,113.15,116.94,113.05,116.81,115.457023476,3342468,0.0000,1.0
2022-10-20,113.98,115.65,112.89,113.11,111.799879509,3142888,0.0000,1.0
2022-10-19,115.1,115.68,113.24,114.2,112.877254353,2578747,0.0000,1.0
2022-10-18,115.74,116.4,114.45,115.95,114.606984608,2564178,0.0000,1.0
2022-10-17,115.31,115.715,113.29,113.86,112.541192475,3003664,0.0000,1.0
2022-10-14,114.26,115.16,112.85,113.63,112.313856499,3460027,0.0000,1.0
2022-10-13,107.5,114.83,107.07,114.26,112.936559391,4772741,0.0000,1.0
2022-10-12,108.57,109.7,108.245,108.95,107.688063588,2751148,0.0000,1.0
2022-10-11,108.495,110.45,107.95,108.84,107.579337687,2895358,0.0000,1.0
2022-10-10,108.53,109.12,107.19,108.46,107.203739117,2582369,0.0000,1.0
2022-10-07,110.37,110.76,107.085,107.52,106.274626866,4296470,0.0000,1.0
2022-10-06,114.35,114.94,110.21,111.12,109.832929104,4328135,0.0000,1.0
2022-10-05,114.34,116.1,113.42,115.17,113.836019123,2560131,0.0000,1.0
2022-10-04,114.74,115.9799,114.69,115.62,114.280806903,2802675,0.0000,1.0
2022-10-03,111.69,114.02,110.91,113.22,111.90860541,2915965,0.0000,1.0
2022-09-30,112.0,113.15,110.39,110.5,109.220110386,3112788,0.0000,1.0
2022-09-29,112.96,113.4,111.6,112.3,110.999261505,2315860,0.0000,1.0
2022-09-28,113.51,114.71,113.06,114.28,112.956327736,3677791,0.0000,1.0
2022-09-27,114.13,114.13,111.42,112.41,111.107987407,3324265,0.0000,1.0
2022-09-26,112.76,113.81,112.23,113.0,111.691153607,3598144,0.0000,1.0
2022-09-23,113.73,114.17,111.62,112.99,111.681269434,3683736,0.0000,1.0
2022-09-22,114.16,115.05,113.43,114.14,112.817949316,3656931,0.0000,1.0
2022-09-21,116.83,118.03,114.8,114.81,113.480188899,3735821,0.0000,1.0
2022-09-20,115.3,117.2,114.75,116.52,115.170382463,4155161,0.0000,1.0
2022-09-19,116.01,116.91,115.28,116.64,115.288992537,3190303,0.0000,1.0
2022-09-16,114.7,117.31,114.11,116.61,115.259340019,7261931,0.0000,1.0
2022-09-15,117.82,118.74,116.07,116.42,115.071540734,4052770,0.0000,1.0
2022-09-14,120.585,120.585,116.31,117.53,116.168683924,5670514,0.0000,1.0
2022-09-13,122.11,124.6,120.225,120.47,119.074630752,7765463,0.0000,1.0
2022-09-12,124.32,126.52,123.97,124.25,122.810848103,18971902,0.0000,1.0
2022-09-09,121.27,123.285,119.87,123.1,121.674168221,26220314,0.0000,1.0
2022-09-08,118.39,119.79,117.16,119.27,117.888530006,25741436,0.0000,1.0
2022-09-07,116.64,121.245,116.02,120.55,119.153704136,37568710,0.0000,1.0
2022-09-06,121.36,121.5,115.98,116.6,115.249455846,28709647,0.0000,1.0
2022-09-02,126.03,126.37,121.15,121.65,120.240963153,12321035,0.0000,1.0
2022-09-01,124.3,126.39,123.67,125.63,124.174863961,31014352,0.0000,1.0
2022-08-31,124.85,126.46,123.61,124.35,122.909689832,31642145,0.0000,1.0
2022-08-30,126.89,127.74,123.0301,124.86,123.413782649,34478535,0.0000,1.0
2022-08-29,128.79,128.79,125.27,126.44,124.975481965,50064338,0.0000,1.0
2022-08-26,143.64,144.01,128.68,129.14,127.644208644,38384100,0.0000,1.0
