timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,325.0,329.18,324.91,326.53,326.53,560679,0.0000,1.0
2022-11-25,321.57,329.22,321.57,327.08,327.08,228163,0.0000,1.0
2022-11-23,317.0,320.71,316.42,320.58,320.58,473994,0.0000,1.0
2022-11-22,319.77,319.795,315.0,316.55,316.55,578987,0.0000,1.0
2022-11-21,317.75,319.055,315.28,316.89,316.89,690749,0.0000,1.0
2022-11-18,317.0,320.12,314.62,317.75,317.75,608598,0.0000,1.0
2022-11-17,311.35,318.499,310.57,312.1,312.1,444897,0.0000,1.0
2022-11-16,316.07,317.6717,310.63,312.82,312.82,387296,0.0000,1.0
2022-11-15,316.94,318.54,305.31,312.03,312.03,878295,0.0000,1.0
2022-11-14,319.57,325.14,313.745,314.68,314.68,558707,0.0000,1.0
2022-11-11,331.28,331.28,307.7,317.5,317.5,748468,0.0000,1.0
2022-11-10,334.23,334.23,322.26,329.69,329.69,428624,0.0000,1.0
2022-11-09,334.21,335.39,325.435,326.8,326.8,486067,0.0000,1.0
2022-11-08,330.0,340.91,330.0,334.97,334.97,391493,0.0000,1.0
2022-11-07,331.56,332.82,323.25,330.88,330.88,430008,0.0000,1.0
2022-11-04,354.26,354.26,324.53,330.55,330.55,762182,0.0000,1.0
2022-11-03,347.7,355.13,345.03,352.95,352.95,327276,0.0000,1.0
2022-11-02,355.67,356.14,349.98,350.34,350.34,423686,0.0000,1.0
2022-11-01,358.0,359.01,352.01,355.97,355.97,447500,0.0000,1.0
2022-10-31,352.48,364.175,352.48,358.86,358.86,672219,0.0000,1.0
2022-10-28,353.94,356.0132,349.29,354.5,354.5,578786,0.0000,1.0
2022-10-27,372.0,372.125,350.93,351.79,351.79,914533,0.0000,1.0
2022-10-26,367.72,374.0,366.55,369.23,369.23,567501,0.0000,1.0
2022-10-25,366.45,371.01,363.34,366.25,366.25,567161,0.0000,1.0
2022-10-24,361.85,368.86,361.47,364.59,364.59,493128,0.0000,1.0
2022-10-21,353.15,362.24,352.09,360.38,360.38,1068912,0.0000,1.0
2022-10-20,353.5,359.74,351.08,354.36,354.36,530189,0.0000,1.0
2022-10-19,358.73,359.79,351.46,353.21,353.21,577339,0.0000,1.0
2022-10-18,357.0,361.03,354.9,359.6,359.6,396552,0.0000,1.0
2022-10-17,354.96,358.02,351.97,352.46,352.46,427476,0.0000,1.0
2022-10-14,360.52,362.75,348.3144,351.86,351.86,516426,0.0000,1.0
2022-10-13,347.45,359.8,345.85,357.19,357.19,341002,0.0000,1.0
2022-10-12,354.38,356.04,350.67,351.0,351.0,285244,0.0000,1.0
2022-10-11,350.53,360.25,349.835,352.69,352.69,455746,0.0000,1.0
2022-10-10,351.57,353.58,345.58,350.45,350.45,292547,0.0000,1.0
2022-10-07,348.48,351.36,342.23,348.76,348.76,545441,0.0000,1.0
2022-10-06,353.27,357.135,351.8,354.07,354.07,410097,0.0000,1.0
