timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,362.36,367.63,353.11,355.49,355.49,574428,0.0000,1.0
2022-11-25,370.43,372.5408,369.15,369.28,369.28,213418,0.0000,1.0
2022-11-23,371.12,382.45,370.81,375.69,375.69,359501,0.0000,1.0
2022-11-22,372.08,374.28,366.115,374.02,374.02,460684,0.0000,1.0
2022-11-21,370.06,376.325,368.14,368.28,368.28,413316,0.0000,1.0
2022-11-18,384.16,384.31,372.135,377.31,377.31,364932,0.0000,1.0
2022-11-17,363.8,379.59,361.2,376.04,376.04,500869,0.0000,1.0
2022-11-16,396.63,399.34,373.73,375.38,375.38,734092,0.0000,1.0
2022-11-15,405.44,409.73,400.46,405.03,405.03,611199,0.0000,1.0
2022-11-14,388.98,396.21,386.18,387.97,387.97,619183,0.0000,1.0
2022-11-11,386.88,402.54,382.01,393.37,393.37,751729,0.0000,1.0
2022-11-10,364.01,388.85,363.82,386.87,386.87,900578,0.0000,1.0
2022-11-09,348.82,352.78,342.35,343.84,343.84,675537,0.0000,1.0
2022-11-08,359.91,363.77,349.67,356.15,356.15,587592,0.0000,1.0
2022-11-07,355.36,356.28,345.45,352.96,352.96,690325,0.0000,1.0
2022-11-04,343.98,353.17,339.26,351.74,351.74,896488,0.0000,1.0
2022-11-03,328.94,341.67,328.2,334.2,334.2,780405,0.0000,1.0
2022-11-02,347.44,355.52,334.35,334.54,334.54,996148,0.0000,1.0
2022-11-01,349.66,353.81,343.47,348.88,348.88,1177466,0.0000,1.0
2022-10-31,341.13,344.63,333.12,339.45,339.45,1048630,0.0000,1.0
2022-10-28,325.27,348.71,320.0103,346.8,346.8,2143857,0.0000,1.0
2022-10-27,339.79,344.145,323.735,329.48,329.48,1160267,0.0000,1.0
2022-10-26,333.47,347.18,329.01,333.33,333.33,851465,0.0000,1.0
2022-10-25,333.38,344.72,333.025,342.16,342.16,798224,0.0000,1.0
2022-10-24,332.2,335.49,321.15,330.99,330.99,649593,0.0000,1.0
2022-10-21,315.18,334.08,313.78,332.83,332.83,798071,0.0000,1.0
2022-10-20,314.91,325.75,313.43,317.44,317.44,536190,0.0000,1.0
2022-10-19,311.03,322.74,307.87,314.83,314.83,576163,0.0000,1.0
2022-10-18,329.34,334.33,310.92,315.6,315.6,638298,0.0000,1.0
2022-10-17,317.96,322.0,313.92,316.17,316.17,763803,0.0000,1.0
2022-10-14,338.24,338.24,308.6,309.2,309.2,901880,0.0000,1.0
2022-10-13,308.74,343.29,301.69,331.96,331.96,1406537,0.0000,1.0
2022-10-12,327.82,329.65,320.56,322.98,322.98,756295,0.0000,1.0
2022-10-11,337.56,339.945,323.37,328.01,328.01,1588585,0.0000,1.0
2022-10-10,360.13,361.97,339.21,344.34,344.34,1190129,0.0000,1.0
2022-10-07,383.89,383.89,357.71,362.6,362.6,1384682,0.0000,1.0
2022-10-06,397.48,410.79,393.1,395.35,395.35,530919,0.0000,1.0
2022-10-05,385.71,404.21,380.96,399.84,399.84,680313,0.0000,1.0
2022-10-04,388.99,397.585,388.82,394.01,394.01,640438,0.0000,1.0
2022-10-03,366.55,380.63,362.68,377.0,377.0,1026296,0.0000,1.0
2022-09-30,362.18,376.78,360.11,363.4,363.4,1287958,0.0000,1.0
2022-09-29,372.97,372.97,360.27,365.4,365.4,882502,0.7500,1.0
2022-09-28,368.62,381.875,366.57,379.33,378.553002868,527878,0.0000,1.0
2022-09-27,381.22,381.22,364.29,372.66,371.896665301,831538,0.0000,1.0
2022-09-26,370.77,378.8,364.23,367.35,366.597541991,887723,0.0000,1.0
2022-09-23,376.56,378.62,360.55,371.24,370.479573945,1465552,0.0000,1.0
2022-09-22,401.24,403.16,380.4,381.71,380.928127816,872521,0.0000,1.0
2022-09-21,412.65,422.15,403.64,403.86,403.032757067,541394,0.0000,1.0
2022-09-20,413.27,416.31,409.0275,410.84,409.998459648,360861,0.0000,1.0
2022-09-19,410.39,422.31,410.0,417.66,416.804489963,515025,0.0000,1.0
2022-09-16,416.81,419.39,407.09,417.96,417.103875461,804355,0.0000,1.0
2022-09-15,426.66,431.4,416.45,418.88,418.021990987,504365,0.0000,1.0
2022-09-14,430.83,431.81,418.9,429.71,428.829807456,502140,0.0000,1.0
2022-09-13,426.9,433.82,420.91,422.33,421.464924211,616304,0.0000,1.0
2022-09-12,449.0,451.84,439.355,446.92,446.00455551,322671,0.0000,1.0
2022-09-09,444.48,454.3,444.48,447.2,446.283981975,473664,0.0000,1.0
2022-09-08,420.96,438.78,417.6401,438.78,437.881229005,433671,0.0000,1.0
2022-09-07,422.75,431.49,415.545,427.19,426.314969275,386884,0.0000,1.0
2022-09-06,424.72,426.9099,415.9,418.89,418.031970504,405866,0.0000,1.0
2022-09-02,432.19,436.09,419.25,424.42,423.550643179,705594,0.0000,1.0
2022-09-01,440.0,441.765,403.405,425.47,424.598492421,1403160,0.0000,1.0
2022-08-31,463.61,468.1864,446.8,453.18,452.251732896,545102,0.0000,1.0
2022-08-30,467.98,470.065,453.62,463.17,462.221269971,547931,0.0000,1.0
2022-08-29,471.89,476.84,460.33,461.76,460.814158132,520847,0.0000,1.0
2022-08-26,509.43,513.0,475.7,476.62,475.643719787,709184,0.0000,1.0
2022-08-25,498.0,514.64,498.0,514.43,513.37627202,552589,0.0000,1.0
2022-08-24,500.54,500.54,492.3748,497.11,496.091749283,262222,0.0000,1.0
2022-08-23,495.5,502.3465,491.87,497.51,496.490929947,246105,0.0000,1.0
2022-08-22,500.0,504.86,490.36,491.64,490.632953707,439812,0.0000,1.0
2022-08-19,518.84,520.78,510.1,511.65,510.601966407,309704,0.0000,1.0
2022-08-18,524.99,534.77,521.06,527.24,526.160032773,361316,0.0000,1.0
2022-08-17,524.15,527.5,510.92,520.5,519.433838591,424285,0.0000,1.0
2022-08-16,534.16,537.99,522.3159,531.41,530.321491192,350479,0.0000,1.0
2022-08-15,527.495,538.71,523.32,536.88,535.780286768,331848,0.0000,1.0
2022-08-12,521.43,530.9777,518.565,527.75,526.66898812,444052,0.0000,1.0
2022-08-11,535.18,541.39,517.255,517.97,516.909020893,419409,0.0000,1.0
2022-08-10,527.29,534.13,512.51,532.01,530.920262188,559741,0.0000,1.0
2022-08-09,522.42,523.7199,502.69,511.06,510.013174928,860248,0.0000,1.0
2022-08-08,530.625,536.55,521.9243,535.52,534.423072511,587598,0.0000,1.0
2022-08-05,524.79,535.94,522.07,532.33,531.239606719,428377,0.0000,1.0
2022-08-04,522.38,537.99,521.39,530.96,529.872412946,591816,0.0000,1.0
2022-08-03,511.06,529.09,499.23,526.12,525.042326915,720664,0.0000,1.0
2022-08-02,494.35,512.0,481.58,505.72,504.684113068,1288582,0.0000,1.0
2022-08-01,461.39,465.5,447.38,462.3,461.353052028,801645,0.0000,1.0
2022-07-29,455.64,469.655,455.64,464.72,463.768095043,465873,0.0000,1.0
2022-07-28,452.6,461.79,440.44,460.11,459.167537894,363629,0.0000,1.0
2022-07-27,433.11,456.4,431.78,451.01,450.086177796,514956,0.0000,1.0
2022-07-26,427.4,428.94,419.61,422.11,421.245374846,357285,0.0000,1.0
2022-07-25,431.9,431.9,414.27,430.28,429.398639902,460724,0.0000,1.0
2022-07-22,447.7,454.24,431.78,436.44,435.546022122,450593,0.0000,1.0
2022-07-21,445.44,457.98,438.43,456.03,455.095895125,463036,0.0000,1.0
2022-07-20,425.6,445.245,424.1725,442.09,441.184448996,444802,0.0000,1.0
2022-07-19,414.48,428.195,414.42,426.24,425.366915199,435519,0.0000,1.0
2022-07-18,417.79,424.68,406.31,409.04,408.202146661,377994,0.0000,1.0
2022-07-15,403.81,412.52,398.22,410.25,409.409668169,403777,0.0000,1.0
2022-07-14,387.04,397.965,379.52,395.98,395.168897993,300211,0.0000,1.0
2022-07-13,374.83,390.7555,372.0,387.45,386.65637034,387980,0.0000,1.0
2022-07-12,393.18,394.95,380.235,385.37,384.580630889,289971,0.0000,1.0
2022-07-11,390.64,395.24,386.65,389.65,388.85186399,350059,0.0000,1.0
2022-07-08,380.23,395.58,378.2,395.48,394.669922163,352395,0.0000,1.0
2022-07-07,378.41,390.305,378.41,386.69,385.897927079,333368,0.0000,1.0
2022-07-06,372.19,374.6,364.79,369.1,368.343957395,382332,0.0000,1.0
2022-07-05,355.69,369.35,348.02,368.76,368.00465383,679474,0.0000,1.0
2022-07-01,379.63,382.55,356.35,364.95,364.202458009,772909,0.0000,1.0
2022-06-30,385.9,394.85,376.0,384.04,383.253355182,545854,0.0000,1.0
2022-06-29,389.15,394.19,383.645,392.41,391.606210569,388375,0.7500,1.0
2022-06-28,418.59,428.59,395.84,397.13,395.560520916,494250,0.0000,1.0
2022-06-27,428.4,428.4,412.19,416.86,415.212546897,418283,0.0000,1.0
2022-06-24,409.26,420.78,406.74,419.41,417.75246916,682905,0.0000,1.0
2022-06-23,404.43,410.61,393.34,399.65,398.070561741,288982,0.0000,1.0
2022-06-22,402.48,413.14,399.435,400.46,398.877360577,427051,0.0000,1.0
2022-06-21,407.15,417.07,405.84,412.84,411.208434153,385643,0.0000,1.0
2022-06-17,388.84,401.0,381.5801,398.56,396.984869479,847365,0.0000,1.0
2022-06-16,403.02,403.02,381.21,387.12,385.590080974,550654,0.0000,1.0
2022-06-15,411.96,425.95,403.09,416.19,414.545194773,386090,0.0000,1.0
2022-06-14,396.37,411.24,394.6,407.16,405.550881818,577923,0.0000,1.0
2022-06-13,407.85,412.19,388.33,389.64,388.100121798,651015,0.0000,1.0
2022-06-10,436.71,439.08,422.57,423.62,421.945831014,381151,0.0000,1.0
2022-06-09,452.69,462.31,443.96,444.08,442.324971995,242938,0.0000,1.0
2022-06-08,465.775,473.62,451.28,457.9,456.090354613,313762,0.0000,1.0
2022-06-07,458.66,476.1725,458.34,473.44,471.568939699,262646,0.0000,1.0
2022-06-06,470.48,475.0,456.23,466.1,464.257947773,234532,0.0000,1.0
2022-06-03,456.39,460.35,449.29,457.46,455.652093517,485650,0.0000,1.0
2022-06-02,443.33,473.04,440.85,472.3,470.43344504,353464,0.0000,1.0
2022-06-01,455.52,457.0,441.59,448.25,446.478491931,463036,0.0000,1.0
2022-05-31,455.56,458.0,440.1231,450.39,448.610034536,685691,0.0000,1.0
2022-05-27,429.38,458.74,429.38,455.85,454.048456323,545262,0.0000,1.0
2022-05-26,401.31,425.24,397.28,421.67,420.003537519,404953,0.0000,1.0
2022-05-25,384.53,408.19,384.53,401.61,400.022815716,370584,0.0000,1.0
2022-05-24,410.76,410.76,387.36,388.44,386.904864263,588262,0.0000,1.0
2022-05-23,414.5,420.0,410.89,418.75,417.095077515,297481,0.0000,1.0
2022-05-20,428.65,429.9139,395.54,418.12,416.467567309,567899,0.0000,1.0
2022-05-19,410.28,430.04,403.69,416.69,415.043218746,411751,0.0000,1.0
2022-05-18,434.05,447.475,407.22,411.36,409.734283192,606050,0.0000,1.0
2022-05-17,428.28,443.35,428.27,443.1,441.348845008,524230,0.0000,1.0
2022-05-16,425.45,432.41,416.03,417.0,415.351993609,355562,0.0000,1.0
2022-05-13,400.76,434.63,398.0,431.67,429.964016982,494350,0.0000,1.0
2022-05-12,382.53,395.6,376.12,388.42,386.884943304,666093,0.0000,1.0
2022-05-11,408.07,422.575,385.705,386.71,385.181701316,593872,0.0000,1.0
2022-05-10,419.86,422.74,398.55,412.79,411.158631755,673602,0.0000,1.0
2022-05-09,435.0,437.32,403.15,406.74,405.13254168,600028,0.0000,1.0
2022-05-06,446.5,454.8,426.09,444.94,443.181573229,367770,0.0000,1.0
2022-05-05,471.35,472.97,443.54,451.98,450.193750771,593121,0.0000,1.0
2022-05-04,453.16,482.29,436.0504,479.19,477.29621539,655424,0.0000,1.0
2022-05-03,445.0,462.15,426.73,457.48,455.672014476,1231248,0.0000,1.0
2022-05-02,392.83,415.63,390.385,410.87,409.246219699,652097,0.0000,1.0
2022-04-29,403.54,414.92,390.1,392.24,390.689846459,594963,0.0000,1.0
