timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,29.3,30.11,29.07,29.81,29.81,9205531,0.0000,1.0
2022-11-25,30.8,30.85,30.3,30.38,30.38,3347853,0.0000,1.0
2022-11-23,30.51,30.95,30.2,30.65,30.65,6041059,0.0000,1.0
2022-11-22,30.66,31.28,30.415,31.19,31.19,9231463,0.0000,1.0
2022-11-21,29.84,30.08,28.34,30.04,30.04,14098628,0.0000,1.0
2022-11-18,30.43,30.95,29.78,30.8,30.8,9255875,0.0000,1.0
2022-11-17,30.89,31.33,30.395,31.3,31.3,8747473,0.0000,1.0
2022-11-16,32.43,32.6073,31.23,31.45,31.45,8565900,0.0000,1.0
2022-11-15,32.66,33.11,32.21,32.94,32.94,10281892,0.0900,1.0
2022-11-14,32.66,33.185,32.485,32.5,32.4114441417,11658687,0.0000,1.0
2022-11-11,32.5,33.0591,32.31,32.88,32.7904087193,16266611,0.0000,1.0
2022-11-10,31.44,31.68,30.65,31.6,31.5138964578,9774436,0.0000,1.0
2022-11-09,32.11,32.23,30.53,30.63,30.5465395095,16293401,0.0000,1.0
2022-11-08,32.92,32.95,32.03,32.73,32.6408174387,14468063,0.0000,1.0
2022-11-07,32.32,33.42,32.22,33.03,32.94,13089997,0.0000,1.0
2022-11-04,32.2,32.57,31.55,32.03,31.9427247956,18056227,0.0000,1.0
2022-11-03,29.48,31.57,29.3002,31.42,31.334386921,16797375,0.0000,1.0
2022-11-02,30.8,30.86,29.55,29.76,29.6789100817,15006558,0.0000,1.0
2022-11-01,31.08,31.16,30.67,30.93,30.8457220708,10757824,0.0000,1.0
2022-10-31,29.81,30.85,29.64,30.45,30.3670299728,10776062,0.0000,1.0
2022-10-28,31.0,31.17,29.5101,30.16,30.0778201635,10946186,0.0000,1.0
2022-10-27,30.95,31.285,30.45,30.52,30.4368392371,12968344,0.0000,1.0
2022-10-26,29.95,30.82,29.88,30.18,30.0977656676,11534713,0.0000,1.0
2022-10-25,29.32,29.74,29.115,29.65,29.5692098093,9481481,0.0000,1.0
2022-10-24,29.18,29.7,28.91,29.47,29.3897002725,9515464,0.0000,1.0
2022-10-21,28.5,29.16,28.32,29.15,29.0705722071,12508852,0.0000,1.0
2022-10-20,28.7,29.175,28.1,28.23,28.1530790191,11273742,0.0000,1.0
2022-10-19,27.57,28.68,27.37,28.35,28.2727520436,11945784,0.0000,1.0
2022-10-18,27.5,27.89,26.815,27.56,27.4849046322,12617104,0.0000,1.0
2022-10-17,27.63,28.13,26.85,27.14,27.0660490463,15531216,0.0000,1.0
2022-10-14,27.91,28.53,27.0,27.05,26.9762942779,11177312,0.0000,1.0
2022-10-13,26.94,28.63,26.91,28.33,28.2528065395,13720206,0.0000,1.0
2022-10-12,26.9,27.67,26.58,27.44,27.3652316076,10515433,0.0000,1.0
2022-10-11,26.74,27.7,26.56,27.04,26.9663215259,11454231,0.0000,1.0
2022-10-10,27.88,28.615,27.235,27.52,27.445013624,14812579,0.0000,1.0
2022-10-07,28.3,28.9096,27.63,27.94,27.8638692098,18554675,0.0000,1.0
2022-10-06,26.92,28.33,26.79,28.25,28.1730245232,16782509,0.0000,1.0
2022-10-05,26.52,27.34,26.1201,27.19,27.1159128065,16436476,0.0000,1.0
2022-10-04,25.69,26.5,25.36,26.5,26.4277929155,14088085,0.0000,1.0
2022-10-03,23.8,25.075,23.67,24.97,24.9019618529,16469314,0.0000,1.0
2022-09-30,22.43,22.99,22.2,22.58,22.5184741144,17056470,0.0000,1.0
2022-09-29,22.41,22.895,21.86,22.8,22.7378746594,14305173,0.0000,1.0
2022-09-28,21.63,22.755,21.46,22.67,22.6082288828,16700940,0.0000,1.0
2022-09-27,21.53,21.86,21.08,21.39,21.3317166213,13292500,0.0000,1.0
2022-09-26,21.65,21.98,21.07,21.09,21.0325340599,14401010,0.0000,1.0
2022-09-23,23.35,23.35,21.615,21.9,21.8403269755,15956360,0.0000,1.0
2022-09-22,25.71,25.88,24.57,24.59,24.5229972752,10385692,0.0000,1.0
2022-09-21,26.33,26.495,25.17,25.18,25.1113896458,11023432,0.0000,1.0
2022-09-20,25.73,25.92,25.095,25.76,25.6898092643,10148109,0.0000,1.0
2022-09-19,25.31,26.09,25.22,25.93,25.859346049,9635675,0.0000,1.0
2022-09-16,26.68,26.77,25.63,26.22,26.1485558583,25445941,0.0000,1.0
2022-09-15,26.64,27.1809,26.54,26.8,26.7269754768,15250728,0.0000,1.0
2022-09-14,26.91,27.915,26.87,27.36,27.2854495913,15367692,0.0000,1.0
2022-09-13,26.75,27.42,26.3793,26.49,26.4178201635,13765619,0.0000,1.0
2022-09-12,26.76,27.5,26.53,27.2,27.1258855586,13362786,0.0000,1.0
2022-09-09,26.11,26.595,25.925,26.35,26.2782016349,12230514,0.0000,1.0
2022-09-08,25.23,25.81,25.0,25.61,25.5402179837,14375599,0.0000,1.0
2022-09-07,24.74,25.35,24.41,24.92,24.8520980926,15040520,0.0000,1.0
2022-09-06,25.91,26.23,25.38,25.52,25.4504632153,12837307,0.0000,1.0
2022-09-02,25.72,26.0,25.4,25.71,25.6399455041,12718429,0.0000,1.0
2022-09-01,25.09,25.27,24.4398,24.92,24.8520980926,14878440,0.0000,1.0
2022-08-31,24.88,26.06,24.7,25.59,25.5202724796,15631905,0.0000,1.0
