timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,507.3,512.74,493.61,495.96,495.96,330638,0.0000,1.0
2022-11-25,509.74,513.455,506.04,512.26,512.26,94693,0.0000,1.0
2022-11-23,503.21,514.36,500.16,508.75,508.75,269087,0.0000,1.0
2022-11-22,494.77,503.65,492.3785,502.67,502.67,236094,0.0000,1.0
2022-11-21,488.46,494.245,484.18,493.37,493.37,275629,0.0000,1.0
2022-11-18,503.49,503.49,480.77,490.31,490.31,612564,0.0000,1.0
2022-11-17,498.55,502.05,487.37,491.09,491.09,210094,0.0000,1.0
2022-11-16,500.63,508.62,495.65,507.21,507.21,322658,0.0000,1.0
2022-11-15,507.46,509.9,499.54,503.02,503.02,409260,0.0000,1.0
2022-11-14,507.96,511.05,491.45,492.24,492.24,630569,0.0000,1.0
2022-11-11,513.91,522.24,509.01,512.37,512.37,509795,0.0000,1.0
2022-11-10,489.89,512.37,489.61,509.7,509.7,578831,0.0000,1.0
2022-11-09,463.39,469.9,460.3,465.13,465.13,301065,1.2500,1.0
2022-11-08,464.99,472.765,459.82,467.9,466.645926069,365732,0.0000,1.0
2022-11-07,462.45,465.0,455.565,462.19,460.951230113,318023,0.0000,1.0
2022-11-04,458.81,466.58,451.81,460.91,459.674660792,429514,0.0000,1.0
2022-11-03,446.98,458.75,444.87,451.15,449.940819718,367263,0.0000,1.0
2022-11-02,469.26,474.55,452.88,453.74,452.523877954,417865,0.0000,1.0
2022-11-01,478.49,484.12,466.38,470.08,468.820083194,379122,0.0000,1.0
2022-10-31,472.08,478.48,468.55,468.86,467.60335306,708231,0.0000,1.0
2022-10-28,455.56,476.04,454.9,474.27,472.998853081,443896,0.0000,1.0
2022-10-27,455.76,464.23,452.61,455.22,453.999911231,438226,0.0000,1.0
2022-10-26,446.0,461.195,444.85,451.6,450.38961362,602068,0.0000,1.0
2022-10-25,416.32,448.75,416.32,448.42,447.218136713,735562,0.0000,1.0
2022-10-24,405.68,412.68,397.28,412.15,411.045348214,643347,0.0000,1.0
2022-10-21,394.69,402.265,388.12,401.48,400.403946138,773996,0.0000,1.0
2022-10-20,397.71,399.47,390.38,393.66,392.604905442,541975,0.0000,1.0
2022-10-19,401.79,404.09,395.28,398.79,397.721155924,260999,0.0000,1.0
2022-10-18,417.51,417.75,405.27,408.56,407.464970196,300239,0.0000,1.0
2022-10-17,398.74,406.175,398.74,402.96,401.879979416,438001,0.0000,1.0
2022-10-14,411.87,412.78,387.225,388.72,387.678145718,408705,0.0000,1.0
2022-10-13,390.88,408.42,385.0,406.08,404.991617136,557753,0.0000,1.0
