timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,171.01,171.98,168.92,169.52,169.52,683871,0.0000,1.0
2022-11-25,172.55,172.585,171.29,172.14,172.14,316459,0.0000,1.0
2022-11-23,171.48,172.07,170.98,171.87,171.87,671847,0.0000,1.0
2022-11-22,171.27,172.26,170.36,171.67,171.67,654575,0.0000,1.0
2022-11-21,170.76,171.5,168.44,169.52,169.52,1110597,0.0000,1.0
2022-11-18,170.32,171.39,168.605,170.61,170.61,1407449,0.0000,1.0
2022-11-17,166.55,168.55,166.55,167.89,167.89,946444,0.0000,1.0
2022-11-16,170.14,171.16,168.29,168.69,168.69,1155406,0.0000,1.0
2022-11-15,167.51,169.92,166.88,169.92,169.92,1538493,0.0000,1.0
2022-11-14,166.29,169.43,165.23,165.85,165.85,1337616,0.0000,1.0
2022-11-11,171.31,171.585,163.85,166.2,166.2,2264118,0.0000,1.0
2022-11-10,169.83,171.45,167.06,170.19,170.19,1332498,0.0000,1.0
2022-11-09,169.17,170.28,165.83,165.94,165.94,991216,0.0000,1.0
2022-11-08,168.74,171.84,168.18,170.48,170.48,980536,0.0000,1.0
2022-11-07,168.51,169.18,166.3,168.97,168.97,1019551,0.0000,1.0
2022-11-04,166.59,167.91,164.84,167.02,167.02,1422536,0.0000,1.0
2022-11-03,162.34,165.475,162.07,164.19,164.19,2153876,0.0000,1.0
2022-11-02,166.51,168.15,163.54,163.71,163.71,1816969,0.0000,1.0
2022-11-01,169.72,170.63,167.981,168.1,168.1,1240333,0.0000,1.0
2022-10-31,167.52,169.57,166.73,168.37,168.37,1449488,0.0000,1.0
2022-10-28,168.29,168.75,166.53,168.18,168.18,1390004,0.0000,1.0
2022-10-27,166.34,168.3493,166.34,167.07,167.07,1712968,0.0000,1.0
2022-10-26,163.73,165.83,163.455,165.0,165.0,2089488,0.0000,1.0
2022-10-25,161.28,164.7,161.12,163.5,163.5,2203977,0.0000,1.0
2022-10-24,162.16,164.5,160.27,163.14,163.14,2116048,0.0000,1.0
2022-10-21,161.19,165.15,159.395,161.77,161.77,2110092,0.0000,1.0
2022-10-20,162.18,167.26,160.655,161.4,161.4,2931624,0.0000,1.0
2022-10-19,170.67,174.93,161.79,163.06,163.06,5949204,0.0000,1.0
2022-10-18,191.12,192.56,186.5854,189.36,189.36,1328114,0.0000,1.0
2022-10-17,189.76,190.65,187.18,187.9,187.9,960003,0.0000,1.0
2022-10-14,188.8,191.819,184.62,185.56,185.56,955476,0.0000,1.0
2022-10-13,176.84,188.53,175.38,187.24,187.24,1418391,0.0000,1.0
2022-10-12,179.58,180.88,177.5,178.82,178.82,679160,0.0000,1.0
2022-10-11,181.03,181.9,177.85,179.09,179.09,838821,0.0000,1.0
2022-10-10,183.33,184.47,179.81,181.28,181.28,538216,0.0000,1.0
2022-10-07,183.39,183.39,179.21,182.06,182.06,734014,0.0000,1.0
2022-10-06,184.0,185.66,183.03,184.11,184.11,688534,0.0000,1.0
2022-10-05,185.2,187.165,184.32,185.81,185.81,1031566,0.0000,1.0
2022-10-04,182.23,187.41,182.23,187.33,187.33,1256432,0.0000,1.0
2022-10-03,178.83,181.96,174.67,181.02,181.02,832666,0.0000,1.0
2022-09-30,175.64,179.35,174.04,176.32,176.32,952563,0.0000,1.0
2022-09-29,176.5,177.78,173.54,174.84,174.84,1016806,0.0000,1.0
2022-09-28,177.61,180.63,176.78,179.15,179.15,913674,0.0000,1.0
2022-09-27,178.19,180.59,175.115,177.3,177.3,919166,0.0000,1.0
2022-09-26,177.86,180.1,175.34,177.12,177.12,791727,0.0000,1.0
2022-09-23,180.95,181.46,176.005,178.91,178.91,998216,0.0000,1.0
2022-09-22,186.46,187.12,181.65,183.2,183.2,782656,0.0000,1.0
2022-09-21,188.72,190.97,185.55,185.64,185.64,1303177,0.0000,1.0
2022-09-20,186.19,189.04,185.3382,187.18,187.18,880767,0.0000,1.0
2022-09-19,181.25,187.53,181.25,187.29,187.29,1128461,0.0000,1.0
2022-09-16,184.29,184.29,180.83,182.85,182.85,2869643,0.0000,1.0
2022-09-15,183.38,188.4,182.84,186.5,186.5,1431763,0.0000,1.0
2022-09-14,186.81,187.67,177.92,183.25,183.25,1849298,0.0000,1.0
2022-09-13,187.0,188.63,185.77,186.28,186.28,1000085,0.0000,1.0
2022-09-12,188.41,191.35,187.35,190.55,190.55,834516,0.0000,1.0
2022-09-09,188.83,189.72,187.33,187.61,187.61,843835,0.0000,1.0
2022-09-08,181.73,188.03,180.87,187.9,187.9,801181,0.0000,1.0
2022-09-07,178.24,183.22,177.88,182.81,182.81,611693,0.0000,1.0
2022-09-06,181.84,182.22,177.37,179.02,179.02,643372,0.0000,1.0
2022-09-02,183.07,185.47,179.891,180.75,180.75,747016,0.0000,1.0
2022-09-01,181.76,181.76,178.91,180.81,180.81,686280,0.0000,1.0
2022-08-31,182.39,183.6,181.31,181.78,181.78,801397,1.2000,1.0
2022-08-30,184.4,184.86,182.03,182.78,181.581311619,660971,0.0000,1.0
2022-08-29,182.79,184.73,180.86,183.56,182.356196306,696658,0.0000,1.0
2022-08-26,188.42,188.97,183.86,184.02,182.813179582,625294,0.0000,1.0
2022-08-25,185.02,187.82,184.52,187.73,186.498849055,551420,0.0000,1.0
2022-08-24,183.78,185.26,183.07,184.34,183.131080992,526011,0.0000,1.0
2022-08-23,184.57,186.07,183.76,184.3,183.091343316,687170,0.0000,1.0
2022-08-22,185.88,186.07,183.78,184.08,182.872786097,729283,0.0000,1.0
2022-08-19,189.89,190.235,188.19,188.82,187.581700732,802904,0.0000,1.0
2022-08-18,190.63,191.67,189.44,191.18,189.926223631,708629,0.0000,1.0
2022-08-17,188.74,191.175,187.99,190.72,189.469240354,888884,0.0000,1.0
2022-08-16,189.99,193.42,189.0,191.41,190.154715269,770635,0.0000,1.0
2022-08-15,187.8,190.99,187.65,190.25,189.002322658,778542,0.0000,1.0
2022-08-12,187.5,189.88,186.57,189.82,188.575142639,631310,0.0000,1.0
2022-08-11,186.13,188.4299,185.93,186.87,185.644489015,1085793,0.0000,1.0
2022-08-10,182.0,185.21,181.68,184.82,183.607933107,1217562,0.0000,1.0
2022-08-09,180.0,180.6,178.46,179.92,178.740067767,654213,0.0000,1.0
2022-08-08,179.0,179.96,178.17,179.26,178.084396109,713129,0.0000,1.0
2022-08-05,175.24,179.01,175.1,178.77,177.597609575,736921,0.0000,1.0
2022-08-04,175.73,176.52,174.9,175.44,174.289448027,714047,0.0000,1.0
2022-08-03,175.25,177.41,174.4,176.51,175.352430867,743738,0.0000,1.0
2022-08-02,176.0,176.1,173.4,173.81,172.67013772,958920,0.0000,1.0
2022-08-01,176.64,177.35,174.61,176.09,174.935185266,1154642,0.0000,1.0
2022-07-29,175.0,178.075,173.45,177.45,176.286266259,1750328,0.0000,1.0
2022-07-28,172.82,174.085,171.11,173.89,172.749613072,758109,0.0000,1.0
2022-07-27,170.82,174.35,170.14,172.98,171.845580938,799318,0.0000,1.0
2022-07-26,171.97,172.61,169.38,169.8,168.686435676,786660,0.0000,1.0
2022-07-25,171.17,173.34,169.84,172.44,171.309122308,1081479,0.0000,1.0
2022-07-22,169.0,170.4,167.31,168.96,167.851944475,1216421,0.0000,1.0
2022-07-21,165.57,169.45,163.5,169.22,168.11023937,1547837,0.0000,1.0
2022-07-20,159.82,170.26,159.07,165.54,164.454373156,2437689,0.0000,1.0
2022-07-19,161.27,165.525,160.35,164.71,163.629816373,1392455,0.0000,1.0
2022-07-18,158.79,161.94,157.07,157.97,156.934017925,882490,0.0000,1.0
2022-07-15,152.96,157.01,151.88,156.21,155.185560171,803232,0.0000,1.0
2022-07-14,150.5,151.08,148.8,150.57,149.582547819,679807,0.0000,1.0
2022-07-13,156.56,157.58,152.56,154.13,153.119201006,1004359,0.0000,1.0
2022-07-12,155.66,159.89,155.66,157.89,156.854542573,757732,0.0000,1.0
2022-07-11,157.25,159.33,156.68,158.69,157.649296098,1084300,0.0000,1.0
2022-07-08,160.27,160.35,156.77,158.92,157.877787736,862754,0.0000,1.0
2022-07-07,159.13,160.9,158.62,158.85,157.808246803,778748,0.0000,1.0
2022-07-06,157.1,158.145,154.5,157.06,156.029985791,1588542,0.0000,1.0
