timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,84.335,85.01,83.34,83.73,83.73,6464225,0.0000,1.0
2022-11-25,85.27,85.8,85.13,85.34,85.34,3622249,0.0000,1.0
2022-11-23,83.54,85.0,83.44,84.92,84.92,4259871,0.4250,1.0
2022-11-22,84.06,84.91,83.715,84.11,83.6911500381,4105654,0.0000,1.0
2022-11-21,82.62,83.75,82.62,83.6,83.1836897299,6593861,0.0000,1.0
2022-11-18,83.26,83.79,82.57,83.2,82.7856816451,6664774,0.0000,1.0
2022-11-17,83.26,83.35,81.87,82.35,81.9399144648,8334511,0.0000,1.0
2022-11-16,83.06,84.75,83.06,84.32,83.9001042826,8444892,0.0000,1.0
2022-11-15,82.52,83.82,82.04,82.91,82.4971257836,5594983,0.0000,1.0
2022-11-14,83.09,83.78,81.61,81.66,81.2533505185,7904057,0.0000,1.0
2022-11-11,83.27,83.85,81.9825,83.31,82.8951338684,5730882,0.0000,1.0
2022-11-10,81.31,83.77,79.95,83.2,82.7856816451,9315878,0.0000,1.0
2022-11-09,78.6,79.11,77.995,78.2,77.8105805847,4940236,0.0000,1.0
2022-11-08,77.67,79.14,77.16,78.27,77.8802319995,5518358,0.0000,1.0
2022-11-07,78.73,79.12,76.29,77.29,76.9051121917,7008635,0.0000,1.0
2022-11-04,78.6,79.177,77.415,78.8,78.4075927119,7758947,0.0000,1.0
2022-11-03,76.74,79.18,76.36,78.18,77.7906801804,6920481,0.0000,1.0
2022-11-02,77.7,79.825,77.02,77.28,76.8951619896,7119075,0.0000,1.0
2022-11-01,78.19,78.19,77.17,77.71,77.3230206808,5410269,0.0000,1.0
2022-10-31,78.45,79.27,76.76,77.5,77.1140664362,8273667,0.0000,1.0
2022-10-28,76.75,79.3,76.65,79.03,78.6364473607,9123339,0.0000,1.0
2022-10-27,76.05,76.93,75.46,75.47,75.0941754057,7163308,0.0000,1.0
2022-10-26,75.86,76.53,75.3,75.6,75.2235280333,6247194,0.0000,1.0
2022-10-25,73.75,76.09,73.6,75.86,75.4822332884,9216900,0.0000,1.0
2022-10-24,72.49,73.69,71.96,73.28,72.9150811413,9989846,0.0000,1.0
2022-10-21,71.08,73.0,70.3,71.65,71.2931981956,11161269,0.0000,1.0
2022-10-20,73.36,73.48,69.808,70.64,70.2882277814,13023814,0.0000,1.0
2022-10-19,74.24,74.47,72.52,73.64,73.2732884176,8579687,0.0000,1.0
2022-10-18,75.55,75.94,74.11,75.06,74.6862171188,6998542,0.0000,1.0
2022-10-17,72.8,74.42,72.75,73.65,73.2832386197,7563540,0.0000,1.0
2022-10-14,73.79,74.84,71.44,71.77,71.412600621,8735692,0.0000,1.0
2022-10-13,71.59,73.57,70.385,73.09,72.726027301,13644012,0.0000,1.0
2022-10-12,75.81,76.36,72.62,72.75,72.3877204288,9715274,0.0000,1.0
2022-10-11,76.25,76.93,75.22,76.03,75.6513867245,9143163,0.0000,1.0
2022-10-10,77.03,77.68,76.4,76.74,76.357851075,6118014,0.0000,1.0
2022-10-07,78.56,78.645,76.19,76.73,76.3479008729,7697379,0.0000,1.0
2022-10-06,81.63,81.73,78.85,78.91,78.5170449353,8374624,0.0000,1.0
2022-10-05,81.75,82.48,80.52,81.77,81.3628027418,5468664,0.0000,1.0
2022-10-04,81.98,82.89,81.56,82.82,82.4075739645,8193853,0.0000,1.0
2022-10-03,79.83,81.63,79.225,81.19,80.7856910188,8115199,0.0000,1.0
2022-09-30,80.3,80.6,78.29,78.41,78.0195348292,12854294,0.0000,1.0
2022-09-29,82.17,82.35,79.46,79.97,79.5717663601,8291549,0.0000,1.0
2022-09-28,82.29,83.025,81.25,82.37,81.9598148691,8713365,0.0000,1.0
2022-09-27,82.02,82.62,80.11,81.08,80.6762387955,9247037,0.0000,1.0
2022-09-26,82.47,82.78,80.32,81.15,80.7458902103,7702927,0.0000,1.0
2022-09-23,82.5,82.67,81.34,82.52,82.1090679009,6719672,0.0000,1.0
2022-09-22,83.8,84.19,83.03,83.54,83.1239885172,6559712,0.0000,1.0
2022-09-21,86.0,86.44,83.95,83.97,83.5518472084,6706453,0.0000,1.0
2022-09-20,85.99,86.45,84.925,85.69,85.2632819732,6242074,0.0000,1.0
2022-09-19,84.72,86.9,84.5396,86.84,86.4075552171,8820990,0.0000,1.0
2022-09-16,85.41,85.99,84.5,84.79,84.3677637823,19190742,0.0000,1.0
2022-09-15,85.44,86.8,84.825,86.01,85.581688441,18680967,0.0000,1.0
2022-09-14,88.36,89.37,88.06,88.88,88.4373964497,7281493,0.0000,1.0
2022-09-13,90.05,90.47,88.45,88.86,88.4174960455,5624836,0.0000,1.0
2022-09-12,90.18,90.85,89.78,90.81,90.357785459,5573784,0.0000,1.0
2022-09-09,90.81,90.98,89.83,89.9,89.452317066,5701551,0.0000,1.0
2022-09-08,89.73,91.06,89.63,90.27,89.8204745445,8852494,0.0000,1.0
2022-09-07,87.71,90.42,87.61,90.24,89.7906239381,11366639,0.0000,1.0
2022-09-06,87.24,88.27,87.02,87.37,86.9349159295,10904222,0.0000,1.0
2022-09-02,86.45,87.23,84.77,85.11,84.6861702502,5785696,0.0000,1.0
2022-09-01,85.33,86.46,84.71,86.26,85.8304434941,5896345,0.0000,1.0
2022-08-31,85.7,86.27,84.8,85.06,84.6364192396,6830948,0.0000,1.0
