timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,524.72,530.53,522.44,524.88,524.88,490632,0.0000,1.0
2022-11-25,526.87,529.79,522.08,527.83,527.83,254357,1.7300,1.0
2022-11-23,524.44,525.77,518.37,522.34,520.633586751,553648,0.0000,1.0
2022-11-22,529.91,533.77,523.43,524.65,522.936040298,635383,0.0000,1.0
2022-11-21,521.71,532.44,520.49,527.87,526.145520999,861615,0.0000,1.0
2022-11-18,518.84,524.79,515.83,520.42,518.719859128,863540,0.0000,1.0
2022-11-17,504.94,519.79,504.82,518.85,517.154988103,950987,0.0000,1.0
2022-11-16,499.0,507.675,496.04,505.13,503.479809464,1067053,0.0000,1.0
2022-11-15,485.0,510.0,479.9233,500.72,499.084216331,1902759,0.0000,1.0
2022-11-14,496.0,500.07,478.46,481.74,480.166221391,2186448,0.0000,1.0
2022-11-11,517.97,518.83,490.2,492.7,491.090416572,2267441,0.0000,1.0
2022-11-10,540.78,540.78,523.72,531.59,529.853368268,1220082,0.0000,1.0
2022-11-09,540.66,543.19,532.81,533.14,531.39830463,601678,0.0000,1.0
2022-11-08,533.34,542.135,532.33,540.93,539.162855767,652569,0.0000,1.0
2022-11-07,523.05,537.58,520.5604,534.77,533.022979643,804586,0.0000,1.0
2022-11-04,526.0,527.16,510.01,522.77,521.062182,1241991,0.0000,1.0
2022-11-03,528.04,531.345,525.47,525.51,523.793230795,1199979,0.0000,1.0
2022-11-02,534.05,539.68,529.83,530.3,528.567582521,1111952,0.0000,1.0
2022-11-01,549.62,550.11,534.26,535.88,534.129353425,1303102,0.0000,1.0
2022-10-31,544.8,553.66,543.9655,549.01,547.216459514,1088982,0.0000,1.0
2022-10-28,540.08,556.27,531.0,548.11,546.31939969,1316742,0.0000,1.0
2022-10-27,512.58,537.81,508.0,535.51,533.760562165,1689581,0.0000,1.0
2022-10-26,529.56,535.2098,524.88,530.99,529.255328386,941440,0.0000,1.0
2022-10-25,520.37,528.0,517.45,526.75,525.029179885,763804,0.0000,1.0
2022-10-24,527.62,534.64,524.275,525.96,524.241760707,866696,0.0000,1.0
2022-10-21,512.56,525.35,509.5,522.66,520.952541355,1054269,0.0000,1.0
2022-10-20,511.76,516.49,509.156,512.44,510.765928696,878076,0.0000,1.0
2022-10-19,504.84,516.79,501.5171,510.91,509.240926996,1342707,0.0000,1.0
2022-10-18,480.0,509.89,478.98,506.8,505.144353803,1853190,0.0000,1.0
2022-10-17,467.21,478.7,466.26,475.09,473.537946031,1122620,0.0000,1.0
2022-10-14,495.7,496.975,463.11,464.19,462.673554838,1643004,0.0000,1.0
2022-10-13,488.09,503.05,486.38,501.44,499.801864189,922014,0.0000,1.0
2022-10-12,508.135,508.135,492.2,492.38,490.771461968,972731,0.0000,1.0
2022-10-11,504.13,514.56,503.26,507.31,505.652687703,836483,0.0000,1.0
2022-10-10,498.82,509.0,498.0,503.83,502.184056386,1375677,0.0000,1.0
2022-10-07,485.16,496.52,483.02,496.09,494.469341906,1097676,0.0000,1.0
2022-10-06,483.72,486.3,480.99,485.23,483.644820039,604935,0.0000,1.0
2022-10-05,487.0,489.5,480.68,484.45,482.867368192,620892,0.0000,1.0
2022-10-04,488.42,497.12,487.01,490.28,488.678322381,985752,0.0000,1.0
2022-10-03,476.44,489.93,474.0,485.71,484.123251945,910597,0.0000,1.0
2022-09-30,466.5,474.0,466.5,470.32,468.783528967,1134560,0.0000,1.0
2022-09-29,480.66,482.1,464.51,470.48,468.943006269,910944,0.0000,1.0
2022-09-28,475.525,485.85,464.28,483.69,482.109851008,948300,0.0000,1.0
2022-09-27,477.34,479.19,471.24,474.14,472.591049551,1023762,0.0000,1.0
2022-09-26,477.38,482.02,472.36,474.37,472.820298172,657177,0.0000,1.0
2022-09-23,491.88,491.88,474.08,478.82,477.255760631,877726,0.0000,1.0
2022-09-22,492.77,500.63,482.26,496.46,494.838133167,1194382,0.0000,1.0
2022-09-21,505.49,515.4899,492.61,492.87,491.259861206,1246802,0.0000,1.0
2022-09-20,488.06,496.08,481.03,494.0,492.38616965,875761,0.0000,1.0
2022-09-19,483.19,492.57,481.05,488.07,486.475542148,843016,0.0000,1.0
2022-09-16,483.36,487.849,480.3,485.2,483.614918045,1115534,0.0000,1.0
2022-09-15,482.73,487.76,478.54,485.08,483.495310069,757982,0.0000,1.0
2022-09-14,472.81,485.2,471.8466,484.88,483.295963441,1157422,0.0000,1.0
2022-09-13,479.57,487.395,465.25,468.93,467.398069907,836560,0.0000,1.0
2022-09-12,491.05,491.11,481.455,482.3,480.724391948,918453,0.0000,1.0
2022-09-09,489.47,495.38,486.27,491.41,489.804630826,704597,0.0000,1.0
2022-09-08,487.07,489.82,481.3032,489.73,488.130119156,584904,0.0000,1.0
2022-09-07,477.8,488.22,475.97,487.78,486.186489538,512349,0.0000,1.0
2022-09-06,476.8,484.19,476.72,479.74,478.172755117,562265,0.0000,1.0
2022-09-02,483.99,485.37,474.74,476.95,475.391869665,512120,0.0000,1.0
2022-09-01,475.96,481.44,475.0,480.32,478.750860337,564069,0.0000,1.0
2022-08-31,481.13,482.59,476.9693,477.99,476.428472128,725072,0.0000,1.0
2022-08-30,486.6,486.75,478.64,480.93,479.35886755,573716,0.0000,1.0
2022-08-29,480.05,489.17,477.1,485.81,484.222925259,498919,0.0000,1.0
2022-08-26,493.37,496.75,484.705,485.13,483.545146726,448573,1.7300,1.0
2022-08-25,488.99,494.6,486.78,494.48,491.113264908,375340,0.0000,1.0
2022-08-24,485.2,490.295,484.58,488.89,485.561325191,612645,0.0000,1.0
2022-08-23,482.84,485.62,479.665,482.88,479.592245103,451542,0.0000,1.0
2022-08-22,488.0,493.14,483.74,484.19,480.893325788,607711,0.0000,1.0
2022-08-19,492.13,493.24,487.84,490.75,487.408661126,606597,0.0000,1.0
2022-08-18,493.99,497.2,490.4315,492.88,489.524158728,591957,0.0000,1.0
2022-08-17,482.72,496.3039,482.63,492.51,489.156677923,852036,0.0000,1.0
2022-08-16,485.33,488.6,483.2301,485.5,482.194406473,500797,0.0000,1.0
2022-08-15,477.97,489.42,475.09,486.87,483.555078639,586170,0.0000,1.0
2022-08-12,470.52,479.76,469.22,479.58,476.314713607,701738,0.0000,1.0
2022-08-11,474.0,474.32,467.82,470.31,467.107829677,690445,0.0000,1.0
2022-08-10,474.49,475.0,469.545,473.14,469.918561233,711307,0.0000,1.0
2022-08-09,473.99,482.18,473.01,473.73,470.504544137,667495,0.0000,1.0
2022-08-08,478.95,480.08,465.775,470.05,466.849599923,614193,0.0000,1.0
2022-08-05,475.68,478.38,469.385,477.59,474.338262796,522362,0.0000,1.0
2022-08-04,482.0,486.1549,477.515,478.04,474.785198909,654922,0.0000,1.0
2022-08-03,480.0,484.11,471.02,481.75,478.469938863,845102,0.0000,1.0
2022-08-02,481.84,488.36,472.195,481.05,477.77470491,687637,0.0000,1.0
2022-08-01,481.37,488.17,472.22,475.63,472.391607725,933433,0.0000,1.0
2022-07-29,457.72,479.8,456.06,478.9,475.63934348,1199119,0.0000,1.0
2022-07-28,438.39,455.88,433.87,454.46,451.365746582,1016733,0.0000,1.0
2022-07-27,445.58,447.67,441.4,445.81,442.774641297,744640,0.0000,1.0
2022-07-26,453.15,455.11,444.31,444.65,441.622539316,702565,0.0000,1.0
2022-07-25,451.89,459.74,451.11,453.32,450.233508429,826542,0.0000,1.0
2022-07-22,457.37,463.26,450.01,451.85,448.773517126,864775,0.0000,1.0
