timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,13.2,13.36,12.92,13.12,13.12,5037532,0.0000,1.0
2022-11-25,13.18,13.43,13.14,13.35,13.35,1691474,0.0000,1.0
2022-11-23,13.04,13.2286,13.01,13.18,13.18,2233114,0.0000,1.0
2022-11-22,13.155,13.2,12.97,13.06,13.06,3421793,0.0000,1.0
2022-11-21,13.28,13.34,13.0,13.05,13.05,3155196,0.0000,1.0
2022-11-18,13.37,13.6,13.245,13.35,13.35,3586550,0.0000,1.0
2022-11-17,12.93,13.27,12.88,13.16,13.16,3813480,0.0000,1.0
2022-11-16,13.73,13.825,13.03,13.07,13.07,6259595,0.0000,1.0
2022-11-15,14.0,14.155,13.74,13.97,13.97,3554367,0.0000,1.0
2022-11-14,13.99,14.099,13.63,13.64,13.64,3957396,0.0000,1.0
2022-11-11,13.52,14.24,13.48,14.12,14.12,4154318,0.0000,1.0
2022-11-10,12.99,13.665,12.99,13.45,13.45,5457191,0.0000,1.0
2022-11-09,12.78,12.85,12.57,12.58,12.58,3542512,0.0000,1.0
2022-11-08,13.18,13.32,12.7301,12.87,12.87,3371342,0.0000,1.0
2022-11-07,13.19,13.25,12.84,13.14,13.14,3898226,0.0000,1.0
2022-11-04,12.92,13.45,12.83,13.11,13.11,5693117,0.0000,1.0
2022-11-03,12.69,12.785,12.245,12.71,12.71,5568690,0.0000,1.0
2022-11-02,13.36,13.36,12.85,12.86,12.86,5591369,0.0000,1.0
2022-11-01,14.0,14.21,13.36,13.36,13.36,6497350,0.0000,1.0
2022-10-31,14.43,14.64,13.7,13.81,13.81,12373832,0.0000,1.0
2022-10-28,15.05,15.66,14.78,15.05,15.05,8476755,0.0000,1.0
2022-10-27,15.89,16.015,15.635,15.67,15.67,4955828,0.0000,1.0
2022-10-26,15.78,15.94,15.58,15.74,15.74,3103784,0.0000,1.0
2022-10-25,15.27,15.83,15.23,15.72,15.72,4279089,0.0000,1.0
2022-10-24,15.19,15.34,14.95,15.31,15.31,2516444,0.0000,1.0
2022-10-21,14.68,15.11,14.58,15.02,15.02,2716133,0.0000,1.0
2022-10-20,15.07,15.07,14.595,14.73,14.73,3045484,0.0000,1.0
2022-10-19,15.01,15.08,14.835,15.03,15.03,2785252,0.0000,1.0
2022-10-18,15.19,15.31,15.005,15.22,15.22,1991835,0.0000,1.0
2022-10-17,14.91,15.08,14.85,14.91,14.91,3560330,0.0000,1.0
2022-10-14,14.79,14.81,14.5,14.64,14.64,3368570,0.0000,1.0
2022-10-13,13.9,14.805,13.84,14.64,14.64,4484336,0.0000,1.0
2022-10-12,14.17,14.36,14.06,14.24,14.24,2076095,0.0000,1.0
2022-10-11,13.92,14.38,13.92,14.17,14.17,2646701,0.0000,1.0
2022-10-10,14.02,14.215,13.95,14.07,14.07,2573494,0.0000,1.0
2022-10-07,14.18,14.25,13.89,13.96,13.96,2832685,0.0000,1.0
2022-10-06,14.4,14.6,14.26,14.38,14.38,2635149,0.0000,1.0
2022-10-05,14.3,14.57,14.09,14.49,14.49,3040626,0.0000,1.0
2022-10-04,14.2,14.74,14.16,14.67,14.67,3895533,0.0000,1.0
2022-10-03,14.13,14.235,13.87,13.95,13.95,5478849,0.0000,1.0
2022-09-30,13.99,14.24,13.865,13.89,13.89,3593589,0.0000,1.0
2022-09-29,14.15,14.26,13.73,13.97,13.97,2668605,0.0000,1.0
2022-09-28,14.34,14.52,14.27,14.43,14.43,2525037,0.0000,1.0
2022-09-27,14.43,14.54,14.07,14.23,14.23,3083797,0.0000,1.0
2022-09-26,14.53,14.79,14.27,14.29,14.29,2728089,0.0000,1.0
2022-09-23,14.63,14.66,14.19,14.63,14.63,3855489,0.0000,1.0
2022-09-22,15.29,15.29,14.77,14.81,14.81,3184096,0.0000,1.0
2022-09-21,15.75,16.07,15.19,15.21,15.21,3328454,0.0000,1.0
2022-09-20,16.28,16.28,15.42,15.61,15.61,3625874,0.0000,1.0
2022-09-19,16.172,16.56,16.12,16.49,16.49,3161371,0.0000,1.0
2022-09-16,16.54,16.62,16.08,16.3,16.3,9881804,0.0000,1.0
2022-09-15,16.99,17.259,16.66,16.72,16.72,3049492,0.0000,1.0
2022-09-14,17.28,17.41,16.675,16.99,16.99,3052140,0.0000,1.0
2022-09-13,17.77,17.83,17.135,17.24,17.24,3636028,0.0000,1.0
