timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,18.11,18.605,18.11,18.19,18.19,3510086,0.0000,1.0
2022-11-25,18.17,18.475,18.09,18.3,18.3,1234284,0.0000,1.0
2022-11-23,17.89,18.39,17.77,18.23,18.23,2091857,0.0000,1.0
2022-11-22,17.53,17.85,17.41,17.83,17.83,1761159,0.0000,1.0
2022-11-21,17.61,17.78,17.36,17.48,17.48,2455388,0.0000,1.0
2022-11-18,18.2,18.21,17.72,17.83,17.83,2624957,0.0000,1.0
2022-11-17,17.61,18.05,17.53,17.94,17.94,2001976,0.0000,1.0
2022-11-16,18.08,18.12,17.815,17.91,17.91,2023912,0.0000,1.0
2022-11-15,18.23,18.48,17.925,18.15,18.15,2191448,0.0000,1.0
2022-11-14,17.96,18.45,17.84,18.18,18.18,3532121,0.0000,1.0
2022-11-11,17.53,18.07,17.455,18.06,18.06,3456311,0.0000,1.0
2022-11-10,16.752,17.4,16.495,17.3,17.3,5283010,0.0000,1.0
2022-11-09,15.05,16.45,15.0,16.16,16.16,6692092,0.0000,1.0
2022-11-08,16.79,17.3,16.66,17.09,17.09,3886868,0.0000,1.0
2022-11-07,16.78,16.9,16.395,16.72,16.72,3790753,0.0000,1.0
2022-11-04,16.69,16.7,16.135,16.68,16.68,2858081,0.0000,1.0
2022-11-03,16.22,16.625,15.975,16.46,16.46,4055143,0.0000,1.0
2022-11-02,16.84,16.98,16.41,16.47,16.47,3178554,0.0000,1.0
2022-11-01,17.06,17.43,16.895,16.99,16.99,2429958,0.0000,1.0
2022-10-31,16.91,16.96,16.77,16.87,16.87,3698417,0.0000,1.0
2022-10-28,16.78,16.98,16.55,16.91,16.91,2929643,0.0000,1.0
2022-10-27,17.12,17.22,16.69,16.74,16.74,2415321,0.0000,1.0
2022-10-26,17.17,17.365,16.98,17.0,17.0,2937377,0.0000,1.0
2022-10-25,16.99,17.24,16.92,17.17,17.17,3563733,0.0000,1.0
2022-10-24,17.36,17.36,16.7,16.92,16.92,4399585,0.0000,1.0
2022-10-21,16.66,17.22,16.505,17.2,17.2,4028409,0.0000,1.0
2022-10-20,16.55,16.895,16.39,16.69,16.69,3862570,0.0000,1.0
2022-10-19,16.41,16.76,16.355,16.59,16.59,4304747,0.0000,1.0
2022-10-18,16.45,16.74,16.06,16.25,16.25,4179302,0.0000,1.0
2022-10-17,16.25,16.83,16.12,16.13,16.13,8113411,0.0000,1.0
