timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,64.56,64.685,61.52,61.74,61.74,7740224,0.0000,1.0
2022-11-25,64.81,64.96,64.53,64.85,64.85,1691198,0.0000,1.0
2022-11-23,65.13,65.3925,64.195,64.52,64.52,3283340,0.0000,1.0
2022-11-22,65.37,65.68,65.09,65.3,65.3,3129071,0.0000,1.0
2022-11-21,64.65,65.37,64.61,65.3,65.3,2831209,0.0000,1.0
2022-11-18,65.0,65.2,64.3128,64.7,64.7,2991761,0.0000,1.0
2022-11-17,63.22,64.43,63.13,64.41,64.41,3088404,0.0000,1.0
2022-11-16,64.54,64.7221,63.69,63.84,63.84,3569145,0.0000,1.0
2022-11-15,64.9,65.39,63.96,64.74,64.74,4436726,0.0000,1.0
2022-11-14,64.82,65.22,64.06,64.08,64.08,3993831,0.0000,1.0
2022-11-11,65.6,65.83,64.66,64.98,64.98,3558197,0.0000,1.0
2022-11-10,64.75,65.8772,64.12,65.37,65.37,4618060,0.0000,1.0
2022-11-09,63.28,64.28,63.1,63.25,63.25,2979932,0.0000,1.0
2022-11-08,63.18,63.92,62.85,63.34,63.34,2999548,0.0000,1.0
2022-11-07,63.12,63.31,62.59,63.13,63.13,3316346,0.0000,1.0
2022-11-04,61.91,63.46,61.7,63.01,63.01,3706222,0.0000,1.0
2022-11-03,60.38,61.99,59.945,61.63,61.63,2826579,0.0000,1.0
2022-11-02,61.79,62.46,60.61,61.07,61.07,4138771,0.0000,1.0
2022-11-01,62.5,62.94,62.015,62.21,62.21,3586592,0.0000,1.0
2022-10-31,61.54,62.46,61.51,62.27,62.27,6662200,0.2480,1.0
2022-10-28,60.99,62.41,60.91,62.31,62.0628251064,2980459,0.0000,1.0
2022-10-27,61.0,61.74,60.8858,61.14,60.8974663297,3401687,0.0000,1.0
2022-10-26,60.49,60.95,60.21,60.6,60.3596084328,3814602,0.0000,1.0
2022-10-25,59.08,60.55,59.0,60.49,60.2500447871,6585843,0.0000,1.0
2022-10-24,58.28,59.125,58.16,59.01,58.7759157363,4207335,0.0000,1.0
2022-10-21,57.39,57.79,56.68,57.63,57.4013899997,3781483,0.0000,1.0
2022-10-20,57.91,58.33,57.45,57.47,57.2420246969,3185112,0.0000,1.0
2022-10-19,58.13,58.745,57.41,57.83,57.6005966282,3660408,0.0000,1.0
