timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,15.08,15.285,14.955,15.27,15.27,10243809,0.0000,1.0
2022-11-25,15.25,15.385,15.185,15.37,15.37,4822568,0.0000,1.0
2022-11-23,15.01,15.26,14.835,15.24,15.24,8911156,0.0000,1.0
2022-11-22,15.03,15.22,14.96,15.12,15.12,7862992,0.0000,1.0
2022-11-21,15.1,15.12,14.8725,14.99,14.99,11606832,0.0000,1.0
2022-11-18,14.75,15.03,14.695,15.02,15.02,11660839,0.0000,1.0
2022-11-17,14.5,14.7,14.465,14.58,14.58,8521708,0.0000,1.0
2022-11-16,14.41,14.85,14.36,14.73,14.73,14072898,0.0000,1.0
2022-11-15,14.73,14.825,14.32,14.44,14.44,31388240,0.0000,1.0
2022-11-14,14.73,14.735,14.42,14.46,14.46,11852265,0.0000,1.0
2022-11-11,14.89,15.05,14.65,14.76,14.76,19054615,0.0000,1.0
2022-11-10,15.1,15.12,14.63,14.81,14.81,25976619,0.0000,1.0
2022-11-09,14.87,14.96,14.56,14.58,14.58,12899678,0.0000,1.0
2022-11-08,15.07,15.17,14.83,14.93,14.93,9933106,0.0000,1.0
2022-11-07,15.29,15.385,14.97,15.07,15.07,11970338,0.0000,1.0
2022-11-04,15.35,15.49,15.06,15.31,15.31,18269311,0.0000,1.0
2022-11-03,14.79,15.285,14.75,15.2,15.2,17475348,0.0000,1.0
2022-11-02,15.28,15.43,14.9,14.93,14.93,17299938,0.0000,1.0
2022-11-01,15.06,15.31,15.01,15.31,15.31,18429760,0.0000,1.0
2022-10-31,15.22,15.25,14.85,14.93,14.93,20836541,0.0000,1.0
2022-10-28,15.26,15.46,15.0,15.25,15.25,29022304,0.0000,1.0
2022-10-27,15.29,15.605,15.13,15.38,15.38,22852788,0.0000,1.0
2022-10-26,15.12,15.335,15.045,15.17,15.17,25303510,0.0000,1.0
2022-10-25,14.74,15.25,14.69,15.13,15.13,23538989,0.0000,1.0
2022-10-24,14.52,14.79,14.415,14.73,14.73,18207911,0.0000,1.0
2022-10-21,14.05,14.58,13.985,14.5,14.5,16720261,0.0000,1.0
