timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,58.72,59.07,58.065,58.35,58.35,2738899,0.0000,1.0
2022-11-25,59.19,59.485,59.04,59.22,59.22,1123080,0.0000,1.0
2022-11-23,58.29,59.03,58.15,59.01,59.01,2166574,0.0000,1.0
2022-11-22,58.21,58.7441,58.065,58.35,58.35,2646302,0.0000,1.0
2022-11-21,57.73,58.225,57.52,57.85,57.85,2140416,0.0000,1.0
2022-11-18,56.6,57.7,56.6,57.69,57.69,3487588,0.0000,1.0
2022-11-17,56.84,57.12,55.64,55.87,55.87,3140134,0.0000,1.0
2022-11-16,57.28,58.49,57.22,57.79,57.79,3418640,0.0000,1.0
2022-11-15,57.65,57.9849,56.48,57.11,57.11,3622368,0.0000,1.0
2022-11-14,57.0,57.75,56.06,57.36,57.36,7448251,0.0000,1.0
2022-11-11,59.34,59.35,57.67,58.29,58.29,4936025,0.0000,1.0
2022-11-10,58.91,59.63,58.11,59.52,59.52,4473156,0.0000,1.0
2022-11-09,57.56,57.6,56.96,57.27,57.27,5133079,0.0000,1.0
2022-11-08,57.47,58.24,57.02,57.85,57.85,5497767,0.0000,1.0
2022-11-07,57.94,58.26,56.52,57.31,57.31,3265605,0.0000,1.0
2022-11-04,57.14,58.025,56.58,57.89,57.89,3259549,0.0000,1.0
2022-11-03,55.99,57.36,55.65,57.06,57.06,4131853,0.0000,1.0
2022-11-02,56.33,57.78,56.06,56.61,56.61,3689527,0.0000,1.0
2022-11-01,56.4,56.64,55.38,56.33,56.33,3098702,0.0000,1.0
2022-10-31,57.5,57.61,55.13,56.07,56.07,4165774,0.0000,1.0
2022-10-28,55.54,57.47,55.39,57.43,57.43,4898620,0.0000,1.0
2022-10-27,56.0,56.16,55.23,55.49,55.49,3484251,0.0000,1.0
2022-10-26,56.54,56.77,55.435,55.57,55.57,3598677,0.0000,1.0
2022-10-25,55.48,56.42,55.23,56.08,56.08,4305329,0.0000,1.0
2022-10-24,55.15,55.73,54.74,55.22,55.22,4378750,0.0000,1.0
2022-10-21,54.04,54.82,53.29,54.3,54.3,5527537,0.0000,1.0
2022-10-20,54.48,54.79,53.5,53.77,53.77,3437210,0.0000,1.0
2022-10-19,55.0,55.4,54.56,54.8,54.8,1931032,0.0000,1.0
2022-10-18,56.05,56.52,55.49,55.69,55.69,3181587,0.0000,1.0
2022-10-17,54.93,55.99,54.81,55.27,55.27,2626081,0.0000,1.0
2022-10-14,55.62,55.67,53.545,53.81,53.81,2095220,0.0000,1.0
2022-10-13,52.75,55.11,52.51,54.97,54.97,3305277,0.0000,1.0
2022-10-12,54.93,55.05,53.46,53.48,53.48,2773828,0.0000,1.0
2022-10-11,55.07,55.79,54.58,55.13,55.13,2082707,0.0000,1.0
2022-10-10,55.52,56.12,55.33,55.41,55.41,2207787,0.0000,1.0
2022-10-07,56.54,56.84,54.85,55.32,55.32,2073437,0.0000,1.0
2022-10-06,58.06,58.3,56.42,56.66,56.66,2150769,0.0000,1.0
2022-10-05,58.93,59.0,57.6818,58.47,58.47,1965682,0.0000,1.0
2022-10-04,58.19,59.84,57.96,59.81,59.81,2327583,0.0000,1.0
2022-10-03,57.65,58.52,56.56,57.91,57.91,3027273,0.0000,1.0
2022-09-30,57.3,57.46,56.05,56.23,56.23,4775354,0.0000,1.0
2022-09-29,59.49,59.59,56.82,56.92,56.92,2772032,0.0000,1.0
2022-09-28,60.49,60.49,59.335,59.88,59.88,2504968,0.0000,1.0
2022-09-27,61.17,61.33,59.26,59.56,59.56,2755007,0.0000,1.0
2022-09-26,62.64,62.86,60.175,60.8,60.8,2926857,0.0000,1.0
2022-09-23,63.25,63.61,62.09,62.94,62.94,1925459,0.0000,1.0
2022-09-22,64.38,64.4,63.55,63.97,63.97,1719263,0.0000,1.0
2022-09-21,65.85,66.32,64.48,64.48,64.48,1426218,0.0000,1.0
