timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,131.94,132.013,129.81,130.1,130.1,507743,0.0000,1.0
2022-11-25,133.04,133.71,132.62,132.97,132.97,232066,0.0000,1.0
2022-11-23,133.85,134.55,132.43,133.35,133.35,303450,0.0000,1.0
2022-11-22,132.24,133.58,131.795,133.32,133.32,513381,0.0000,1.0
2022-11-21,128.38,131.98,127.69,131.34,131.34,776073,0.0000,1.0
2022-11-18,131.07,131.58,128.71,129.04,129.04,928063,0.0000,1.0
2022-11-17,128.43,129.67,127.19,129.48,129.48,664154,0.0000,1.0
2022-11-16,129.97,130.63,129.225,129.87,129.87,758454,0.0000,1.0
2022-11-15,131.67,132.87,129.355,130.18,130.18,786428,0.0000,1.0
2022-11-14,129.25,132.06,128.68,129.75,129.75,839065,0.0000,1.0
2022-11-11,126.0,130.25,124.93,129.47,129.47,764722,0.0000,1.0
2022-11-10,123.97,125.12,121.97,125.08,125.08,1397309,0.0000,1.0
2022-11-09,120.99,121.32,119.435,120.01,120.01,791536,0.0000,1.0
2022-11-08,123.14,123.58,121.15,121.61,121.61,1154070,0.0000,1.0
2022-11-07,125.16,125.17,122.195,122.61,122.61,768020,0.0000,1.0
2022-11-04,123.62,125.37,122.435,124.5,124.5,989984,0.0000,1.0
2022-11-03,118.23,122.01,117.95,121.23,121.23,1012682,0.0000,1.0
2022-11-02,119.81,122.29,118.02,118.54,118.54,881481,0.0000,1.0
2022-11-01,121.76,122.41,118.94,120.59,120.59,831547,0.0000,1.0
2022-10-31,119.86,121.22,118.41,120.21,120.21,862985,0.0000,1.0
2022-10-28,118.83,121.16,118.23,120.7,120.7,858486,0.0000,1.0
2022-10-27,116.56,121.66,116.37,119.25,119.25,1262487,0.0000,1.0
2022-10-26,115.8,119.24,114.77,116.36,116.36,1024441,0.0000,1.0
2022-10-25,114.51,117.715,112.0,115.93,115.93,782197,0.0000,1.0
2022-10-24,117.45,117.99,116.27,116.28,116.28,683981,0.0000,1.0
2022-10-21,113.25,117.21,112.9729,116.94,116.94,617437,0.0000,1.0
2022-10-20,114.4,115.73,112.52,112.87,112.87,448725,0.0000,1.0
2022-10-19,116.23,116.39,113.68,114.4,114.4,347853,0.0000,1.0
2022-10-18,115.7,117.779,115.7,116.7,116.7,734224,0.0000,1.0
2022-10-17,115.92,116.95,115.02,115.94,115.94,547532,0.0000,1.0
2022-10-14,116.66,116.96,113.62,113.71,113.71,554303,0.0000,1.0
2022-10-13,111.68,116.62,110.555,115.79,115.79,449932,0.0000,1.0
2022-10-12,115.08,115.08,113.49,113.52,113.52,579598,0.0000,1.0
2022-10-11,113.14,115.93,112.25,114.42,114.42,505562,0.0000,1.0
2022-10-10,114.81,115.2,113.34,114.15,114.15,478131,0.0000,1.0
2022-10-07,114.58,114.71,112.835,113.71,113.71,583750,0.0000,1.0
2022-10-06,116.14,117.74,115.53,115.92,115.92,785948,0.0000,1.0
2022-10-05,116.27,118.62,115.395,117.39,117.39,668193,0.0000,1.0
2022-10-04,117.06,118.43,116.54,118.14,118.14,597135,0.0000,1.0
2022-10-03,114.06,116.12,112.62,115.0,115.0,843092,0.0000,1.0
2022-09-30,113.43,115.355,111.95,112.29,112.29,1133420,1.2500,1.0
2022-09-29,113.8,114.59,111.98,114.22,112.962513652,877818,0.0000,1.0
2022-09-28,114.6,116.37,114.24,115.81,114.535008807,923119,0.0000,1.0
2022-09-27,114.53,115.4521,111.73,113.29,112.042752334,690922,0.0000,1.0
2022-09-26,113.66,114.78,110.73,112.92,111.676825788,964190,0.0000,1.0
2022-09-23,114.1,114.8,112.46,113.97,112.715265986,812903,0.0000,1.0
2022-09-22,118.01,118.19,115.75,115.88,114.604238154,533286,0.0000,1.0
2022-09-21,120.17,122.6,118.05,118.1,116.799797428,767887,0.0000,1.0
2022-09-20,122.14,122.14,117.76,119.41,118.095375198,958388,0.0000,1.0
2022-09-19,118.76,124.15,118.4,124.1,122.733741413,1215221,0.0000,1.0
2022-09-16,125.3,125.33,116.6,118.07,116.770127708,2643570,0.0000,1.0
2022-09-15,132.0,134.3,131.75,132.68,131.219281311,648193,0.0000,1.0
2022-09-14,137.62,138.0,131.54,132.07,130.615997005,879128,0.0000,1.0
2022-09-13,139.36,140.03,137.44,137.78,136.263133697,613938,0.0000,1.0
2022-09-12,140.67,143.25,140.65,142.08,140.515793553,397188,0.0000,1.0
