timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,115.56,116.85,110.92,111.46,111.46,3910665,0.0000,1.0
2022-11-25,116.11,116.94,115.26,116.39,116.39,1341334,0.0000,1.0
2022-11-23,115.81,116.0,114.2,115.53,115.53,1585470,0.0000,1.0
2022-11-22,115.5,116.04,114.01,115.78,115.78,2306102,0.0000,1.0
2022-11-21,114.65,115.6116,113.34,114.95,114.95,2991983,0.0000,1.0
2022-11-18,114.24,115.12,113.09,114.56,114.56,3336834,0.0000,1.0
2022-11-17,111.81,113.5,110.42,112.31,112.31,3384568,0.0000,1.0
2022-11-16,111.96,114.4106,111.63,113.65,113.65,3512700,0.0000,1.0
2022-11-15,114.15,114.65,111.23,112.75,112.75,3109970,0.0000,1.0
2022-11-14,115.61,115.61,112.39,112.5,112.5,2834094,0.0000,1.0
2022-11-11,118.83,119.42,115.96,116.13,116.13,3258358,0.0000,1.0
2022-11-10,114.62,118.51,114.43,118.34,118.34,3705442,0.0000,1.0
2022-11-09,109.69,111.84,108.65,108.79,108.79,4043676,0.0000,1.0
2022-11-08,108.91,111.455,108.32,109.75,109.75,2438419,0.0000,1.0
2022-11-07,108.77,109.38,107.12,108.93,108.93,2963215,0.0000,1.0
2022-11-04,108.8,109.84,105.82,107.62,107.62,3541058,0.0000,1.0
2022-11-03,106.28,108.58,103.72,108.01,108.01,5625456,0.0000,1.0
2022-11-02,107.7,111.3786,106.68,106.74,106.74,5729063,0.0000,1.0
2022-11-01,112.2,112.25,108.27,108.55,108.55,4599552,0.0000,1.0
2022-10-31,111.23,112.15,110.47,110.75,110.75,5411489,0.0000,1.0
2022-10-28,110.41,113.46,109.61,112.98,112.98,4179940,0.0000,1.0
2022-10-27,110.68,111.45,109.12,111.01,111.01,4371106,0.0000,1.0
2022-10-26,108.73,111.79,108.73,109.87,109.87,5076492,0.0000,1.0
2022-10-25,103.97,108.63,103.955,108.33,108.33,7074057,0.0000,1.0
2022-10-24,103.84,104.385,102.22,103.37,103.37,3377584,0.0000,1.0
2022-10-21,102.49,103.47,100.6401,103.08,103.08,3971652,0.0000,1.0
2022-10-20,102.42,105.39,101.88,102.46,102.46,4282630,0.0000,1.0
2022-10-19,104.7,105.97,100.85,102.01,102.01,5924534,0.0000,1.0
2022-10-18,108.24,108.89,104.77,105.85,105.85,5311239,0.0000,1.0
2022-10-17,102.72,105.66,101.97,105.23,105.23,5103725,0.0000,1.0
2022-10-14,104.01,104.01,99.4,99.53,99.53,4480017,0.0000,1.0
2022-10-13,98.48,103.15,98.03,102.52,102.52,6307689,0.0000,1.0
2022-10-12,100.37,101.96,99.52,100.43,100.43,5937060,0.0000,1.0
2022-10-11,99.3,101.125,98.05,100.63,100.63,6385515,0.0000,1.0
2022-10-10,100.71,101.15,98.83,98.9,98.9,4587963,0.0000,1.0
2022-10-07,100.93,101.355,99.68,100.36,100.36,5762269,0.0000,1.0
2022-10-06,105.89,105.97,101.55,101.92,101.92,5068353,0.0000,1.0
2022-10-05,104.8,106.19,103.11,105.44,105.44,5311511,0.0000,1.0
2022-10-04,105.86,106.63,104.64,105.99,105.99,5980636,0.0000,1.0
2022-10-03,103.5,106.69,102.39,104.36,104.36,4863839,0.0000,1.0
2022-09-30,102.23,103.76,101.26,101.6,101.6,18072098,0.0000,1.0
2022-09-29,102.69,103.25,100.73,101.19,101.19,7320683,0.0000,1.0
2022-09-28,103.0,104.32,100.84,103.93,103.93,7846711,0.0000,1.0
2022-09-27,105.73,106.74,101.79,102.28,102.28,6329359,0.0000,1.0
2022-09-26,107.13,107.34,102.8,104.16,104.16,7135519,0.0000,1.0
2022-09-23,107.54,109.38,107.2413,108.6,108.6,5598901,0.0000,1.0
