timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,29.04,29.15,28.8202,29.1,29.1,3875313,0.0000,1.0
2022-11-25,29.15,29.315,29.15,29.23,29.23,1675499,0.0000,1.0
2022-11-23,28.66,29.14,28.66,29.11,29.11,3532800,0.0000,1.0
2022-11-22,28.37,28.825,28.37,28.74,28.74,7618407,0.0000,1.0
2022-11-21,28.01,28.345,28.01,28.22,28.22,3819934,0.0000,1.0
2022-11-18,27.98,28.14,27.77,28.09,28.09,5060824,0.0000,1.0
2022-11-17,27.61,27.69,27.37,27.67,27.67,5051430,0.0000,1.0
2022-11-16,27.48,28.085,27.44,27.9,27.9,4910905,0.0000,1.0
2022-11-15,27.34,27.705,27.093,27.49,27.49,3505191,0.0000,1.0
2022-11-14,27.3,27.52,27.1,27.1,27.1,3853259,0.0000,1.0
2022-11-11,27.74,27.78,27.24,27.41,27.41,3381430,0.0000,1.0
2022-11-10,27.39,27.78,27.05,27.73,27.73,3490464,0.0000,1.0
2022-11-09,27.02,27.08,26.65,26.68,26.68,4394010,0.0000,1.0
2022-11-08,26.87,27.21,26.815,27.1,27.1,4489200,0.0000,1.0
2022-11-07,26.98,27.2,26.47,26.78,26.78,5080215,0.0000,1.0
2022-11-04,26.71,27.05,26.43,27.0,27.0,3519787,0.0000,1.0
2022-11-03,25.96,26.75,25.86,26.58,26.58,4501853,0.0000,1.0
2022-11-02,26.4,26.85,26.115,26.12,26.12,4986426,0.0000,1.0
2022-11-01,26.62,26.67,26.4,26.57,26.57,3519724,0.0000,1.0
2022-10-31,26.47,26.64,26.27,26.49,26.49,4934757,0.0000,1.0
2022-10-28,25.93,26.55,25.93,26.51,26.51,3162860,0.0000,1.0
2022-10-27,25.88,26.255,25.835,25.91,25.91,3487147,0.0000,1.0
2022-10-26,26.1,26.22,25.665,25.7,25.7,3579435,0.0000,1.0
2022-10-25,25.53,26.225,25.43,25.96,25.96,5297111,0.0000,1.0
2022-10-24,25.88,26.005,25.305,25.46,25.46,4930594,0.0000,1.0
2022-10-21,25.15,25.765,24.95,25.69,25.69,6585237,0.0000,1.0
2022-10-20,25.35,25.44,24.785,24.99,24.99,4805403,0.0000,1.0
2022-10-19,25.11,25.46,24.99,25.33,25.33,4962520,0.0000,1.0
2022-10-18,25.3,25.58,25.25,25.39,25.39,4184831,0.0000,1.0
2022-10-17,24.88,25.22,24.775,24.89,24.89,3885280,0.0000,1.0
2022-10-14,24.87,25.04,24.19,24.5,24.5,6065522,0.0000,1.0
2022-10-13,23.585,24.775,23.465,24.67,24.67,5565416,0.0000,1.0
2022-10-12,24.68,24.75,23.92,23.98,23.98,6491768,0.0000,1.0
