timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,122.16,123.45,118.845,119.54,119.54,7089098,0.0000,1.0
2022-11-25,124.86,125.36,123.4,123.45,123.45,3153811,0.0000,1.0
2022-11-23,123.54,127.035,123.29,125.15,125.15,5481482,0.0000,1.0
2022-11-22,120.84,123.79,120.03,123.65,123.65,7010166,0.0000,1.0
2022-11-21,121.09,122.5,120.1,120.2,120.2,8204212,0.0000,1.0
2022-11-18,124.04,124.49,122.13,123.85,123.85,6436642,0.0000,1.0
2022-11-17,118.95,123.115,118.71,122.86,122.86,7281360,0.0000,1.0
2022-11-16,123.2,123.84,119.96,120.73,120.73,9561722,0.0000,1.0
2022-11-15,125.65,128.125,123.42,126.02,126.02,12470176,0.0000,1.0
2022-11-14,120.74,123.21,120.26,120.8,120.8,6971004,0.0000,1.0
2022-11-11,118.99,122.1598,118.99,121.43,121.43,9433817,0.0000,1.0
2022-11-10,115.91,121.0,114.525,120.68,120.68,11673186,0.0000,1.0
2022-11-09,111.46,113.505,110.27,110.43,110.43,9581279,0.0000,1.0
2022-11-08,111.57,114.89,109.92,112.54,112.54,9383559,0.0000,1.0
2022-11-07,107.48,110.28,106.26,110.09,110.09,7570837,0.0000,1.0
2022-11-04,106.61,107.5,104.3304,106.69,106.69,11977934,0.0000,1.0
2022-11-03,104.38,106.5,101.93,103.88,103.88,24706112,0.0000,1.0
2022-11-02,118.71,118.79,112.25,112.5,112.5,13936307,0.0000,1.0
2022-11-01,119.74,120.63,116.75,117.33,117.33,5749063,0.0000,1.0
2022-10-31,118.13,118.38,115.4,117.66,117.66,6870809,0.0000,1.0
2022-10-28,114.17,119.45,112.33,119.21,119.21,9418673,0.0000,1.0
2022-10-27,119.315,120.6,114.38,114.7,114.7,8937212,0.0000,1.0
2022-10-26,118.04,120.74,116.16,118.11,118.11,7354985,0.0000,1.0
2022-10-25,116.57,119.94,116.225,119.17,119.17,6205073,0.0000,1.0
2022-10-24,116.34,117.0211,114.24,116.38,116.38,6525680,0.0000,1.0
2022-10-21,111.75,115.99,111.02,115.74,115.74,7490087,0.0000,1.0
2022-10-20,113.165,116.09,111.72,111.98,111.98,7736402,0.0000,1.0
2022-10-19,110.86,113.67,110.75,112.85,112.85,5620199,0.0000,1.0
2022-10-18,114.95,116.0885,109.54,111.21,111.21,8908873,0.0000,1.0
2022-10-17,113.92,114.48,110.61,111.59,111.59,7886423,0.0000,1.0
2022-10-14,114.63,114.99,109.79,109.95,109.95,7997634,0.0000,1.0
2022-10-13,105.38,115.2,104.66,112.86,112.86,10455003,0.0000,1.0
2022-10-12,110.32,110.8,108.38,108.64,108.64,6987880,0.0000,1.0
2022-10-11,112.0,112.49,108.65,110.03,110.03,10758814,0.0000,1.0
2022-10-10,120.59,121.04,113.45,114.6,114.6,9512641,0.0000,1.0
2022-10-07,122.62,124.11,120.32,120.91,120.91,8618545,0.0000,1.0
2022-10-06,124.51,127.209,124.4,125.28,125.28,6238604,0.0000,1.0
2022-10-05,120.88,125.56,120.53,124.89,124.89,7070311,0.0000,1.0
2022-10-04,120.4,122.45,120.32,122.37,122.37,6637248,0.0000,1.0
2022-10-03,114.99,118.3168,113.665,117.22,117.22,7481733,0.0000,1.0
2022-09-30,113.76,116.28,112.92,112.98,112.98,7568126,0.0000,1.0
2022-09-29,117.28,117.47,113.46,114.84,114.84,12125786,0.0000,1.0
2022-09-28,118.58,120.45,117.78,118.93,118.93,11321161,0.0000,1.0
2022-09-27,121.56,122.6778,118.75,120.34,120.34,5544423,0.0000,1.0
2022-09-26,121.54,123.18,119.59,119.74,119.74,6424637,0.0000,1.0
2022-09-23,122.34,122.68,119.05,121.19,121.19,10681286,0.0000,1.0
2022-09-22,124.75,125.16,122.47,123.68,123.68,8672180,0.0000,1.0
2022-09-21,125.44,129.79,124.5,124.62,124.62,8123668,0.0000,1.0
2022-09-20,125.74,126.55,123.89,124.77,124.77,5672744,0.0000,1.0
2022-09-19,123.62,127.18,123.41,126.65,126.65,5922656,0.0000,1.0
2022-09-16,124.12,125.74,123.045,124.95,124.95,13818496,0.0000,1.0
2022-09-15,126.7,128.0845,124.23,124.98,124.98,7459628,0.0000,1.0
2022-09-14,126.27,127.9,125.5,127.53,127.53,7509299,0.0000,1.0
2022-09-13,128.38,129.9,124.49,124.93,124.93,9610889,0.0000,1.0
2022-09-12,133.0,134.22,132.32,133.0,133.0,7081303,0.0000,1.0
2022-09-09,130.68,132.61,130.3082,132.05,132.05,5100116,0.0000,1.0
2022-09-08,127.47,129.8,125.9,128.85,128.85,6618782,0.0000,1.0
2022-09-07,127.47,129.78,126.37,128.6,128.6,5340100,0.0000,1.0
2022-09-06,128.84,129.52,126.21,126.67,126.67,6649197,0.0000,1.0
2022-09-02,131.64,132.67,127.56,128.48,128.48,6121409,0.0000,1.0
2022-09-01,129.98,130.13,126.0833,129.92,129.92,8716270,0.0000,1.0
2022-08-31,133.79,134.17,131.3,132.27,132.27,8701117,0.7500,1.0
2022-08-30,137.8,138.3,132.94,134.41,133.652162833,6147355,0.0000,1.0
2022-08-29,137.81,139.13,136.11,137.08,136.307108705,6840987,0.0000,1.0
2022-08-26,146.16,147.36,138.05,138.38,137.599778981,7918641,0.0000,1.0
2022-08-25,142.34,147.0,142.02,146.25,145.425405954,5618848,0.0000,1.0
2022-08-24,140.25,141.71,138.61,141.31,140.513258908,5113128,0.0000,1.0
2022-08-23,142.09,143.61,140.56,140.72,139.926585476,4499332,0.0000,1.0
2022-08-22,145.3,145.8106,141.1,141.61,140.811567433,6736816,0.0000,1.0
2022-08-19,149.29,150.38,146.9,147.6,146.767794317,5400320,0.0000,1.0
2022-08-18,148.07,152.91,147.76,151.38,150.526481732,7808233,0.0000,1.0
2022-08-17,148.23,149.63,146.36,148.53,147.692550744,5169594,0.0000,1.0
2022-08-16,151.45,152.49,148.85,150.03,149.184093369,5270822,0.0000,1.0
2022-08-15,150.32,152.7,148.395,152.13,151.272253045,4502857,0.0000,1.0
2022-08-12,148.0,151.47,147.18,151.29,150.436989175,4967492,0.0000,1.0
2022-08-11,148.31,151.64,147.02,147.83,146.996497519,6243214,0.0000,1.0
2022-08-10,145.85,147.18,143.69,146.99,146.161233649,6839997,0.0000,1.0
2022-08-09,145.59,146.5,141.31,142.51,141.706493009,6770803,0.0000,1.0
2022-08-08,149.81,151.19,146.55,147.81,146.976610284,5564307,0.0000,1.0
2022-08-05,148.57,151.2834,147.67,150.21,149.363078484,5041315,0.0000,1.0
2022-08-04,148.68,151.16,147.7089,151.01,150.158567885,6254693,0.0000,1.0
2022-08-03,147.66,150.335,146.59,149.16,148.318998647,6890200,0.0000,1.0
2022-08-02,145.69,149.4,144.84,147.03,146.201008119,5946415,0.0000,1.0
2022-08-01,144.31,149.46,144.07,147.43,146.598752819,7611417,0.0000,1.0
2022-07-29,144.595,145.31,140.67,145.06,144.242115471,11749403,0.0000,1.0
2022-07-28,149.78,149.99,143.0,146.45,145.624278304,17050977,0.0000,1.0
2022-07-27,151.525,154.8,150.55,153.42,152.554979702,12863027,0.0000,1.0
2022-07-26,152.62,152.7,149.81,149.97,149.124431664,5941787,0.0000,1.0
2022-07-25,152.8,154.04,151.671,153.25,152.385938205,4928925,0.0000,1.0
2022-07-22,155.66,156.66,152.35,153.7,152.833400992,7200136,0.0000,1.0
2022-07-21,152.88,155.92,150.63,155.86,154.981222373,8060419,0.0000,1.0
2022-07-20,147.43,152.33,146.62,151.71,150.85462111,8517374,0.0000,1.0
2022-07-19,144.14,148.47,143.175,147.37,146.539091114,9686500,0.0000,1.0
2022-07-18,145.97,146.43,140.82,141.69,140.891116373,7856599,0.0000,1.0
2022-07-15,143.76,145.48,142.03,144.37,143.556005864,11880450,0.0000,1.0
2022-07-14,134.94,142.35,133.85,141.9,141.099932341,10718681,0.0000,1.0
2022-07-13,130.55,136.78,130.52,135.64,134.875227785,7200225,0.0000,1.0
2022-07-12,133.74,135.35,131.96,132.95,132.200394677,5991262,0.0000,1.0
2022-07-11,133.59,134.595,131.32,132.24,131.494397835,5898175,0.0000,1.0
2022-07-08,132.52,136.39,131.62,136.01,135.243141633,8393153,0.0000,1.0
2022-07-07,130.65,134.71,130.26,134.4,133.642219215,9408097,0.0000,1.0
2022-07-06,126.06,128.23,125.055,127.06,126.343603969,6038378,0.0000,1.0
