timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,332.67,334.97,328.52,329.14,329.14,220030,0.0000,1.0
2022-11-25,331.4,336.035,331.09,334.42,334.42,95277,0.0000,1.0
2022-11-23,327.84,332.87,327.84,328.91,328.91,238131,0.0000,1.0
2022-11-22,324.92,327.47,322.38,327.25,327.25,234830,1.6500,1.0
2022-11-21,323.23,325.38,320.03,324.05,322.424331104,232928,0.0000,1.0
2022-11-18,321.12,325.98,318.14,323.49,321.867140468,430000,0.0000,1.0
2022-11-17,314.44,320.01,312.28,317.38,315.787792642,229985,0.0000,1.0
2022-11-16,316.06,320.71,313.44,317.4,315.807692308,239819,0.0000,1.0
2022-11-15,312.05,316.23,307.9,316.21,314.623662207,280086,0.0000,1.0
2022-11-14,310.13,315.21,309.86,310.08,308.524414716,229898,0.0000,1.0
2022-11-11,321.96,322.15,306.02,308.71,307.161287625,444163,0.0000,1.0
2022-11-10,326.81,327.76,318.41,320.19,318.583695652,336751,0.0000,1.0
2022-11-09,322.69,325.96,319.49,320.04,318.434448161,252373,0.0000,1.0
2022-11-08,327.55,331.96,325.25,325.68,324.046153846,242580,0.0000,1.0
2022-11-07,333.79,333.88,325.56,328.77,327.120652174,301607,0.0000,1.0
2022-11-04,333.89,337.5,327.655,333.16,331.488628763,587484,0.0000,1.0
2022-11-03,320.18,331.9,318.84,331.07,329.409113712,450316,0.0000,1.0
2022-11-02,316.16,328.1,313.92,321.87,320.255267559,617864,0.0000,1.0
2022-11-01,324.005,324.92,314.795,316.03,314.444565217,561373,0.0000,1.0
2022-10-31,318.16,324.63,316.9275,322.66,321.041304348,422717,0.0000,1.0
2022-10-28,303.71,321.78,303.71,321.64,320.026421405,709889,0.0000,1.0
2022-10-27,291.53,304.36,289.555,301.76,300.246153846,510066,0.0000,1.0
2022-10-26,286.14,287.3109,279.89,281.58,280.167391304,327747,0.0000,1.0
2022-10-25,280.64,283.19,277.09,283.06,281.639966555,295853,0.0000,1.0
2022-10-24,281.97,284.899,281.03,284.39,282.963294314,219822,0.0000,1.0
2022-10-21,271.16,282.4,270.34,279.88,278.475919732,398976,0.0000,1.0
2022-10-20,276.67,276.67,269.79,270.01,268.655434783,339761,0.0000,1.0
2022-10-19,277.14,280.685,275.985,279.68,278.276923077,246171,0.0000,1.0
2022-10-18,278.31,280.62,277.11,278.26,276.864046823,266156,0.0000,1.0
2022-10-17,275.03,275.08,271.57,273.65,272.277173913,221600,0.0000,1.0
2022-10-14,275.2,278.45,269.5175,270.31,268.953929766,286729,0.0000,1.0
2022-10-13,257.74,275.13,256.71,273.88,272.506020067,337568,0.0000,1.0
2022-10-12,267.48,267.48,260.77,260.84,259.531438127,275147,0.0000,1.0
2022-10-11,267.19,271.155,266.27,267.69,266.347073579,232446,0.0000,1.0
2022-10-10,265.73,269.72,264.32,267.5,266.158026756,231231,0.0000,1.0
2022-10-07,270.2,270.2,262.45,264.43,263.103428094,307948,0.0000,1.0
2022-10-06,270.93,272.62,270.28,272.31,270.943896321,258229,0.0000,1.0
2022-10-05,273.83,277.015,272.68,273.73,272.356772575,369861,0.0000,1.0
2022-10-04,267.87,277.13,267.87,276.94,275.550668896,348150,0.0000,1.0
2022-10-03,264.97,266.925,258.93,265.89,264.556103679,321037,0.0000,1.0
2022-09-30,269.24,271.92,261.71,262.44,261.123411371,430071,0.0000,1.0
2022-09-29,257.43,268.69,255.94,267.5,266.158026756,403184,0.0000,1.0
2022-09-28,254.51,262.15,253.82,259.44,258.138461538,490751,0.0000,1.0
2022-09-27,246.99,254.195,244.575,253.85,252.576505017,706347,0.0000,1.0
2022-09-26,252.73,254.57,245.43,245.79,244.556939799,571583,0.0000,1.0
2022-09-23,254.77,255.715,251.66,255.12,253.840133779,380136,0.0000,1.0
2022-09-22,261.42,261.42,254.91,257.5,256.20819398,414122,0.0000,1.0
2022-09-21,270.96,273.87,260.76,260.82,259.511538462,330674,0.0000,1.0
2022-09-20,282.78,282.78,270.8975,271.46,270.098160535,466596,0.0000,1.0
2022-09-19,280.37,284.8129,280.37,284.02,282.595150502,241909,0.0000,1.0
2022-09-16,283.16,283.52,279.965,283.07,281.649916388,418364,0.0000,1.0
2022-09-15,280.78,286.58,279.77,285.02,283.590133779,201258,0.0000,1.0
2022-09-14,278.95,281.4825,276.21,280.15,278.744565217,267906,0.0000,1.0
2022-09-13,279.39,283.27,279.12,279.48,278.077926421,206812,0.0000,1.0
2022-09-12,284.76,286.4,282.37,282.83,281.411120401,300590,0.0000,1.0
2022-09-09,286.37,287.39,282.23,282.69,281.271822742,307683,0.0000,1.0
2022-09-08,280.62,286.825,280.62,285.53,284.097575251,205849,0.0000,1.0
2022-09-07,273.53,282.05,272.301,281.42,280.00819398,258396,0.0000,1.0
2022-09-06,276.01,277.12,272.016,274.4,273.023411371,227479,0.0000,1.0
2022-09-02,274.38,280.195,272.78,274.01,272.635367893,167769,0.0000,1.0
2022-09-01,268.75,272.51,267.98,272.35,270.983695652,197107,0.0000,1.0
2022-08-31,270.89,272.21,268.71,269.05,267.700250836,234498,0.0000,1.0
2022-08-30,272.52,272.52,268.87,269.5,268.147993311,111537,0.0000,1.0
2022-08-29,268.66,274.92,267.325,272.13,270.764799331,171041,0.0000,1.0
2022-08-26,277.49,277.49,272.78,272.92,271.55083612,123943,0.0000,1.0
2022-08-25,274.42,277.45,273.425,276.83,275.441220736,164496,0.0000,1.0
2022-08-24,271.87,273.95,270.7,273.71,272.33687291,138018,0.0000,1.0
