timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,151.42,152.36,150.81,151.57,151.57,795243,0.0000,1.0
2022-11-25,149.7,151.26,149.51,151.26,151.26,319180,0.0000,1.0
2022-11-23,149.45,149.99,148.28,149.47,149.47,776253,0.0000,1.0
2022-11-22,149.44,149.773,147.345,149.23,149.23,978074,0.0000,1.0
2022-11-21,143.69,149.19,140.3,148.11,148.11,1889381,0.0000,1.0
2022-11-18,145.84,147.17,144.65,146.14,146.14,2064541,0.0000,1.0
2022-11-17,143.0,144.9,142.75,144.54,144.54,623584,0.0000,1.0
2022-11-16,141.65,145.04,141.65,143.63,143.63,817971,0.0000,1.0
2022-11-15,141.63,141.95,139.8,140.48,140.48,919854,0.0000,1.0
2022-11-14,143.7,144.49,141.625,141.65,141.65,872980,0.0000,1.0
2022-11-11,145.78,145.78,138.79,142.61,142.61,1207204,0.0000,1.0
2022-11-10,148.83,148.865,141.3,145.87,145.87,1315448,0.0000,1.0
2022-11-09,149.03,150.795,147.5,147.63,147.63,552936,1.0200,1.0
2022-11-08,149.38,151.58,149.0,149.79,148.762177598,553970,0.0000,1.0
2022-11-07,149.55,150.95,148.93,149.27,148.245745711,467245,0.0000,1.0
2022-11-04,149.47,150.885,148.08,149.38,148.354990918,634475,0.0000,1.0
2022-11-03,148.38,149.67,146.94,148.78,147.759107972,781222,0.0000,1.0
2022-11-02,149.23,151.4,148.69,149.26,148.235814329,698379,0.0000,1.0
2022-11-01,150.41,151.215,149.0,149.31,148.285471241,767973,0.0000,1.0
2022-10-31,150.66,152.16,149.8724,150.66,149.626207871,1450969,0.0000,1.0
2022-10-28,148.53,152.07,147.92,150.73,149.695727548,899103,0.0000,1.0
2022-10-27,148.45,151.24,148.43,148.69,147.66972553,916198,0.0000,1.0
2022-10-26,146.76,148.39,145.67,147.56,146.547479314,828985,0.0000,1.0
2022-10-25,144.98,146.732,144.575,146.0,144.998183653,1011602,0.0000,1.0
2022-10-24,143.92,145.79,143.68,145.08,144.084496468,631956,0.0000,1.0
2022-10-21,140.95,143.31,140.53,142.81,141.830072654,621275,0.0000,1.0
2022-10-20,143.01,143.12,140.78,141.05,140.082149344,678236,0.0000,1.0
2022-10-19,142.59,143.18,141.42,143.04,142.05849445,693554,0.0000,1.0
2022-10-18,140.5,142.32,140.46,142.25,141.273915237,633409,0.0000,1.0
2022-10-17,141.56,142.33,139.72,139.97,139.00956004,600082,0.0000,1.0
2022-10-14,142.51,143.47,140.63,141.03,140.062286579,528622,0.0000,1.0
2022-10-13,139.62,143.27,139.03,142.34,141.363297679,533075,0.0000,1.0
2022-10-12,141.82,142.85,140.68,140.94,139.972904137,712333,0.0000,1.0
2022-10-11,141.51,143.935,141.155,141.46,140.489336024,744243,0.0000,1.0
2022-10-10,138.49,141.82,138.49,141.35,140.380090817,589361,0.0000,1.0
2022-10-07,138.05,138.39,136.88,137.59,136.645891019,641916,0.0000,1.0
2022-10-06,141.09,141.12,137.305,138.08,137.132528759,585200,0.0000,1.0
2022-10-05,142.4,142.43,140.0,141.26,140.290708375,663177,0.0000,1.0
2022-10-04,139.78,142.28,139.765,142.11,141.134875883,758429,0.0000,1.0
2022-10-03,138.57,140.02,137.65,139.56,138.60237336,642434,0.0000,1.0
2022-09-30,139.09,139.74,136.99,137.41,136.467126135,1147623,0.0000,1.0
2022-09-29,139.18,139.625,137.47,139.0,138.046215943,809970,0.0000,1.0
2022-09-28,137.09,140.03,135.44,139.18,138.224980827,706190,0.0000,1.0
2022-09-27,139.84,140.36,136.33,136.59,135.652752775,791160,0.0000,1.0
2022-09-26,140.3,141.98,139.48,139.52,138.56264783,700876,0.0000,1.0
2022-09-23,141.11,142.6814,138.81,140.65,139.684894046,658549,0.0000,1.0
2022-09-22,140.95,143.05,140.55,142.03,141.055424823,927930,0.0000,1.0
2022-09-21,139.92,142.75,139.82,140.51,139.545854692,590749,0.0000,1.0
2022-09-20,139.11,140.04,138.08,139.2,138.244843592,468041,0.0000,1.0
2022-09-19,138.94,140.17,138.75,139.96,138.999628658,426516,0.0000,1.0
2022-09-16,139.31,140.23,138.14,138.88,137.927039354,1917094,0.0000,1.0
2022-09-15,139.13,139.62,137.53,139.15,138.19518668,568681,0.0000,1.0
2022-09-14,139.33,140.11,138.34,139.04,138.085941473,745131,0.0000,1.0
2022-09-13,141.37,142.33,138.86,139.34,138.383882947,999434,0.0000,1.0
2022-09-12,139.96,141.56,138.78,141.4,140.42974773,741750,0.0000,1.0
2022-09-09,139.39,140.59,137.7,139.44,138.483196771,558448,0.0000,1.0
2022-09-08,139.8,140.66,137.44,138.64,137.688686176,788163,0.0000,1.0
2022-09-07,138.96,141.1,138.06,140.92,139.953041372,632080,0.0000,1.0
2022-09-06,140.14,141.54,138.11,138.63,137.678754793,775350,0.0000,1.0
2022-09-02,142.52,143.45,139.64,140.0,139.039354188,632227,0.0000,1.0
2022-09-01,139.6,142.45,138.75,141.99,141.015699294,871397,0.0000,1.0
2022-08-31,141.12,141.99,139.84,139.99,139.029422805,927301,0.0000,1.0
2022-08-30,141.74,142.09,140.2,140.81,139.843796165,663163,0.0000,1.0
2022-08-29,141.38,142.76,140.46,142.0,141.025630676,460131,0.0000,1.0
2022-08-26,143.88,144.0,141.57,141.59,140.618443996,686188,0.0000,1.0
2022-08-25,143.65,143.82,142.375,143.64,142.654377397,727400,0.0000,1.0
2022-08-24,143.35,144.8999,142.35,144.13,143.141015136,1056653,0.0000,1.0
2022-08-23,141.19,143.33,138.75,142.35,141.373229062,1959143,0.0000,1.0
2022-08-22,139.5,139.925,136.8,137.75,136.804793138,928754,0.0000,1.0
2022-08-19,139.81,140.76,139.12,139.77,138.810932392,1865557,0.0000,1.0
2022-08-18,139.38,139.73,137.692,139.32,138.364020182,588967,0.0000,1.0
2022-08-17,139.11,140.5,138.21,139.38,138.423608476,824488,0.0000,1.0
2022-08-16,136.16,138.71,135.81,137.53,136.586302725,773580,0.0000,1.0
2022-08-15,133.85,136.425,133.18,135.89,134.957556004,781035,0.0000,1.0
2022-08-12,133.08,133.89,132.42,133.79,132.871965691,809867,0.0000,1.0
2022-08-11,133.32,134.6,132.399,132.66,131.749719475,597745,1.0200,1.0
2022-08-10,134.94,135.35,133.29,134.08,132.143943651,704738,0.0000,1.0
2022-08-09,133.75,135.045,133.32,134.23,132.291777717,670046,0.0000,1.0
2022-08-08,133.08,134.534,132.84,133.16,131.237228047,592997,0.0000,1.0
2022-08-05,133.53,133.53,130.68,133.08,131.158383212,555244,0.0000,1.0
2022-08-04,133.66,135.0,132.92,133.11,131.187950025,755204,0.0000,1.0
2022-08-03,133.62,134.53,132.55,134.22,132.281922112,511773,0.0000,1.0
2022-08-02,134.2,134.2,133.08,133.96,132.025676398,617005,0.0000,1.0
2022-08-01,132.18,134.73,132.18,134.05,132.114376838,963309,0.0000,1.0
2022-07-29,130.53,132.51,129.855,132.32,130.409357278,970519,0.0000,1.0
2022-07-28,129.42,131.07,128.45,131.0,129.108417499,697597,0.0000,1.0
2022-07-27,129.86,130.18,125.825,129.43,127.56108761,719834,0.0000,1.0
2022-07-26,128.82,130.7,126.48,130.55,128.664915301,855870,0.0000,1.0
2022-07-25,130.67,131.3,129.63,130.5,128.61563728,511262,0.0000,1.0
2022-07-22,129.04,130.55,128.3,130.19,128.310113543,492783,0.0000,1.0
2022-07-21,128.82,129.5,128.15,128.74,126.881050907,539252,0.0000,1.0
2022-07-20,131.43,131.45,128.08,129.43,127.56108761,617760,0.0000,1.0
2022-07-19,131.17,131.56,129.95,131.18,129.285818378,661809,0.0000,1.0
2022-07-18,131.75,132.515,130.56,130.57,128.68462651,552912,0.0000,1.0
2022-07-15,133.38,133.38,131.19,131.79,129.887010246,500620,0.0000,1.0
2022-07-14,132.64,133.38,131.71,132.79,130.872570685,569745,0.0000,1.0
2022-07-13,132.64,136.2,132.61,134.64,132.695857497,900808,0.0000,1.0
2022-07-12,132.71,134.91,132.455,133.11,131.187950025,590295,0.0000,1.0
2022-07-11,132.34,133.71,132.04,133.04,131.118960794,598298,0.0000,1.0
2022-07-08,133.78,134.12,131.9,131.95,130.044699916,568829,0.0000,1.0
2022-07-07,131.39,133.345,131.07,132.9,130.980982333,885286,0.0000,1.0
2022-07-06,131.5,133.18,131.14,132.09,130.182678377,1023235,0.0000,1.0
2022-07-05,131.12,131.54,128.57,131.48,129.58148651,1197946,0.0000,1.0
2022-07-01,128.53,131.51,127.8,131.19,129.295673982,1041694,0.0000,1.0
