timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,241.27,242.06,238.24,238.73,238.73,287724,0.0000,1.0
2022-11-25,242.75,243.92,241.47,242.78,242.78,100654,0.0000,1.0
2022-11-23,240.16,242.21,239.3565,241.17,241.17,155689,0.0000,1.0
2022-11-22,237.63,240.41,236.24,239.64,239.64,208770,0.0000,1.0
2022-11-21,235.89,238.2,235.8,236.59,236.59,229692,0.0000,1.0
2022-11-18,235.65,236.821,233.02,236.38,236.38,257384,1.6200,1.0
2022-11-17,231.12,234.5,229.46,234.37,232.774708403,182554,0.0000,1.0
2022-11-16,235.81,235.81,232.64,233.98,232.387363025,270124,0.0000,1.0
2022-11-15,234.96,237.0,234.05,236.31,234.701503361,254701,0.0000,1.0
2022-11-14,233.24,237.08,232.955,233.75,232.158928571,285238,0.0000,1.0
2022-11-11,235.81,237.37,232.7192,234.31,232.715116807,277665,0.0000,1.0
2022-11-10,234.22,236.219,231.04,236.03,234.423409244,282741,0.0000,1.0
2022-11-09,227.33,230.38,226.21,227.37,225.822355462,234288,0.0000,1.0
2022-11-08,230.22,231.77,226.4623,228.56,227.004255462,237733,0.0000,1.0
2022-11-07,230.5,230.865,226.79,229.09,227.530647899,230722,0.0000,1.0
2022-11-04,224.8,229.29,223.85,229.14,227.580307563,245341,0.0000,1.0
2022-11-03,218.57,222.39,215.555,220.68,219.177892437,256691,0.0000,1.0
2022-11-02,221.03,225.39,219.23,220.03,218.532316807,352882,0.0000,1.0
2022-11-01,223.25,223.42,220.0,221.87,220.359792437,208386,0.0000,1.0
2022-10-31,219.03,222.62,218.28,222.05,220.538567227,347254,0.0000,1.0
2022-10-28,215.47,219.86,215.47,219.55,218.055584034,388587,0.0000,1.0
2022-10-27,217.82,219.39,214.11,214.97,213.506758824,656598,0.0000,1.0
2022-10-26,219.22,220.04,214.89,216.25,214.778046218,302685,0.0000,1.0
2022-10-25,212.59,218.34,212.59,218.24,216.75450084,325517,0.0000,1.0
2022-10-24,209.99,212.89,209.98,212.72,211.27207395,333464,0.0000,1.0
2022-10-21,204.97,208.4,201.8,207.75,206.335903361,517752,0.0000,1.0
2022-10-20,212.11,212.995,203.12,203.14,201.757282353,637918,0.0000,1.0
2022-10-19,216.28,216.765,212.7,213.7,212.245403361,335425,0.0000,1.0
2022-10-18,215.94,218.51,214.66,216.64,215.165391597,307559,0.0000,1.0
2022-10-17,212.58,214.18,211.71,212.5,211.053571429,423407,0.0000,1.0
2022-10-14,213.59,214.74,208.81,209.6,208.173310924,225103,0.0000,1.0
2022-10-13,204.77,214.14,202.96,212.37,210.924456303,273824,0.0000,1.0
2022-10-12,209.44,210.71,207.68,207.79,206.375631092,206052,0.0000,1.0
2022-10-11,209.28,211.57,207.77,209.04,207.617122689,232789,0.0000,1.0
2022-10-10,211.41,212.14,207.5934,209.29,207.865421008,202477,0.0000,1.0
2022-10-07,212.34,212.34,208.04,209.55,208.123651261,211647,0.0000,1.0
2022-10-06,213.89,215.535,213.44,213.81,212.354654622,218725,0.0000,1.0
2022-10-05,211.66,215.13,211.54,214.0,212.543361345,209238,0.0000,1.0
2022-10-04,209.97,214.45,209.97,214.42,212.960502521,225235,0.0000,1.0
2022-10-03,203.99,208.15,202.61,206.96,205.551280672,323893,0.0000,1.0
2022-09-30,203.65,205.69,200.75,201.35,199.979466387,416853,0.0000,1.0
2022-09-29,206.65,206.65,202.0,202.76,201.379868908,342603,0.0000,1.0
2022-09-28,205.72,209.122,203.93,208.08,206.663657143,274716,0.0000,1.0
2022-09-27,209.05,209.87,202.435,204.32,202.92925042,299788,0.0000,1.0
2022-09-26,205.92,209.39,205.45,206.64,205.233458824,314416,0.0000,1.0
2022-09-23,208.83,208.83,202.84,206.45,205.044752101,323538,0.0000,1.0
2022-09-22,216.1,217.1786,210.84,210.92,209.48432605,253173,0.0000,1.0
2022-09-21,218.94,221.5,215.63,215.79,214.321177311,248911,0.0000,1.0
2022-09-20,218.95,218.95,215.28,217.24,215.761307563,250648,0.0000,1.0
2022-09-19,214.09,220.86,214.09,220.72,219.217620168,258789,0.0000,1.0
2022-09-16,213.08,215.63,211.1562,215.46,213.993423529,677066,0.0000,1.0
2022-09-15,217.17,218.51,213.65,214.83,213.367711765,280642,0.0000,1.0
2022-09-14,217.45,218.4,214.58,216.73,215.254778992,354880,0.0000,1.0
2022-09-13,220.05,221.43,216.66,217.21,215.731511765,340157,0.0000,1.0
2022-09-12,223.07,225.16,222.73,224.85,223.319508403,324149,0.0000,1.0
2022-09-09,223.67,225.0989,222.78,223.43,221.90917395,174410,0.0000,1.0
2022-09-08,221.19,223.3,219.29,222.35,220.83652521,341505,0.0000,1.0
2022-09-07,217.09,223.69,216.02,223.47,221.948901681,342837,0.0000,1.0
2022-09-06,214.7,217.32,212.9,217.11,215.632192437,318090,0.0000,1.0
2022-09-02,217.8,218.465,212.3077,213.41,211.957377311,282768,0.0000,1.0
2022-09-01,216.44,217.315,213.94,215.0,213.536554622,323100,0.0000,1.0
2022-08-31,218.89,219.08,216.44,217.86,216.377087395,359480,0.0000,1.0
2022-08-30,222.14,222.14,217.48,218.26,216.774364706,278422,0.0000,1.0
2022-08-29,218.28,221.71,217.78,221.42,219.912855462,242339,0.0000,1.0
2022-08-26,228.66,228.66,220.16,220.25,218.750819328,220108,0.0000,1.0
2022-08-25,224.36,227.98,224.36,227.93,226.378543697,192453,0.0000,1.0
2022-08-24,223.27,224.11,221.785,223.95,222.425634454,186739,0.0000,1.0
2022-08-23,223.65,224.6,222.36,223.1,221.581420168,187072,0.0000,1.0
2022-08-22,227.62,228.02,223.5,223.65,222.127676471,206403,0.0000,1.0
2022-08-19,231.17,231.89,229.56,230.13,228.563568908,229785,0.0000,1.0
2022-08-18,230.73,232.25,230.35,231.91,230.331452941,153357,1.4200,1.0
2022-08-17,231.22,232.43,230.67,231.58,228.603942365,225815,0.0000,1.0
2022-08-16,229.77,234.91,229.1812,233.35,230.351195919,293647,0.0000,1.0
2022-08-15,229.66,231.115,229.11,230.57,227.606921976,226692,0.0000,1.0
2022-08-12,228.99,231.48,228.03,231.36,228.386769607,298421,0.0000,1.0
2022-08-11,228.84,230.135,226.66,228.74,225.800439488,328178,0.0000,1.0
2022-08-10,225.0,227.38,224.2426,226.79,223.875499132,186679,0.0000,1.0
2022-08-09,223.77,223.93,220.9,221.47,218.623866982,156228,0.0000,1.0
2022-08-08,223.55,225.27,222.58,224.42,221.535956238,361186,0.0000,1.0
2022-08-05,222.01,223.96,220.51,223.0,220.1342048,232618,0.0000,1.0
2022-08-04,223.16,223.97,222.365,223.06,220.193433734,254284,0.0000,1.0
2022-08-03,221.7,223.83,220.61,223.16,220.292148624,263332,0.0000,1.0
2022-08-02,223.71,224.13,220.89,221.62,218.771939317,413041,0.0000,1.0
2022-08-01,222.98,224.38,221.068,224.0,221.1213537,186011,0.0000,1.0
2022-07-29,222.46,224.5,220.8,224.05,221.170711145,372829,0.0000,1.0
2022-07-28,218.06,222.17,218.06,221.61,218.762067828,360975,0.0000,1.0
2022-07-27,215.76,220.15,214.63,219.27,216.452139401,332013,0.0000,1.0
2022-07-26,212.94,216.32,212.77,215.99,213.214291007,305273,0.0000,1.0
2022-07-25,214.15,215.59,211.97,214.18,211.427551498,317879,0.0000,1.0
2022-07-22,213.0,214.7,211.81,213.27,210.529245998,468447,0.0000,1.0
2022-07-21,208.36,214.68,206.0,211.81,209.088008604,488786,0.0000,1.0
2022-07-20,207.66,208.74,206.1,207.82,205.149284491,256623,0.0000,1.0
2022-07-19,202.67,208.14,202.67,207.55,204.882754288,329749,0.0000,1.0
2022-07-18,199.29,201.51,199.0,200.31,197.735796248,355700,0.0000,1.0
2022-07-15,199.08,199.24,196.13,197.87,195.327152931,193894,0.0000,1.0
2022-07-14,194.27,196.21,192.25,196.04,193.520670444,158591,0.0000,1.0
2022-07-13,197.01,198.76,195.81,197.17,194.636148701,187637,0.0000,1.0
2022-07-12,199.25,204.09,198.77,199.56,196.995434573,276742,0.0000,1.0
2022-07-11,197.13,199.145,196.905,197.89,195.346895909,219253,0.0000,1.0
2022-07-08,199.99,201.88,197.92,198.02,195.475225266,261507,0.0000,1.0
2022-07-07,200.31,202.21,199.39,201.34,198.752559616,213415,0.0000,1.0
2022-07-06,197.9,200.0,195.86,198.66,196.107000563,219303,0.0000,1.0
2022-07-05,195.12,198.82,193.09,198.7,196.146486519,242833,0.0000,1.0
2022-07-01,197.55,200.214,194.74,198.24,195.692398025,275089,0.0000,1.0
2022-06-30,196.09,198.84,195.07,197.03,194.497947855,355521,0.0000,1.0
2022-06-29,201.6,201.6,198.205,198.87,196.314301832,199873,0.0000,1.0
2022-06-28,205.96,206.61,201.0,201.11,198.525515369,291145,0.0000,1.0
2022-06-27,203.0,205.22,200.88,204.07,201.447476114,221030,0.0000,1.0
2022-06-24,197.0,202.72,196.43,201.87,199.275748533,391104,0.0000,1.0
2022-06-23,196.45,198.5,192.935,195.82,193.303497685,230844,0.0000,1.0
2022-06-22,194.75,197.7,194.12,196.6,194.073473828,274111,0.0000,1.0
2022-06-21,198.64,199.05,196.19,197.54,195.001393794,277273,0.0000,1.0
2022-06-17,191.51,197.69,190.08,195.73,193.214654284,1240441,0.0000,1.0
