timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,82.0,82.97,79.67,79.85,79.85,1777655,0.0000,1.0
2022-11-25,82.54,83.24,82.415,83.08,83.08,496647,0.0000,1.0
2022-11-23,82.18,82.39,80.99,82.28,82.28,1129262,0.0000,1.0
2022-11-22,81.15,82.32,80.78,82.27,82.27,1313156,0.0000,1.0
2022-11-21,79.46,80.89,79.33,80.76,80.76,1039950,0.0000,1.0
2022-11-18,81.8,82.68,78.88,80.2,80.2,1332977,0.0000,1.0
2022-11-17,80.01,80.9,79.02,80.5,80.5,1948090,0.0000,1.0
2022-11-16,84.94,85.31,80.97,81.7,81.7,1924846,0.0000,1.0
2022-11-15,83.25,86.19,83.21,85.34,85.34,2364714,0.0000,1.0
2022-11-14,84.09,84.15,81.02,81.17,81.17,1787714,0.0000,1.0
2022-11-11,81.49,85.65,81.325,84.2,84.2,2743850,0.0000,1.0
2022-11-10,77.52,81.46,76.76,81.45,81.45,3694084,0.0000,1.0
2022-11-09,75.59,76.12,73.48,73.86,73.86,1919019,0.0000,1.0
2022-11-08,77.1,78.79,75.33,76.49,76.49,1261037,0.0000,1.0
2022-11-07,75.73,76.89,74.0,76.47,76.47,1208452,0.0000,1.0
2022-11-04,72.79,74.8117,72.42,74.64,74.64,1618620,0.0000,1.0
2022-11-03,71.74,73.295,70.7,71.66,71.66,2109210,0.0000,1.0
2022-11-02,76.02,77.38,73.24,73.28,73.28,1999187,0.0000,1.0
2022-11-01,79.55,80.3,76.56,76.59,76.59,1829068,0.0000,1.0
2022-10-31,78.07,79.49,77.39,78.49,78.49,5726184,0.0000,1.0
2022-10-28,75.49,78.615,74.88,78.51,78.51,2808178,0.0000,1.0
2022-10-27,72.43,78.4,72.38,75.67,75.67,5882131,0.0000,1.0
2022-10-26,79.09,79.98,78.64,79.3,79.3,2951607,0.0000,1.0
2022-10-25,76.0,78.89,76.0,78.89,78.89,1697451,0.0000,1.0
2022-10-24,74.04,76.19,73.23,75.94,75.94,2041919,0.0000,1.0
2022-10-21,72.54,74.12,71.595,73.95,73.95,1868132,0.0000,1.0
2022-10-20,74.48,75.97,72.08,72.15,72.15,1783311,0.0000,1.0
2022-10-19,76.41,76.82,73.17,74.09,74.09,1923608,0.0000,1.0
2022-10-18,78.37,79.065,75.99,77.33,77.33,2351054,0.0000,1.0
2022-10-17,78.63,78.88,76.32,76.47,76.47,1655790,0.0000,1.0
2022-10-14,77.04,77.83,76.04,76.53,76.53,1520891,0.0000,1.0
2022-10-13,73.15,77.78,70.24,77.04,77.04,2653349,0.0000,1.0
2022-10-12,76.01,76.73,74.51,75.72,75.72,2179426,0.0000,1.0
2022-10-11,77.05,78.2,75.99,76.65,76.65,2405171,0.0000,1.0
2022-10-10,78.34,78.43,76.28,77.24,77.24,1311263,0.0000,1.0
2022-10-07,79.89,80.01,77.25,77.52,77.52,1839885,0.0000,1.0
2022-10-06,82.16,82.995,80.6305,81.06,81.06,1325493,0.0000,1.0
2022-10-05,81.74,82.96,80.71,82.3,82.3,1185494,0.0000,1.0
2022-10-04,80.4,83.39,80.4,83.22,83.22,2125685,0.0000,1.0
2022-10-03,76.33,79.7248,76.16,79.03,79.03,2049792,0.0000,1.0
2022-09-30,77.61,77.96,75.13,75.21,75.21,1893461,0.0000,1.0
2022-09-29,78.34,78.64,76.185,77.21,77.21,1528222,0.0000,1.0
2022-09-28,78.23,79.96,78.08,79.59,79.59,1432972,0.0000,1.0
2022-09-27,79.64,80.46,76.93,77.67,77.67,1422907,0.0000,1.0
2022-09-26,78.35,80.67,78.17,78.84,78.84,1600792,0.0000,1.0
2022-09-23,80.0,80.2858,76.67,78.98,78.98,2870029,0.0000,1.0
