timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,85.89,86.88,85.4,85.93,85.93,2645539,0.0000,1.0
2022-11-25,86.1,86.54,85.86,86.45,86.45,615364,0.0000,1.0
2022-11-23,86.64,86.99,85.9,86.06,86.06,1034759,0.0000,1.0
2022-11-22,85.78,86.34,85.45,86.21,86.21,1408505,0.0000,1.0
2022-11-21,85.02,85.62,84.68,85.23,85.23,2184382,0.0000,1.0
2022-11-18,85.6,86.0,84.54,85.06,85.06,2396496,0.0000,1.0
2022-11-17,83.47,84.19,83.32,84.1,84.1,1328921,0.0000,1.0
2022-11-16,83.44,84.71,83.38,84.31,84.31,1360977,0.0000,1.0
2022-11-15,85.55,85.89,82.98,83.45,83.45,2436018,0.0000,1.0
2022-11-14,84.37,85.755,83.76,84.64,84.64,3424091,0.0000,1.0
2022-11-11,85.04,85.11,83.6,84.47,84.47,3500413,0.0000,1.0
2022-11-10,85.16,85.45,83.58,84.24,84.24,3298255,0.0000,1.0
2022-11-09,83.38,84.18,82.79,82.96,82.96,2494099,0.0000,1.0
2022-11-08,83.56,83.94,82.66,83.42,83.42,2180915,0.0000,1.0
2022-11-07,82.41,83.45,82.2,83.22,83.22,2497709,0.0000,1.0
2022-11-04,82.09,82.56,80.68,82.25,82.25,3976287,0.0000,1.0
2022-11-03,80.91,82.17,80.135,81.25,81.25,2557343,0.0000,1.0
2022-11-02,83.21,83.69,81.3,81.45,81.45,4634562,0.0000,1.0
2022-11-01,84.24,85.16,82.57,84.11,84.11,4799586,0.0000,1.0
2022-10-31,85.42,87.41,85.42,86.56,86.56,4794112,0.0000,1.0
2022-10-28,84.19,86.3,83.8,85.98,85.98,2767480,0.0000,1.0
2022-10-27,84.12,84.42,83.39,83.75,83.75,3035014,0.0000,1.0
2022-10-26,82.98,84.21,82.55,83.55,83.55,2770914,0.0000,1.0
2022-10-25,81.35,83.13,81.09,82.52,82.52,2611858,0.0000,1.0
2022-10-24,80.52,81.82,80.33,81.51,81.51,2947561,0.0000,1.0
2022-10-21,77.45,80.28,76.93,80.05,80.05,2481843,0.0000,1.0
2022-10-20,77.7,78.25,76.546,77.2,77.2,4385514,0.0000,1.0
2022-10-19,77.11,78.15,76.9312,77.45,77.45,3072356,0.0000,1.0
2022-10-18,76.92,77.73,76.01,77.0,77.0,3246026,0.0000,1.0
2022-10-17,74.79,75.7,74.41,75.58,75.58,2079970,0.0000,1.0
