timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,619.23,620.94,602.73,606.09,606.09,312687,0.0000,1.0
2022-11-25,639.61,639.61,632.27,636.54,636.54,74255,0.0000,1.0
2022-11-23,629.8,643.2,625.51,639.04,639.04,216099,0.0000,1.0
2022-11-22,619.62,631.98,616.92,629.36,629.36,274015,0.0000,1.0
2022-11-21,615.42,621.75,614.52,616.39,616.39,194517,0.0000,1.0
2022-11-18,610.62,621.545,609.12,620.61,620.61,223879,0.0000,1.0
2022-11-17,602.57,612.485,598.0,602.08,602.08,186130,0.0000,1.0
2022-11-16,617.0,617.69,606.92,612.57,612.57,299256,0.0000,1.0
2022-11-15,627.81,628.69,611.88,618.01,618.01,401838,0.0000,1.0
2022-11-14,621.51,626.23,615.24,616.14,616.14,270417,0.0000,1.0
2022-11-11,646.52,646.52,623.0,626.25,626.25,325179,0.0000,1.0
2022-11-10,619.99,648.4,610.105,640.02,640.02,666665,0.0000,1.0
2022-11-09,593.04,594.49,581.78,582.8,582.8,390428,0.0000,1.0
2022-11-08,588.68,598.3263,583.19,594.08,594.08,241340,0.0000,1.0
2022-11-07,585.54,586.823,574.44,584.88,584.88,275655,0.0000,1.0
2022-11-04,574.02,584.355,563.98,579.61,579.61,344321,0.0000,1.0
2022-11-03,549.83,568.09,545.29,563.1,563.1,266368,0.0000,1.0
2022-11-02,569.52,578.26,556.75,557.71,557.71,225481,0.0000,1.0
2022-11-01,582.0,586.39,574.785,575.52,575.52,163686,0.0000,1.0
2022-10-31,578.62,581.7,572.79,575.76,575.76,194887,0.0000,1.0
2022-10-28,567.24,583.34,560.56,581.55,581.55,223464,0.0000,1.0
2022-10-27,557.56,571.385,557.56,564.35,564.35,221778,0.0000,1.0
2022-10-26,559.21,571.76,552.25,554.82,554.82,220076,0.0000,1.0
2022-10-25,538.9,555.75,538.9,555.04,555.04,268727,0.0000,1.0
2022-10-24,542.85,547.0,536.34,542.58,542.58,188273,0.0000,1.0
2022-10-21,528.8,539.56,521.43,537.88,537.88,293626,0.0000,1.0
2022-10-20,539.37,543.28,528.2632,531.02,531.02,198151,0.0000,1.0
2022-10-19,536.2,546.25,530.625,541.5,541.5,293637,0.0000,1.0
2022-10-18,541.09,547.45,536.34,540.21,540.21,331196,0.0000,1.0
2022-10-17,525.0,532.7,524.3,525.61,525.61,252080,0.0000,1.0
2022-10-14,526.83,529.67,510.005,514.28,514.28,236666,0.0000,1.0
2022-10-13,499.63,525.1069,499.63,521.71,521.71,317584,0.0000,1.0
2022-10-12,526.14,526.14,509.23,509.83,509.83,399317,0.0000,1.0
2022-10-11,533.77,533.77,517.82,522.59,522.59,312546,0.0000,1.0
2022-10-10,539.59,543.54,528.505,531.52,531.52,212406,0.0000,1.0
2022-10-07,540.09,540.63,528.16,533.48,533.48,215640,0.0000,1.0
2022-10-06,545.06,554.78,545.06,547.0,547.0,187565,0.0000,1.0
2022-10-05,553.19,557.71,547.91,551.75,551.75,253738,0.0000,1.0
2022-10-04,556.02,566.15,554.65,563.52,563.52,268244,0.0000,1.0
2022-10-03,533.68,545.89,523.1,542.35,542.35,220219,0.0000,1.0
2022-09-30,526.79,536.17,523.78,524.82,524.82,339990,0.0000,1.0
2022-09-29,532.34,535.99,523.21,530.4,530.4,223469,0.0000,1.0
2022-09-28,536.98,544.215,528.45,540.24,540.24,318007,0.0000,1.0
2022-09-27,540.64,546.2,530.365,531.83,531.83,355370,0.0000,1.0
2022-09-26,537.09,548.98,530.54,531.44,531.44,268329,0.0000,1.0
2022-09-23,545.96,545.96,531.99,540.51,540.51,259830,0.0000,1.0
2022-09-22,567.06,567.06,550.09,554.7,554.7,253758,0.0000,1.0
2022-09-21,592.57,595.0,566.85,567.06,567.06,302953,0.0000,1.0
2022-09-20,590.46,590.46,576.41,584.71,584.71,268170,0.0000,1.0
2022-09-19,579.59,593.375,579.59,592.04,592.04,264839,0.0000,1.0
2022-09-16,582.03,582.6,573.01,581.93,581.93,407775,0.0000,1.0
2022-09-15,597.34,600.265,584.82,587.1,587.1,192664,0.0000,1.0
2022-09-14,595.39,600.49,585.25,600.14,600.14,207674,0.0000,1.0
2022-09-13,611.63,613.57,591.19,593.73,593.73,197489,0.0000,1.0
2022-09-12,622.85,629.91,614.57,628.37,628.37,311149,0.0000,1.0
2022-09-09,617.6,621.53,612.55,619.92,619.92,221326,0.0000,1.0
2022-09-08,610.9,616.9,606.19,615.58,615.58,169134,0.0000,1.0
2022-09-07,600.93,616.85,597.225,614.87,614.87,212803,0.0000,1.0
2022-09-06,602.34,605.75,595.89,601.39,601.39,190784,0.0000,1.0
2022-09-02,608.81,613.63,598.6,601.2,601.2,196067,0.0000,1.0
2022-09-01,594.84,605.69,589.03,605.43,605.43,249228,0.0000,1.0
2022-08-31,610.0,612.05,598.77,600.39,600.39,287681,0.0000,1.0
2022-08-30,625.57,626.73,600.84,606.98,606.98,344292,0.0000,1.0
2022-08-29,623.17,630.54,620.31,622.8,622.8,156518,0.0000,1.0
2022-08-26,657.74,657.74,630.92,631.02,631.02,179354,0.0000,1.0
2022-08-25,646.09,654.72,643.52,654.13,654.13,148591,0.0000,1.0
2022-08-24,640.77,646.23,640.77,643.04,643.04,173370,0.0000,1.0
2022-08-23,633.42,640.89,632.44,638.77,638.77,302271,0.0000,1.0
2022-08-22,635.72,639.3698,630.09,631.5,631.5,512755,0.0000,1.0
2022-08-19,649.62,653.89,637.18,646.0,646.0,323439,0.0000,1.0
2022-08-18,653.21,660.04,647.94,655.5,655.5,246735,18.5000,1.0
2022-08-17,667.28,673.94,665.81,668.83,650.471906528,272452,0.0000,1.0
2022-08-16,675.28,680.0,674.3887,677.36,658.767774481,216230,0.0000,1.0
2022-08-15,671.59,679.53,670.0,677.01,658.427381306,191599,0.0000,1.0
