timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,126.67,126.975,124.1,124.62,124.62,1823339,0.0000,1.0
2022-11-25,127.68,128.61,127.31,127.99,127.99,654229,0.0000,1.0
2022-11-23,127.0,127.66,126.19,127.26,127.26,1666569,0.0000,1.0
2022-11-22,125.07,126.6,125.07,126.57,126.57,1624443,0.0000,1.0
2022-11-21,125.96,126.47,124.23,124.69,124.69,1053727,0.0000,1.0
2022-11-18,126.39,126.86,125.23,126.39,126.39,1454063,0.0000,1.0
2022-11-17,122.52,124.655,121.6,124.39,124.39,2009794,0.5600,1.0
2022-11-16,126.355,127.73,125.32,125.76,125.196369748,2113153,0.0000,1.0
2022-11-15,126.74,128.55,125.57,127.03,126.460677871,1974801,0.0000,1.0
2022-11-14,124.0,127.26,123.5,124.52,123.961927171,2487523,0.0000,1.0
2022-11-11,122.9,125.86,122.0,124.11,123.553764706,2773804,0.0000,1.0
2022-11-10,119.73,122.71,118.92,122.15,121.60254902,2050656,0.0000,1.0
2022-11-09,116.39,116.39,113.98,114.2,113.688179272,1646507,0.0000,1.0
2022-11-08,117.21,118.465,116.14,117.15,116.624957983,2218050,0.0000,1.0
2022-11-07,117.91,117.99,115.56,116.79,116.266571429,2302832,0.0000,1.0
2022-11-04,115.39,116.92,114.65,116.68,116.157064426,1559497,0.0000,1.0
2022-11-03,113.0,115.4999,110.88,112.95,112.443781513,2271206,0.0000,1.0
2022-11-02,117.15,118.375,113.02,113.64,113.130689076,4040065,0.0000,1.0
2022-11-01,123.69,124.08,121.76,123.44,122.886767507,1902292,0.0000,1.0
2022-10-31,121.84,123.385,121.55,122.23,121.682190476,2088431,0.0000,1.0
2022-10-28,119.65,123.07,119.555,122.65,122.100308123,1146936,0.0000,1.0
2022-10-27,120.0,120.8,118.77,119.0,118.466666667,1570174,0.0000,1.0
2022-10-26,117.23,119.9599,116.51,118.85,118.317338936,1540377,0.0000,1.0
2022-10-25,114.96,117.28,114.375,117.27,116.744420168,1584533,0.0000,1.0
2022-10-24,115.14,116.31,113.53,115.48,114.962442577,1321305,0.0000,1.0
2022-10-21,110.71,115.185,110.41,114.89,114.375086835,1151549,0.0000,1.0
2022-10-20,112.39,113.96,110.1797,110.91,110.41292437,1152022,0.0000,1.0
2022-10-19,112.21,112.83,110.6,112.03,111.527904762,1175245,0.0000,1.0
2022-10-18,114.97,115.82,111.63,112.91,112.403960784,1180007,0.0000,1.0
2022-10-17,110.12,112.16,109.88,111.91,111.408442577,1583065,0.0000,1.0
2022-10-14,112.26,112.76,107.49,107.52,107.038117647,1609603,0.0000,1.0
2022-10-13,106.02,112.16,104.76,111.46,110.960459384,1510671,0.0000,1.0
2022-10-12,110.35,110.35,107.88,108.14,107.655338936,1377511,0.0000,1.0
2022-10-11,111.2,112.5,109.0,109.92,109.427361345,1490295,0.0000,1.0
2022-10-10,115.62,115.62,111.43,111.67,111.169518207,1261431,0.0000,1.0
2022-10-07,116.44,117.215,113.435,114.16,113.648358543,1610434,0.0000,1.0
2022-10-06,117.85,118.875,116.64,118.08,117.550789916,1557246,0.0000,1.0
2022-10-05,116.8,119.01,116.21,118.22,117.690162465,1157932,0.0000,1.0
2022-10-04,116.76,118.55,116.56,118.53,117.998773109,1131075,0.0000,1.0
2022-10-03,112.03,115.13,111.32,114.32,113.807641457,1267884,0.0000,1.0
