timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,162.81,166.89,162.81,165.37,165.37,4626781,0.0000,1.0
2022-11-25,163.5,163.96,161.6,163.38,163.38,1883018,0.0000,1.0
2022-11-23,158.48,164.14,158.25,163.41,163.41,4833474,0.0000,1.0
2022-11-22,158.79,159.905,155.75,157.86,157.86,6364058,0.0000,1.0
2022-11-21,161.08,161.9308,156.77,158.02,158.02,5964702,0.0000,1.0
2022-11-18,161.98,164.7,160.0,162.88,162.88,7280857,0.0000,1.0
2022-11-17,153.48,162.18,152.72,162.01,162.01,11300525,0.0000,1.0
2022-11-16,149.85,158.49,148.75,155.47,155.47,36731476,0.0000,1.0
2022-11-15,177.0,180.46,176.9,178.98,178.98,8606029,1.0800,1.0
2022-11-14,172.64,176.8005,172.35,173.26,172.220786405,5753753,0.0000,1.0
2022-11-11,165.12,174.83,164.95,173.32,172.280426524,5828321,0.0000,1.0
2022-11-10,158.94,164.55,158.39,164.38,163.39404865,4962937,0.0000,1.0
2022-11-09,161.08,161.59,152.5,152.99,152.072365878,4018378,0.0000,1.0
2022-11-08,161.32,164.66,159.81,161.62,160.650603132,3284603,0.0000,1.0
2022-11-07,161.24,161.41,158.0,159.87,158.911099633,2424145,0.0000,1.0
2022-11-04,162.41,162.75,156.26,159.63,158.672539154,2653538,0.0000,1.0
2022-11-03,157.98,160.7884,157.7501,159.8,158.841519494,3041570,0.0000,1.0
2022-11-02,164.58,165.89,160.08,160.2,159.239120293,3381107,0.0000,1.0
2022-11-01,166.44,166.9799,162.57,164.59,163.60278907,3051010,0.0000,1.0
2022-10-31,166.0,167.36,164.02,164.25,163.264828391,3792677,0.0000,1.0
2022-10-28,166.26,167.94,163.045,167.52,166.515214928,3066778,0.0000,1.0
2022-10-27,168.22,170.3,166.8,166.9,165.898933689,2957353,0.0000,1.0
2022-10-26,167.84,170.75,165.32,166.77,165.769713429,3456063,0.0000,1.0
2022-10-25,162.8,166.305,161.9901,165.8,164.80553149,4177912,0.0000,1.0
2022-10-24,160.3,162.9,159.6301,161.82,160.849403532,2974082,0.0000,1.0
2022-10-21,154.54,159.26,154.3,159.19,158.235178274,3508270,0.0000,1.0
2022-10-20,155.98,159.16,153.42,154.4,153.473908697,3079918,0.0000,1.0
2022-10-19,157.19,158.1926,154.13,155.39,154.457970676,2611475,0.0000,1.0
2022-10-18,155.53,161.13,155.01,157.23,156.286934355,5563441,0.0000,1.0
2022-10-17,147.74,151.0,146.68,149.25,148.354798401,3177369,0.0000,1.0
2022-10-14,154.48,155.19,145.19,145.69,144.816151283,4766623,0.0000,1.0
2022-10-13,151.21,156.06,148.87,154.12,153.195588137,3394052,0.0000,1.0
2022-10-12,154.74,157.0,154.04,154.16,153.235348217,2265469,0.0000,1.0
2022-10-11,153.5,157.72,152.71,154.5,153.573308897,2408279,0.0000,1.0
2022-10-10,152.98,153.88,150.48,153.1,152.181706098,2055798,0.0000,1.0
2022-10-07,154.34,154.5199,150.72,152.34,151.426264578,2771909,0.0000,1.0
2022-10-06,157.46,159.0,155.48,155.75,154.815811396,2603378,0.0000,1.0
2022-10-05,155.0,157.55,153.41,156.41,155.471852716,2491715,0.0000,1.0
2022-10-04,154.7,158.29,154.34,156.96,156.018553815,3028591,0.0000,1.0
2022-10-03,149.67,152.615,148.39,151.79,150.879563479,2847537,0.0000,1.0
2022-09-30,151.59,152.23,145.5,148.39,147.499956681,4328301,0.0000,1.0
2022-09-29,154.2,154.75,150.895,151.79,150.879563479,3170369,0.0000,1.0
2022-09-28,149.54,156.95,149.31,155.87,154.935091636,4254027,0.0000,1.0
2022-09-27,150.47,152.26,146.86,148.47,147.579476841,2941392,0.0000,1.0
2022-09-26,151.56,152.51,147.37,148.71,147.818037321,3967836,0.0000,1.0
2022-09-23,151.95,152.78,149.71,152.61,151.694645118,3796637,0.0000,1.0
2022-09-22,158.24,158.43,152.64,152.96,152.042545818,3959965,0.0000,1.0
2022-09-21,161.0,163.82,159.03,159.03,158.076137954,2809512,0.0000,1.0
2022-09-20,163.3,163.75,158.22,160.03,159.070139953,3019602,0.0000,1.0
2022-09-19,163.0,165.09,162.03,164.76,163.77176941,2607163,0.0000,1.0
2022-09-16,162.73,165.64,161.71,164.09,163.105788071,4843717,0.0000,1.0
2022-09-15,165.45,168.989,164.7,165.01,164.02026991,2909264,0.0000,1.0
