timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,79.99,80.92,79.84,80.03,80.03,5329898,0.0000,1.0
2022-11-25,81.0,81.1652,80.19,81.03,81.03,2454070,0.0000,1.0
2022-11-23,80.0,80.86,79.875,80.54,80.54,6498983,0.0000,1.0
2022-11-22,79.5,80.45,78.69,80.11,80.11,8887741,0.0000,1.0
2022-11-21,77.39,79.06,77.39,79.0,79.0,5493285,0.0000,1.0
2022-11-18,78.97,79.99,77.74,78.16,78.16,6860587,0.0000,1.0
2022-11-17,76.95,78.19,75.82,77.99,77.99,9710720,0.0000,1.0
2022-11-16,74.38,79.4,74.35,79.02,79.02,12943904,0.0000,1.0
2022-11-15,74.45,76.095,74.24,75.12,75.12,9634922,0.0000,1.0
2022-11-14,73.46,74.17,72.94,73.06,73.06,6370951,0.0000,1.0
2022-11-11,74.47,75.0,73.19,73.9,73.9,5988644,0.0000,1.0
2022-11-10,72.96,74.26,72.55,74.0,74.0,5848085,0.0000,1.0
2022-11-09,71.59,72.16,69.93,70.08,70.08,3797972,0.2950,1.0
2022-11-08,72.6,72.65,70.4648,71.49,71.1903261101,4279511,0.0000,1.0
2022-11-07,71.49,72.32,70.1,72.12,71.8176852575,5190119,0.0000,1.0
2022-11-04,71.76,72.32,70.07,71.19,70.891583659,4970356,0.0000,1.0
2022-11-03,70.2,71.7435,69.95,71.2,70.9015417407,3886743,0.0000,1.0
2022-11-02,71.66,72.69,70.27,70.29,69.9953563055,4432692,0.0000,1.0
2022-11-01,72.56,72.92,70.48,71.76,71.4591943162,5222560,0.0000,1.0
2022-10-31,72.17,73.01,71.975,72.1,71.7977690941,5887420,0.0000,1.0
2022-10-28,71.85,72.99,71.25,72.5,72.1960923623,6658946,0.0000,1.0
2022-10-27,71.11,72.5,71.05,71.91,71.6085655417,5216732,0.0000,1.0
2022-10-26,70.76,71.87,70.41,70.91,70.6127573712,4420304,0.0000,1.0
2022-10-25,69.91,71.34,69.39,70.46,70.1646436945,6383513,0.0000,1.0
2022-10-24,67.93,69.3,67.69,69.18,68.8900092362,5044204,0.0000,1.0
2022-10-21,65.31,68.06,65.27,67.61,67.3265904085,5865421,0.0000,1.0
2022-10-20,66.29,66.83,65.2,65.36,65.0860220249,3985270,0.0000,1.0
2022-10-19,66.68,67.34,65.4,66.1,65.822920071,3190647,0.0000,1.0
2022-10-18,67.41,67.835,66.3,66.83,66.5498600355,4674594,0.0000,1.0
2022-10-17,65.21,66.4,65.02,65.89,65.6138003552,5570850,0.0000,1.0
2022-10-14,65.84,66.49,63.45,63.55,63.2836092362,4234775,0.0000,1.0
2022-10-13,62.5,65.76,62.25,65.18,64.9067765542,5318544,0.0000,1.0
2022-10-12,64.42,64.64,63.62,63.88,63.6122259325,4700945,0.0000,1.0
2022-10-11,63.91,65.32,63.6689,64.36,64.0902138544,4251593,0.0000,1.0
2022-10-10,65.0,65.365,63.64,64.33,64.0603396092,3169624,0.0000,1.0
2022-10-07,64.51,64.85,63.94,64.59,64.3192497336,5153069,0.0000,1.0
2022-10-06,66.05,66.6299,64.9,65.09,64.8171538188,5122496,0.0000,1.0
2022-10-05,64.81,66.16,64.69,65.8,65.5241776199,4067086,0.0000,1.0
2022-10-04,64.29,65.55,64.145,65.42,65.1457705151,5831294,0.0000,1.0
2022-10-03,63.03,63.585,61.81,62.9,62.6363339254,5927715,0.0000,1.0
2022-09-30,60.8,63.37,59.78,62.12,61.8596035524,8322118,0.0000,1.0
2022-09-29,61.86,61.97,60.78,61.34,61.0828731794,4500901,0.0000,1.0
2022-09-28,61.06,62.69,60.74,62.31,62.0488071048,6416759,0.0000,1.0
2022-09-27,60.94,61.685,59.8104,60.57,60.3161008881,4400395,0.0000,1.0
2022-09-26,61.39,62.01,60.16,60.31,60.0571907638,5108314,0.0000,1.0
2022-09-23,61.64,61.88,60.71,61.27,61.0131666075,4677789,0.0000,1.0
2022-09-22,63.01,63.34,61.98,62.01,61.7500646536,5062891,0.0000,1.0
2022-09-21,64.02,64.995,62.96,62.96,62.6960824156,3093526,0.0000,1.0
2022-09-20,64.95,65.0,62.755,63.72,63.4528966252,4707070,0.0000,1.0
2022-09-19,64.25,65.59,64.17,65.54,65.2652674956,4047756,0.0000,1.0
2022-09-16,64.28,65.25,64.01,64.66,64.3889563055,6657182,0.0000,1.0
2022-09-15,64.67,65.816,64.5,64.88,64.608034103,4366291,0.0000,1.0
2022-09-14,64.9,65.11,63.71,64.36,64.0902138544,4648089,0.0000,1.0
2022-09-13,65.34,66.01,64.37,64.56,64.2893754885,5416856,0.0000,1.0
2022-09-12,66.99,67.8,66.49,66.98,66.6992312611,3635176,0.0000,1.0
2022-09-09,66.25,66.99,66.12,66.62,66.3407403197,4376350,0.0000,1.0
2022-09-08,65.02,66.5,64.67,66.47,66.1913690941,4956779,0.0000,1.0
2022-09-07,62.85,65.97,62.8,65.84,65.5640099467,4732807,0.0000,1.0
2022-09-06,63.53,63.86,62.21,62.89,62.6263758437,4349730,0.0000,1.0
2022-09-02,64.18,64.565,63.13,63.52,63.2537349911,4055629,0.0000,1.0
2022-09-01,62.44,63.91,62.06,63.84,63.5723936057,4531028,0.0000,1.0
2022-08-31,62.13,62.83,61.86,62.35,62.0886394316,6310081,0.0000,1.0
2022-08-30,63.49,63.705,62.01,62.56,62.2977591474,4707426,0.0000,1.0
2022-08-29,62.55,63.73,62.45,63.12,62.8554117229,4350822,0.0000,1.0
2022-08-26,65.28,65.74,62.88,62.89,62.6263758437,4409881,0.0000,1.0
2022-08-25,63.8,65.48,63.47,65.09,64.8171538188,6918979,0.0000,1.0
2022-08-24,63.64,64.95,63.26,64.37,64.1001719361,5563013,0.0000,1.0
2022-08-23,64.31,64.69,63.69,63.89,63.6221840142,4163881,0.0000,1.0
2022-08-22,66.0,66.0,63.8,64.39,64.1200880995,4735053,0.0000,1.0
2022-08-19,67.62,67.835,66.23,66.4,66.1216625222,6078505,0.0000,1.0
2022-08-18,67.78,68.3,66.95,68.01,67.7249136767,6770903,0.0000,1.0
2022-08-17,65.975,69.7719,65.47,68.54,68.2526920071,12745891,0.0000,1.0
2022-08-16,65.23,67.78,65.23,66.65,66.3706145648,7562192,0.0000,1.0
2022-08-15,65.25,66.39,65.075,65.37,65.0959801066,5306510,0.0000,1.0
2022-08-12,64.47,65.5,63.99,65.47,65.1955609236,5058355,0.0000,1.0
2022-08-11,63.92,65.28,63.77,64.41,64.1400042629,4339976,0.0000,1.0
2022-08-10,63.66,64.25,62.9,63.03,62.7657889876,5284868,0.2950,1.0
2022-08-09,63.51,63.555,62.23,62.7,62.1463082435,5572357,0.0000,1.0
2022-08-08,63.4,64.27,63.37,63.68,63.1176540502,4694243,0.0000,1.0
2022-08-05,62.49,63.1,62.23,62.82,62.2652485464,2640553,0.0000,1.0
2022-08-04,63.71,63.95,63.01,63.28,62.721186374,3445688,0.0000,1.0
2022-08-03,62.24,63.57,61.92,63.22,62.6617162226,3711978,0.0000,1.0
2022-08-02,62.31,62.485,61.0786,61.64,61.0956689016,5947454,0.0000,1.0
2022-08-01,60.83,62.84,60.75,62.65,62.096749784,6197043,0.0000,1.0
2022-07-29,61.34,61.76,60.09,61.16,60.6199076902,6669336,0.0000,1.0
2022-07-28,61.02,61.57,60.45,61.19,60.6496427659,5589049,0.0000,1.0
2022-07-27,60.305,61.3,59.805,60.8,60.2630867816,5908600,0.0000,1.0
2022-07-26,60.97,61.2999,60.355,60.66,60.1243230949,7473617,0.0000,1.0
2022-07-25,63.6,63.76,62.74,63.29,62.7310980659,5311490,0.0000,1.0
2022-07-22,64.0,64.66,63.19,63.76,63.1969475854,5040232,0.0000,1.0
2022-07-21,62.95,63.79,62.69,63.74,63.1771242016,2966157,0.0000,1.0
