timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,36.94,37.06,36.28,36.48,36.48,4067287,0.0000,1.0
2022-11-25,36.87,37.45,36.81,37.07,37.07,2153601,0.0000,1.0
2022-11-23,36.07,36.99,36.07,36.96,36.96,3469547,0.0000,1.0
2022-11-22,35.08,36.27,35.04,36.23,36.23,3322567,0.0000,1.0
2022-11-21,34.62,34.9216,34.09,34.56,34.56,2657490,0.0000,1.0
2022-11-18,35.375,35.85,34.6,34.99,34.99,3461605,0.0000,1.0
2022-11-17,33.89,35.0,33.53,34.89,34.89,4340782,0.0000,1.0
2022-11-16,34.19,34.46,33.48,34.35,34.35,3113033,0.0000,1.0
2022-11-15,35.05,35.44,34.29,34.98,34.98,3102626,0.0000,1.0
2022-11-14,34.53,35.195,34.13,34.25,34.25,4264513,0.0000,1.0
2022-11-11,32.54,35.76,32.54,35.37,35.37,4672156,0.0000,1.0
2022-11-10,31.32,32.87,29.65,32.54,32.54,6778965,0.0000,1.0
2022-11-09,31.93,32.73,31.07,31.22,31.22,4684612,0.0000,1.0
2022-11-08,32.32,32.94,31.74,32.28,32.28,3544493,0.0000,1.0
2022-11-07,32.56,32.7,31.14,32.01,32.01,3433247,0.0000,1.0
2022-11-04,31.22,32.48,31.18,32.46,32.46,4799429,0.0000,1.0
2022-11-03,30.34,30.47,29.23,30.04,30.04,3556961,0.0000,1.0
2022-11-02,31.97,32.03,30.545,30.59,30.59,3825461,0.0000,1.0
2022-11-01,32.41,32.8,31.61,32.16,32.16,3088125,0.0000,1.0
2022-10-31,31.84,32.21,31.55,31.68,31.68,3908345,0.0000,1.0
2022-10-28,31.59,32.15,31.26,31.94,31.94,2534047,0.0000,1.0
2022-10-27,31.96,32.45,31.62,31.71,31.71,2033753,0.0000,1.0
2022-10-26,31.67,32.535,31.34,31.66,31.66,2579436,0.0000,1.0
2022-10-25,30.46,32.2,30.06,31.96,31.96,3419023,0.0000,1.0
2022-10-24,31.24,31.3,29.96,30.35,30.35,4216354,0.0000,1.0
2022-10-21,30.48,31.4,30.18,31.27,31.27,2458480,0.0000,1.0
2022-10-20,30.78,31.91,30.355,30.48,30.48,3427194,0.0000,1.0
2022-10-19,31.01,31.31,30.095,30.61,30.61,2519714,0.0000,1.0
2022-10-18,32.31,32.755,31.045,31.29,31.29,3540632,0.0000,1.0
2022-10-17,31.04,31.37,30.64,31.37,31.37,3891949,0.0000,1.0
2022-10-14,31.46,31.74,30.21,30.27,30.27,3601022,0.0000,1.0
2022-10-13,30.54,31.59,29.72,31.09,31.09,4267489,0.0000,1.0
2022-10-12,30.67,31.52,30.34,31.21,31.21,2719173,0.0000,1.0
2022-10-11,31.16,31.58,30.135,30.63,30.63,4849327,0.0000,1.0
2022-10-10,31.69,31.82,30.21,31.14,31.14,2963929,0.0000,1.0
2022-10-07,31.36,31.67,31.0686,31.48,31.48,2925072,0.0000,1.0
2022-10-06,31.72,32.3,31.6,32.01,32.01,3059437,0.0000,1.0
2022-10-05,30.98,32.065,30.78,31.86,31.86,2995209,0.0000,1.0
2022-10-04,30.58,31.47,30.38,31.44,31.44,4065692,0.0000,1.0
2022-10-03,28.91,29.95,28.31,29.67,29.67,3750192,0.0000,1.0
2022-09-30,28.36,29.17,27.53,28.43,28.43,3214816,0.0000,1.0
2022-09-29,29.3,29.385,28.49,28.89,28.89,3111908,0.0000,1.0
2022-09-28,29.29,30.13,29.16,29.9,29.9,3709749,0.0000,1.0
2022-09-27,29.14,29.34,28.525,29.03,29.03,3277751,0.0000,1.0
2022-09-26,29.45,29.89,28.61,28.63,28.63,3143844,0.0000,1.0
2022-09-23,30.34,30.66,29.321,29.66,29.66,3398389,0.0000,1.0
2022-09-22,31.92,32.02,30.715,30.95,30.95,4767258,0.0000,1.0
2022-09-21,32.66,33.25,31.95,31.96,31.96,3323934,0.0000,1.0
2022-09-20,32.7,33.17,32.065,32.4,32.4,2811498,0.0000,1.0
2022-09-19,32.38,33.36,32.28,33.12,33.12,3049908,0.0000,1.0
2022-09-16,32.69,33.12,32.18,32.55,32.55,6754485,0.0000,1.0
2022-09-15,33.5,34.52,33.18,33.22,33.22,4830695,0.0000,1.0
2022-09-14,34.6,34.6,33.585,33.74,33.74,5034702,0.0000,1.0
2022-09-13,35.11,35.84,34.3,34.44,34.44,5231059,0.0000,1.0
2022-09-12,36.0,36.975,35.99,36.38,36.38,5004178,0.0000,1.0
2022-09-09,35.0,35.85,35.0,35.52,35.52,5036949,0.0000,1.0
