timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,188.42,189.105,186.05,186.32,186.32,1467595,0.0000,1.0
2022-11-25,188.9,189.53,187.68,188.91,188.91,514675,0.0000,1.0
2022-11-23,186.72,188.33,186.58,188.01,188.01,1120286,0.0000,1.0
2022-11-22,187.0,188.46,185.61,187.13,187.13,1137854,0.0000,1.0
2022-11-21,185.23,186.5,184.51,185.55,185.55,1208190,0.0000,1.0
2022-11-18,184.47,185.87,183.24,184.56,184.56,1470485,0.0000,1.0
2022-11-17,180.28,183.865,180.04,182.93,182.93,1315198,0.0000,1.0
2022-11-16,179.41,181.78,178.96,181.14,181.14,1073840,0.0000,1.0
2022-11-15,183.82,183.82,177.88,179.5,179.5,1445910,0.0000,1.0
2022-11-14,182.11,185.115,181.69,182.7,182.7,1427342,0.0000,1.0
2022-11-11,184.68,185.58,180.21,181.73,181.73,1403314,0.0000,1.0
2022-11-10,184.89,185.115,181.38,183.3,183.3,1617984,0.0000,1.0
2022-11-09,185.22,185.67,181.92,182.15,182.15,999231,0.0000,1.0
2022-11-08,183.43,185.645,183.28,184.9,184.9,1184448,0.0000,1.0
2022-11-07,183.75,184.535,182.92,184.13,184.13,1272961,0.0000,1.0
2022-11-04,183.87,184.55,181.1903,183.06,183.06,1019232,0.0000,1.0
2022-11-03,182.3,182.923,180.42,181.82,181.82,1186333,0.0000,1.0
2022-11-02,182.11,185.33,181.84,182.31,182.31,1837950,0.0000,1.0
2022-11-01,184.79,185.29,182.56,182.78,182.78,2154468,0.0000,1.0
2022-10-31,181.92,185.105,181.28,184.46,184.46,1544791,0.0000,1.0
2022-10-28,178.84,182.14,177.94,181.96,181.96,1750695,0.0000,1.0
2022-10-27,177.67,179.78,177.31,177.6,177.6,1143501,0.0000,1.0
2022-10-26,176.75,177.24,174.1,176.4,176.4,1926188,0.0000,1.0
2022-10-25,177.73,178.64,175.64,176.09,176.09,2059777,0.0000,1.0
2022-10-24,177.42,180.11,177.42,179.79,179.79,1649773,0.0000,1.0
2022-10-21,171.7,176.38,171.1,176.23,176.23,1471728,0.0000,1.0
2022-10-20,173.5,173.87,170.03,170.87,170.87,1702212,0.0000,1.0
