timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,131.05,131.15,129.05,129.13,129.13,823466,0.0000,1.0
2022-11-25,131.97,132.73,130.06,132.73,132.73,274277,0.0000,1.0
2022-11-23,128.98,131.0,127.97,129.65,129.65,603252,0.0000,1.0
2022-11-22,128.0,129.2,127.04,128.76,128.76,987095,0.0000,1.0
2022-11-21,127.7,130.04,127.085,127.7,127.7,623046,0.0000,1.0
2022-11-18,128.43,129.25,126.5,128.67,128.67,648732,0.0000,1.0
2022-11-17,124.99,126.57,123.53,126.3,126.3,648026,0.0000,1.0
2022-11-16,127.33,127.75,124.81,126.32,126.32,609170,0.0000,1.0
2022-11-15,127.16,129.17,125.53,127.63,127.63,865922,0.0000,1.0
2022-11-14,124.37,127.03,122.64,125.68,125.68,745970,0.0000,1.0
2022-11-11,122.09,125.76,121.595,125.0,125.0,1017226,0.0000,1.0
2022-11-10,115.88,122.145,114.82,121.8,121.8,1138885,0.0000,1.0
2022-11-09,112.39,114.19,110.95,111.68,111.68,428187,0.0000,1.0
2022-11-08,112.52,114.2,111.16,113.23,113.23,572919,0.0000,1.0
2022-11-07,112.93,113.4,110.05,113.13,113.13,596344,0.0000,1.0
2022-11-04,112.63,113.52,109.345,112.07,112.07,642408,0.0000,1.0
2022-11-03,111.69,112.06,109.69,111.7,111.7,696991,0.0000,1.0
2022-11-02,117.49,117.49,112.96,113.13,113.13,759389,0.0000,1.0
2022-11-01,116.83,117.47,115.31,117.32,117.32,615845,0.0000,1.0
2022-10-31,116.53,118.16,115.665,115.87,115.87,837039,0.0000,1.0
2022-10-28,112.46,117.37,112.02,117.02,117.02,1041085,0.0000,1.0
2022-10-27,109.47,113.91,108.74,112.46,112.46,1244267,0.0000,1.0
2022-10-26,105.43,110.8,103.83,109.37,109.37,2282257,0.0000,1.0
2022-10-25,93.09,98.53,93.09,96.68,96.68,1472496,0.0000,1.0
2022-10-24,90.98,93.48,90.705,93.05,93.05,1044570,0.0000,1.0
2022-10-21,87.23,90.21,82.5,90.0,90.0,1726056,0.0000,1.0
2022-10-20,95.41,96.56,93.82,94.05,94.05,438492,0.0000,1.0
2022-10-19,94.88,95.675,94.13,95.05,95.05,468377,0.0000,1.0
2022-10-18,96.72,97.64,95.0,95.61,95.61,622574,0.0000,1.0
2022-10-17,93.15,94.84,93.15,94.44,94.44,573683,0.0000,1.0
2022-10-14,94.5,95.36,91.23,91.54,91.54,464439,0.0000,1.0
2022-10-13,89.01,94.13,87.99,94.05,94.05,718910,0.0000,1.0
2022-10-12,92.31,92.31,90.43,90.5,90.5,446429,0.0000,1.0
2022-10-11,90.57,93.26,89.79,92.06,92.06,435003,0.0000,1.0
2022-10-10,91.93,92.44,90.07,90.68,90.68,514261,0.0000,1.0
2022-10-07,92.52,92.52,90.795,91.43,91.43,486991,0.0000,1.0
2022-10-06,93.6,94.4,92.97,93.29,93.29,399398,0.0000,1.0
2022-10-05,94.22,95.36,93.08,94.71,94.71,438420,0.0000,1.0
2022-10-04,93.79,96.31,93.72,95.8,95.8,783447,0.0000,1.0
2022-10-03,89.55,93.79,88.9,92.68,92.68,947034,0.0000,1.0
2022-09-30,90.86,91.26,88.01,88.18,88.18,593399,0.0000,1.0
2022-09-29,89.95,91.37,88.815,90.49,90.49,540399,0.0000,1.0
2022-09-28,88.92,91.61,87.96,90.94,90.94,533369,0.0000,1.0
2022-09-27,90.43,90.89,87.57,87.81,87.81,808315,0.0000,1.0
2022-09-26,91.33,92.6,89.42,89.89,89.89,732770,0.0000,1.0
2022-09-23,92.0,92.49,89.87,91.75,91.75,870295,0.0000,1.0
2022-09-22,94.44,94.44,92.18,93.57,93.57,640555,0.0000,1.0
2022-09-21,96.85,98.05,94.63,94.64,94.64,557796,0.0000,1.0
2022-09-20,97.74,97.74,95.56,96.14,96.14,842539,0.0000,1.0
2022-09-19,97.69,99.04,97.3,98.76,98.76,637965,0.0000,1.0
2022-09-16,98.62,99.36,98.1,98.98,98.98,1348288,0.0000,1.0
2022-09-15,97.71,100.63,97.505,98.99,98.99,767637,0.0000,1.0
2022-09-14,100.82,100.94,96.02,97.47,97.47,1078789,0.0000,1.0
2022-09-13,103.82,104.51,101.3,101.4,101.4,575683,0.0000,1.0
2022-09-12,103.69,106.43,103.58,106.14,106.14,686763,0.0000,1.0
2022-09-09,101.71,103.37,101.5,103.01,103.01,610199,0.0000,1.0
2022-09-08,99.88,101.38,99.64,101.24,101.24,659762,0.0000,1.0
2022-09-07,96.11,101.01,95.6,100.88,100.88,628304,0.0000,1.0
2022-09-06,97.3,97.48,95.69,96.23,96.23,466487,0.0000,1.0
2022-09-02,98.42,99.42,96.78,96.96,96.96,590784,0.0000,1.0
2022-09-01,97.3,97.81,94.7,97.25,97.25,815251,0.0000,1.0
2022-08-31,100.25,100.25,97.28,97.84,97.84,1205576,0.2000,1.0
