timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,211.23,212.43,207.68,208.52,208.52,2755386,0.0000,1.0
2022-11-25,213.0,215.42,212.48,213.33,213.33,1101944,0.0000,1.0
2022-11-23,212.69,213.2342,210.57,212.52,212.52,2405280,0.0000,1.0
2022-11-22,213.57,217.73,212.82,213.2,213.2,2962536,0.0000,1.0
2022-11-21,209.9,213.34,208.2,212.27,212.27,2365469,0.0000,1.0
2022-11-18,211.61,212.19,209.295,210.58,210.58,2499551,0.0000,1.0
2022-11-17,210.63,212.35,207.01,209.82,209.82,4561638,0.0000,1.0
2022-11-16,211.15,213.19,210.48,212.27,212.27,3864580,0.0000,1.0
2022-11-15,217.81,219.065,208.74,210.66,210.66,6235236,0.0000,1.0
2022-11-14,216.85,221.46,216.29,216.95,216.95,3945919,0.0000,1.0
2022-11-11,216.11,219.56,214.76,217.5,217.5,5176484,0.0000,1.0
2022-11-10,210.88,213.19,209.09,212.99,212.99,4923461,0.0000,1.0
2022-11-09,203.51,204.54,201.94,203.41,203.41,4682778,0.0000,1.0
2022-11-08,198.15,205.12,197.765,204.01,204.01,6285142,0.0000,1.0
2022-11-07,198.5,198.5,195.47,196.3,196.3,3757786,0.0000,1.0
2022-11-04,195.56,197.78,194.18,196.7,196.7,3334012,0.0000,1.0
2022-11-03,190.28,195.21,190.22,193.19,193.19,3238902,0.0000,1.0
2022-11-02,196.35,198.9473,192.16,192.53,192.53,3019993,0.0000,1.0
2022-11-01,197.2,198.005,193.57,196.82,196.82,3042352,0.0000,1.0
2022-10-31,198.57,198.61,195.04,197.14,197.14,3130344,0.0000,1.0
2022-10-28,196.62,198.84,195.1236,198.65,198.65,3724245,0.0000,1.0
2022-10-27,197.25,199.93,195.58,196.04,196.04,3148244,0.0000,1.0
2022-10-26,197.2,198.2393,194.39,195.78,195.78,4134841,0.0000,1.0
2022-10-25,193.58,195.03,192.665,194.61,194.61,2770027,0.0000,1.0
