timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,43.99,44.29,43.635,43.74,43.74,6790652,0.0000,1.0
2022-11-25,44.25,44.392,44.0575,44.26,44.26,2564603,0.0000,1.0
2022-11-23,43.93,44.16,43.82,44.11,44.11,6225717,0.0000,1.0
2022-11-22,43.535,43.95,43.45,43.91,43.91,6998973,0.0000,1.0
2022-11-21,43.37,43.835,43.26,43.39,43.39,9331908,0.0000,1.0
2022-11-18,43.34,43.485,42.89,43.38,43.38,6159676,0.0000,1.0
2022-11-17,42.44,42.83,42.33,42.77,42.77,6376650,0.0000,1.0
2022-11-16,43.76,43.81,42.82,42.93,42.93,9896173,0.0000,1.0
2022-11-15,44.49,44.53,43.315,43.77,43.77,11171854,0.0000,1.0
2022-11-14,44.96,45.06,43.805,43.85,43.85,8209755,0.0000,1.0
2022-11-11,44.44,45.05,44.44,44.92,44.92,10692764,0.0000,1.0
2022-11-10,44.0,45.02,43.91,44.87,44.87,14064607,0.0000,1.0
2022-11-09,43.79,43.88,43.16,43.24,43.24,9423016,0.0000,1.0
2022-11-08,43.75,44.36,43.47,44.17,44.17,12794721,0.0000,1.0
2022-11-07,43.2,43.6,42.755,43.53,43.53,12207083,0.0000,1.0
2022-11-04,41.98,42.885,41.98,42.83,42.83,13759471,0.0000,1.0
2022-11-03,41.18,41.8,40.565,41.5,41.5,12857029,0.0000,1.0
2022-11-02,42.58,43.15,41.73,41.75,41.75,9265894,0.0000,1.0
2022-11-01,42.8,43.155,42.305,42.88,42.88,8043592,0.0000,1.0
2022-10-31,42.52,42.96,42.42,42.45,42.45,11723819,0.0000,1.0
2022-10-28,42.16,42.925,41.98,42.86,42.86,7775713,0.0000,1.0
2022-10-27,42.7,42.965,42.02,42.08,42.08,7810277,0.0000,1.0
2022-10-26,42.0,42.615,41.95,42.39,42.39,10211899,0.0000,1.0
2022-10-25,40.66,42.09,40.56,42.01,42.01,13055440,0.0000,1.0
2022-10-24,40.69,41.52,40.45,41.13,41.13,9553812,0.0000,1.0
2022-10-21,39.86,40.7,39.57,40.51,40.51,12851566,0.0000,1.0
