timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,182.25,183.33,178.99,179.68,179.68,658304,0.0000,1.0
2022-11-25,182.03,183.34,181.43,183.34,183.34,170375,0.0000,1.0
2022-11-23,182.48,184.85,181.61,182.28,182.28,333640,0.0000,1.0
2022-11-22,179.49,182.48,178.81,182.28,182.28,567012,0.0000,1.0
2022-11-21,178.49,180.2699,177.3,178.56,178.56,366590,0.0000,1.0
2022-11-18,177.87,179.71,176.8,178.89,178.89,652869,0.0000,1.0
2022-11-17,174.9,175.93,173.48,175.74,175.74,569664,0.0000,1.0
2022-11-16,175.5,177.55,174.395,176.79,176.79,1256874,0.0000,1.0
2022-11-15,177.99,179.73,173.78,175.9,175.9,743085,0.0000,1.0
2022-11-14,177.86,179.76,174.96,175.16,175.16,589964,0.4000,1.0
2022-11-11,181.48,183.57,178.015,178.96,178.552253361,920729,0.0000,1.0
2022-11-10,176.12,181.88,176.12,180.07,179.659724311,1095783,0.0000,1.0
2022-11-09,171.75,171.98,168.55,168.94,168.555083162,544234,0.0000,1.0
2022-11-08,173.22,174.09,170.9204,172.5,172.106971975,552245,0.0000,1.0
2022-11-07,171.41,173.01,168.87,172.16,171.767746639,838650,0.0000,1.0
2022-11-04,171.73,172.985,167.86,170.15,169.76232627,944173,0.0000,1.0
2022-11-03,160.94,171.54,160.6631,169.04,168.65485532,1485100,0.0000,1.0
2022-11-02,166.94,169.93,162.88,162.91,162.538822055,1377593,0.0000,1.0
2022-11-01,165.26,166.23,162.03,164.79,164.414538619,1469207,0.0000,1.0
2022-10-31,164.87,165.49,162.205,163.7,163.327022101,845005,0.0000,1.0
2022-10-28,162.6,166.52,161.51,165.69,165.312488038,729442,0.0000,1.0
2022-10-27,161.67,164.09,161.53,162.06,161.690758715,556180,0.0000,1.0
2022-10-26,162.79,163.19,160.13,161.41,161.04223969,646300,0.0000,1.0
2022-10-25,155.07,163.01,155.07,162.28,161.910257462,735706,0.0000,1.0
2022-10-24,156.71,157.29,154.63,155.92,155.564748234,885653,0.0000,1.0
2022-10-21,149.24,155.88,148.51,155.43,155.075864662,832006,0.0000,1.0
2022-10-20,154.47,156.25,149.06,149.16,148.820150376,928018,0.0000,1.0
2022-10-19,157.53,158.0,153.14,154.77,154.417368421,593975,0.0000,1.0
2022-10-18,157.38,159.29,156.81,158.78,158.418231943,598722,0.0000,1.0
2022-10-17,150.65,154.45,150.1,154.03,153.679054454,529116,0.0000,1.0
2022-10-14,156.99,157.48,148.01,148.44,148.101790841,603446,0.0000,1.0
2022-10-13,150.37,156.47,147.64,155.27,154.916229209,832431,0.0000,1.0
2022-10-12,156.03,156.03,152.82,154.07,153.718963317,664941,0.0000,1.0
2022-10-11,158.17,159.22,156.11,156.27,155.913950786,536396,0.0000,1.0
2022-10-10,158.9,159.3,156.265,158.18,157.819598997,374704,0.0000,1.0
2022-10-07,160.27,160.6,156.5,157.49,157.13117111,509026,0.0000,1.0
2022-10-06,163.41,164.94,162.01,162.2,161.830439736,538256,0.0000,1.0
2022-10-05,161.76,165.875,161.241,164.11,163.736087947,654861,0.0000,1.0
2022-10-04,163.49,165.52,163.3,163.96,163.586429711,653658,0.0000,1.0
2022-10-03,158.87,162.095,158.04,160.4,160.034540898,912498,0.0000,1.0
