timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,181.62,183.34,177.32,177.54,177.54,828482,0.0000,1.0
2022-11-25,180.99,183.67,180.0,182.87,182.87,454831,0.0000,1.0
2022-11-23,178.75,181.61,178.05,180.05,180.05,629329,0.0000,1.0
2022-11-22,180.35,181.7,178.38,178.65,178.65,990871,0.0000,1.0
2022-11-21,174.0,180.98,173.905,179.95,179.95,1205000,0.0000,1.0
2022-11-18,172.41,174.11,170.7,173.54,173.54,1266588,0.0000,1.0
2022-11-17,172.56,173.46,167.81,170.23,170.23,1960699,0.0000,1.0
2022-11-16,177.0,178.34,173.67,174.51,174.51,1609296,0.0000,1.0
2022-11-15,176.98,178.385,174.66,177.0,177.0,1831089,0.0000,1.0
2022-11-14,178.13,178.78,173.8,173.98,173.98,1209729,0.0000,1.0
2022-11-11,181.11,181.11,177.49,178.27,178.27,880833,0.0000,1.0
2022-11-10,177.03,181.61,175.64,181.11,181.11,1386181,0.0000,1.0
2022-11-09,170.14,172.54,169.0,169.87,169.87,854520,0.0000,1.0
2022-11-08,169.3,172.645,167.69,170.6,170.6,773912,0.0000,1.0
2022-11-07,167.7,168.64,166.46,168.49,168.49,895486,0.0000,1.0
2022-11-04,166.64,167.59,162.94,166.52,166.52,1061330,0.0000,1.0
2022-11-03,167.12,168.44,165.09,165.37,165.37,1087169,0.0000,1.0
2022-11-02,172.62,178.62,169.28,169.33,169.33,1814268,0.0000,1.0
2022-11-01,183.48,185.103,180.4,181.47,181.47,779457,0.0000,1.0
2022-10-31,181.71,186.86,180.35,182.83,182.83,1405682,0.0000,1.0
2022-10-28,176.94,181.56,176.82,181.12,181.12,625140,0.0000,1.0
2022-10-27,173.77,177.48,172.605,176.41,176.41,753888,0.0000,1.0
2022-10-26,174.47,176.71,173.29,173.52,173.52,704685,0.0000,1.0
2022-10-25,169.95,174.08,169.475,173.82,173.82,785163,0.0000,1.0
2022-10-24,168.96,170.02,166.96,169.46,169.46,657483,0.0000,1.0
2022-10-21,165.38,167.75,163.79,166.99,166.99,852794,0.0000,1.0
2022-10-20,169.47,169.47,164.515,165.69,165.69,834861,0.0000,1.0
2022-10-19,171.12,173.25,168.63,169.36,169.36,676922,0.0000,1.0
2022-10-18,175.08,176.415,172.84,173.86,173.86,738171,0.0000,1.0
2022-10-17,169.16,173.14,168.93,171.44,171.44,1194996,0.0000,1.0
2022-10-14,172.26,173.12,166.35,166.84,166.84,675277,0.0000,1.0
2022-10-13,164.9,170.39,163.64,169.74,169.74,1169305,0.0000,1.0
2022-10-12,170.78,170.78,168.06,168.1,168.1,550098,0.0000,1.0
2022-10-11,169.14,171.14,168.39,169.5,169.5,807264,0.0000,1.0
2022-10-10,171.35,172.24,168.72,169.67,169.67,464140,0.0000,1.0
2022-10-07,174.07,174.54,169.91,170.56,170.56,705440,0.0000,1.0
2022-10-06,180.63,180.72,175.6,175.69,175.69,615119,0.0000,1.0
2022-10-05,178.96,181.12,177.72,179.93,179.93,947348,0.0000,1.0
2022-10-04,176.35,180.1199,176.35,179.69,179.69,766943,0.0000,1.0
2022-10-03,171.8,175.13,171.17,174.36,174.36,890359,0.0000,1.0
2022-09-30,173.98,174.33,169.95,170.53,170.53,919787,0.0000,1.0
2022-09-29,172.29,173.77,170.74,173.55,173.55,683041,0.0000,1.0
2022-09-28,172.57,174.66,171.215,173.73,173.73,939325,0.0000,1.0
2022-09-27,174.21,175.01,170.49,171.03,171.03,654300,0.0000,1.0
2022-09-26,175.45,176.45,172.705,173.42,173.42,707776,0.0000,1.0
2022-09-23,175.43,175.68,172.93,175.2,175.2,691427,0.0000,1.0
2022-09-22,179.3,180.13,174.96,175.06,175.06,643190,0.0000,1.0
2022-09-21,183.62,185.13,180.2,180.31,180.31,505600,0.0000,1.0
2022-09-20,183.57,183.94,180.58,182.33,182.33,409053,0.0000,1.0
2022-09-19,183.96,184.3,181.6,184.25,184.25,510462,0.0000,1.0
2022-09-16,183.93,184.955,182.2,184.43,184.43,1903589,0.0000,1.0
