timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,45.27,45.47,44.0,44.18,44.18,2271740,0.0000,1.0
2022-11-25,45.03,45.73,44.83,45.49,45.49,915844,0.0000,1.0
2022-11-23,44.3,44.95,44.27,44.92,44.92,1139701,0.0000,1.0
2022-11-22,44.09,44.9,43.82,44.68,44.68,3956221,0.0000,1.0
2022-11-21,43.9,44.17,43.52,44.08,44.08,1829664,0.0000,1.0
2022-11-18,44.07,44.18,43.145,44.07,44.07,1254280,0.0000,1.0
2022-11-17,43.15,43.475,42.78,43.35,43.35,1592512,0.0000,1.0
2022-11-16,44.73,44.8,43.63,43.74,43.74,1824982,0.0000,1.0
2022-11-15,45.5,45.745,44.47,44.93,44.93,2369747,0.0000,1.0
2022-11-14,44.94,45.61,44.7,44.77,44.77,2538128,0.0000,1.0
2022-11-11,45.05,45.69,44.85,45.31,45.31,2248174,0.0000,1.0
2022-11-10,43.32,44.98,43.08,44.86,44.86,2629453,0.0000,1.0
2022-11-09,41.95,43.47,41.67,41.75,41.75,2763114,0.0000,1.0
2022-11-08,40.91,43.24,40.91,42.22,42.22,4778667,0.0000,1.0
2022-11-07,39.78,42.17,39.68,40.61,40.61,3481312,0.0000,1.0
2022-11-04,36.75,39.67,36.75,39.49,39.49,3775795,0.0000,1.0
2022-11-03,36.77,37.41,35.89,37.0,37.0,3403830,0.0000,1.0
2022-11-02,38.5,38.76,37.331,37.37,37.37,2517308,0.0000,1.0
2022-11-01,38.9,39.24,38.29,38.41,38.41,2274908,0.0000,1.0
2022-10-31,39.33,39.74,39.03,39.13,39.13,2303681,0.0000,1.0
2022-10-28,38.49,39.78,38.34,39.69,39.69,1264246,0.0000,1.0
2022-10-27,39.16,39.65,38.58,38.71,38.71,1556756,0.0000,1.0
2022-10-26,39.1,39.6,38.385,38.69,38.69,1814737,0.0000,1.0
2022-10-25,37.43,39.185,37.26,39.12,39.12,2177902,0.0000,1.0
2022-10-24,37.61,37.6775,36.56,37.14,37.14,1811700,0.0000,1.0
2022-10-21,37.37,37.6,36.56,37.13,37.13,2389163,0.0000,1.0
2022-10-20,37.12,37.8,37.04,37.44,37.44,1668279,0.0000,1.0
2022-10-19,37.88,38.195,36.875,37.12,37.12,1670311,0.0000,1.0
2022-10-18,38.03,38.76,37.92,38.11,38.11,2286419,0.0000,1.0
2022-10-17,36.9,37.76,36.57,37.52,37.52,2748798,0.0000,1.0
2022-10-14,37.89,38.19,36.0,36.04,36.04,2577656,0.0000,1.0
2022-10-13,35.81,37.54,35.33,37.3,37.3,2830024,0.0000,1.0
2022-10-12,36.81,36.88,35.97,36.54,36.54,2026706,0.0000,1.0
2022-10-11,36.7,37.17,35.86,36.99,36.99,3587901,0.0000,1.0
2022-10-10,37.48,38.07,36.565,36.62,36.62,2271563,0.0000,1.0
2022-10-07,38.24,38.28,37.275,37.72,37.72,2470961,0.0000,1.0
2022-10-06,39.87,40.0,38.1826,38.33,38.33,1671495,0.0000,1.0
2022-10-05,39.98,40.185,38.4,39.86,39.86,2601763,0.0000,1.0
2022-10-04,40.87,41.93,40.48,40.85,40.85,3721232,0.0000,1.0
2022-10-03,40.85,41.03,39.941,40.61,40.61,2517941,0.0000,1.0
2022-09-30,39.81,40.46,39.27,40.17,40.17,3212972,0.4500,1.0
2022-09-29,40.73,40.95,38.7,39.65,39.210745938,1962930,0.0000,1.0
2022-09-28,40.73,41.67,40.43,41.25,40.7930206795,2389562,0.0000,1.0
2022-09-27,41.83,42.16,40.25,40.41,39.9623264402,2135711,0.0000,1.0
2022-09-26,43.22,43.22,41.03,41.51,41.050140325,2399555,0.0000,1.0
2022-09-23,43.94,44.24,42.78,43.43,42.9488700148,1686567,0.0000,1.0
2022-09-22,45.38,45.38,44.18,44.55,44.0564623338,1629629,0.0000,1.0
2022-09-21,46.79,47.24,45.5,45.52,45.0157163959,1606489,0.0000,1.0
2022-09-20,46.91,47.365,46.15,46.41,45.8958567208,1471861,0.0000,1.0
2022-09-19,47.47,47.58,46.97,47.49,46.9638921713,1675255,0.0000,1.0
2022-09-16,47.09,48.17,46.35,48.0,47.4682422452,3579822,0.0000,1.0
2022-09-15,48.44,48.507,47.25,47.34,46.8155539143,1608857,0.0000,1.0
2022-09-14,48.68,48.73,47.57,48.42,47.8835893648,2071960,0.0000,1.0
2022-09-13,49.61,49.97,48.79,49.02,48.4769423929,1963932,0.0000,1.0
2022-09-12,49.98,50.52,49.7226,50.49,49.9306573117,1531323,0.0000,1.0
2022-09-09,48.7,49.65,48.45,49.6,49.0505169867,1285844,0.0000,1.0
2022-09-08,48.67,49.42,48.35,48.51,47.9725923191,1274198,0.0000,1.0
2022-09-07,48.02,49.04,47.85,48.96,48.4176070901,1729542,0.0000,1.0
2022-09-06,47.59,48.11,47.155,48.06,47.527577548,1735284,0.0000,1.0
2022-09-02,48.77,48.85,47.245,47.35,46.8254431315,1430906,0.0000,1.0
2022-09-01,47.49,48.25,47.245,48.2,47.6660265879,1559356,0.0000,1.0
2022-08-31,47.86,48.3378,47.6,47.86,47.3297932053,2676073,0.0000,1.0
2022-08-30,48.41,48.585,47.46,47.55,47.0232274742,1491244,0.0000,1.0
2022-08-29,48.14,48.82,47.645,48.4,47.8638109306,1669514,0.0000,1.0
2022-08-26,49.05,49.16,48.28,48.3,47.7649187592,1727405,0.0000,1.0
2022-08-25,48.62,49.07,48.38,49.03,48.48683161,1518795,0.0000,1.0
2022-08-24,48.13,48.7,48.04,48.24,47.7055834564,1817792,0.0000,1.0
2022-08-23,49.21,49.34,48.035,48.16,47.6264697194,2162537,0.0000,1.0
2022-08-22,48.66,49.24,48.24,49.18,48.6351698671,2469051,0.0000,1.0
2022-08-19,48.61,49.28,48.49,48.91,48.3681610044,3781739,0.0000,1.0
2022-08-18,50.76,50.76,48.85,49.02,48.4769423929,2434164,0.0000,1.0
2022-08-17,50.18,50.88,49.91,50.51,49.9504357459,1473323,0.0000,1.0
2022-08-16,50.72,50.91,50.15,50.61,50.0493279173,1996798,0.0000,1.0
2022-08-15,52.34,52.34,50.675,50.9,50.3361152142,1634917,0.0000,1.0
2022-08-12,51.87,52.51,51.86,52.46,51.8788330871,1344685,0.0000,1.0
2022-08-11,51.9,52.15,51.035,51.55,50.9789143279,1362996,0.0000,1.0
2022-08-10,51.09,51.63,50.56,51.5,50.9294682422,1898354,0.0000,1.0
2022-08-09,49.81,50.63,49.49,50.56,49.9998818316,1679489,0.0000,1.0
2022-08-08,49.53,50.08,49.0501,49.67,49.1197415066,1680733,0.0000,1.0
2022-08-05,49.76,50.59,48.21,48.95,48.407717873,2781665,0.0000,1.0
2022-08-04,51.57,51.695,50.48,50.87,50.3064475628,1893569,0.0000,1.0
2022-08-03,52.32,52.7,51.53,51.56,50.9888035451,1442499,0.0000,1.0
2022-08-02,53.07,53.38,52.07,52.16,51.5821565731,1431430,0.0000,1.0
2022-08-01,53.6,53.94,53.26,53.29,52.6996381093,1443031,0.0000,1.0
2022-07-29,53.36,54.11,52.84,53.78,53.1842097489,4192090,0.0000,1.0
2022-07-28,52.55,53.37,52.34,53.32,52.7293057607,1266779,0.0000,1.0
2022-07-27,52.6,52.88,51.93,52.33,51.7502732644,1208000,0.0000,1.0
2022-07-26,52.56,53.07,52.26,52.65,52.0667282127,1749242,0.0000,1.0
2022-07-25,51.69,52.6997,51.35,52.43,51.8491654357,1883172,0.0000,1.0
2022-07-22,51.76,52.43,51.48,51.78,51.206366322,1061508,0.0000,1.0
2022-07-21,51.18,51.32,49.9,51.29,50.7217946824,1160472,0.0000,1.0
2022-07-20,51.48,52.09,50.99,51.51,50.9393574594,895416,0.0000,1.0
2022-07-19,50.72,51.58,50.35,51.49,50.9195790251,1299863,0.0000,1.0
2022-07-18,50.84,51.03,50.12,50.35,49.7922082718,1196519,0.0000,1.0
2022-07-15,50.78,51.0675,49.72,50.74,50.17788774,1575154,0.0000,1.0
2022-07-14,49.19,50.075,48.88,49.89,49.3373042836,1030471,0.0000,1.0
2022-07-13,50.76,50.88,49.54,50.25,49.6933161004,1673707,0.0000,1.0
2022-07-12,50.5,51.76,50.5,51.36,50.7910192024,1236076,0.0000,1.0
2022-07-11,50.5,50.99,50.37,50.8,50.2372230428,925285,0.0000,1.0
2022-07-08,50.76,51.46,50.545,50.77,50.2075553914,960891,0.0000,1.0
2022-07-07,51.27,51.53,50.635,50.76,50.1976661743,1332318,0.0000,1.0
2022-07-06,51.95,52.46,50.98,51.05,50.4844534712,1356847,0.0000,1.0
2022-07-05,52.38,52.42,50.6,51.79,51.2162555391,1603267,0.0000,1.0
2022-07-01,51.27,52.86,51.11,52.74,52.1557311669,1933945,0.0000,1.0
2022-06-30,51.52,52.07,50.6509,51.43,50.8602437223,2728114,0.4500,1.0
2022-06-29,50.95,51.65,50.91,51.56,50.5465336608,1609356,0.0000,1.0
2022-06-28,52.1,52.61,50.99,51.11,50.1053788868,1430957,0.0000,1.0
2022-06-27,51.13,52.37,50.74,51.57,50.5563371002,1291221,0.0000,1.0
2022-06-24,50.2,51.49,49.6,51.23,50.2230201599,2377114,0.0000,1.0
2022-06-23,49.95,50.28,49.41,49.94,48.9583764744,1226956,0.0000,1.0
2022-06-22,47.82,50.48,47.7855,49.75,48.7721111254,1898732,0.0000,1.0
2022-06-21,49.48,49.83,48.48,48.55,47.5956983947,3095002,0.0000,1.0
2022-06-17,49.15,50.085,48.33,48.98,48.0172462899,3929762,0.0000,1.0
