timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,41.43,41.66,40.635,40.81,40.81,4688234,0.0000,1.0
2022-11-25,41.67,41.97,41.42,41.66,41.66,2225476,0.0000,1.0
2022-11-23,41.6,41.94,41.5,41.76,41.76,3889515,0.0000,1.0
2022-11-22,41.48,41.84,41.11,41.79,41.79,5697260,0.0000,1.0
2022-11-21,39.83,40.66,39.61,40.59,40.59,5107810,0.0000,1.0
2022-11-18,40.865,40.95,39.26,39.75,39.75,6945095,0.0000,1.0
2022-11-17,39.76,40.37,39.6013,40.13,40.13,5910483,0.0000,1.0
2022-11-16,40.76,41.13,40.26,40.39,40.39,4833410,0.0000,1.0
2022-11-15,41.0,41.58,40.25,40.65,40.65,6767488,0.0000,1.0
2022-11-14,40.8,41.54,40.4,40.54,40.54,8301937,0.4800,1.0
2022-11-11,40.39,41.565,39.4,41.26,40.7771916138,13101340,0.0000,1.0
2022-11-10,38.02,38.53,37.5842,38.49,38.0396050707,8824985,0.0000,1.0
2022-11-09,38.08,38.14,36.85,36.89,36.4583276451,6830460,0.0000,1.0
2022-11-08,38.51,39.505,37.775,38.29,37.8419453925,8082852,0.0000,1.0
2022-11-07,37.77,39.13,37.7,38.59,38.1384349098,12631364,0.0000,1.0
2022-11-04,36.1,37.125,35.93,37.07,36.6362213554,7478691,0.0000,1.0
2022-11-03,35.56,35.94,35.14,35.74,35.3217844954,5609770,0.0000,1.0
2022-11-02,36.81,37.0,35.79,35.81,35.3909653827,8127765,0.0000,1.0
2022-11-01,36.66,36.7,36.07,36.26,35.8356996587,5473071,0.0000,1.0
2022-10-31,36.525,36.805,36.23,36.5,36.0728912726,9705822,0.0000,1.0
2022-10-28,35.7,36.635,35.57,36.58,36.1519551438,6883520,0.0000,1.0
2022-10-27,35.88,36.215,35.635,35.67,35.252603608,5581571,0.0000,1.0
2022-10-26,35.81,36.125,35.445,35.51,35.0944758654,5740491,0.0000,1.0
2022-10-25,34.4,35.595,34.4,35.52,35.1043588493,6596858,0.0000,1.0
2022-10-24,34.4,34.75,34.07,34.69,34.2840711848,7655563,0.0000,1.0
2022-10-21,33.4,34.54,33.21,34.3,33.8986348123,9883826,0.0000,1.0
2022-10-20,33.5,34.035,33.32,33.36,32.9696343247,6223570,0.0000,1.0
2022-10-19,32.91,33.59,32.8264,33.39,32.9992832765,8462627,0.0000,1.0
2022-10-18,33.46,33.88,32.7,33.1,32.7126767431,10005528,0.0000,1.0
2022-10-17,33.73,33.98,32.96,33.0,32.6138469039,13122911,0.0000,1.0
2022-10-14,33.7,34.24,33.2,33.24,32.8510385178,10481560,0.0000,1.0
2022-10-13,31.91,34.005,31.77,33.65,33.2562408581,21806889,0.0000,1.0
2022-10-12,32.65,32.88,31.88,31.94,31.5662506095,9555918,0.0000,1.0
2022-10-11,32.03,33.17,31.935,32.61,32.2284105314,10981802,0.0000,1.0
2022-10-10,30.865,32.1601,30.83,31.84,31.4674207704,10560001,0.0000,1.0
2022-10-07,32.03,32.07,30.39,30.52,30.1628668942,11291088,0.0000,1.0
2022-10-06,33.1,33.26,32.18,32.25,31.8726231107,5417625,0.0000,1.0
2022-10-05,33.29,33.38,32.705,33.16,32.7719746465,5308048,0.0000,1.0
2022-10-04,32.61,33.4,32.6,33.39,32.9992832765,6426739,0.0000,1.0
2022-10-03,31.81,32.51,31.29,32.43,32.0505168211,8336173,0.0000,1.0
2022-09-30,31.66,31.79,31.345,31.4,31.0325694783,8035324,0.0000,1.0
2022-09-29,32.81,32.81,31.225,31.55,31.180814237,8232149,0.0000,1.0
2022-09-28,32.6,33.2997,32.265,33.2,32.8115065822,6680132,0.0000,1.0
2022-09-27,33.0,33.22,32.33,32.43,32.0505168211,6142260,0.0000,1.0
2022-09-26,32.58,33.01,32.44,32.69,32.3074744027,5483439,0.0000,1.0
2022-09-23,33.04,33.15,32.38,32.83,32.4458361775,6093587,0.0000,1.0
2022-09-22,33.42,33.53,32.92,33.32,32.9301023891,4873391,0.0000,1.0
2022-09-21,34.196,34.4099,33.43,33.43,33.0388152121,5001246,0.0000,1.0
2022-09-20,33.95,34.1,33.53,33.99,33.5922623111,5080192,0.0000,1.0
2022-09-19,34.0,34.2,33.7,34.15,33.7503900536,5372701,0.0000,1.0
2022-09-16,34.09,34.69,33.86,34.27,33.8689858606,10565804,0.0000,1.0
2022-09-15,34.77,35.18,33.95,34.23,33.8294539249,10889794,0.0000,1.0
2022-09-14,34.9,34.995,34.51,34.77,34.3631350561,6422701,0.0000,1.0
2022-09-13,36.088,36.31,34.615,34.74,34.3334861043,9039378,0.0000,1.0
2022-09-12,36.63,37.2,36.35,36.63,36.2013700634,9084357,0.0000,1.0
2022-09-09,36.3,36.66,36.045,36.24,35.8159336909,10235399,0.0000,1.0
2022-09-08,35.92,36.135,35.31,35.96,35.5392101414,7744072,0.0000,1.0
2022-09-07,35.49,36.13,34.93,36.08,35.6578059483,7661182,0.0000,1.0
2022-09-06,35.55,35.71,35.04,35.32,34.9066991711,8695498,0.0000,1.0
2022-09-02,35.47,35.975,35.1101,35.27,34.8572842516,7259746,0.0000,1.0
2022-09-01,34.96,35.29,34.53,35.26,34.8474012677,7461545,0.0000,1.0
2022-08-31,35.31,35.815,35.03,35.06,34.6497415895,7828470,0.0000,1.0
2022-08-30,36.14,36.14,35.15,35.18,34.7683373964,6668756,0.0000,1.0
2022-08-29,35.95,36.22,35.635,35.96,35.5392101414,5311881,0.0000,1.0
2022-08-26,36.94,36.99,36.0,36.0,35.578742077,6927646,0.0000,1.0
2022-08-25,36.86,37.05,36.63,36.8,36.3693807899,6433329,0.0000,1.0
2022-08-24,37.28,37.4,36.57,36.77,36.3397318381,7603048,0.0000,1.0
2022-08-23,37.33,37.72,37.21,37.44,37.0018917601,5044157,0.0000,1.0
2022-08-22,38.0,38.03,37.18,37.31,36.8734129693,6320806,0.0000,1.0
2022-08-19,38.12,38.535,38.0801,38.22,37.7727645051,6908716,0.0000,1.0
2022-08-18,40.555,40.555,37.86,38.24,37.7925304729,16450367,0.4800,1.0
2022-08-17,41.65,41.84,40.77,40.87,39.8910310028,6499337,0.0000,1.0
2022-08-16,41.198,42.1,41.1001,42.04,41.0330057098,6892788,0.0000,1.0
2022-08-15,40.63,41.11,40.33,41.07,40.0862403544,4783315,0.0000,1.0
2022-08-12,40.22,40.76,39.97,40.59,39.6177379106,4416343,0.0000,1.0
2022-08-11,40.08,40.591,40.0,40.07,39.1101935964,4553903,0.0000,1.0
2022-08-10,39.79,40.16,39.66,39.9,38.9442656475,5888588,0.0000,1.0
2022-08-09,39.76,39.87,38.73,39.13,38.1927096438,5469183,0.0000,1.0
2022-08-08,39.195,40.25,39.195,39.48,38.5343260091,5133900,0.0000,1.0
2022-08-05,38.92,39.14,38.62,38.99,38.0560630976,5611833,0.0000,1.0
2022-08-04,39.35,39.65,38.85,38.98,38.04630263,5091642,0.0000,1.0
2022-08-03,39.48,39.7,38.915,39.19,38.2512724492,8437371,0.0000,1.0
2022-08-02,39.97,40.0151,39.02,39.05,38.1146259031,6274262,0.0000,1.0
2022-08-01,39.62,40.09,39.33,39.89,38.9345051799,5538277,0.0000,1.0
2022-07-29,39.44,39.79,39.345,39.62,38.6709725552,9741703,0.0000,1.0
2022-07-28,39.32,39.64,38.78,39.44,38.4952841388,4400356,0.0000,1.0
2022-07-27,38.79,39.325,38.38,39.22,38.280553852,4707481,0.0000,1.0
2022-07-26,38.23,39.07,38.01,38.85,37.9194165515,4566498,0.0000,1.0
2022-07-25,38.93,39.13,38.43,38.75,37.8218118757,3825710,0.0000,1.0
2022-07-22,38.77,39.22,38.38,38.66,37.7339676675,4429452,0.0000,1.0
2022-07-21,37.56,38.51,37.54,38.46,37.5387583158,5726808,0.0000,1.0
2022-07-20,38.58,38.97,38.23,38.92,37.9877398246,5014483,0.0000,1.0
2022-07-19,38.73,39.03,38.535,38.6,37.675404862,5398316,0.0000,1.0
2022-07-18,38.33,38.62,38.09,38.32,37.4021117697,4421102,0.0000,1.0
2022-07-15,37.26,38.05,37.04,38.03,37.1190582099,7469619,0.0000,1.0
2022-07-14,36.9,37.28,36.57,36.86,35.9770835029,8298439,0.0000,1.0
2022-07-13,37.56,37.94,37.105,37.24,36.347981271,5641515,0.0000,1.0
2022-07-12,37.42,38.95,37.32,37.97,37.0604954044,5868449,0.0000,1.0
2022-07-11,37.42,37.915,37.33,37.43,36.533430155,6707816,0.0000,1.0
2022-07-08,38.26,38.49,37.5,37.55,36.650555766,7066770,0.0000,1.0
2022-07-07,38.02,38.28,37.595,38.21,37.2947466263,6053295,0.0000,1.0
2022-07-06,38.39,38.59,37.702,37.78,36.8750465203,5951942,0.0000,1.0
2022-07-05,37.92,38.545,37.705,38.51,37.5875606537,6969814,0.0000,1.0
2022-07-01,37.63,38.61,36.975,38.56,37.6363629916,9291855,0.0000,1.0
2022-06-30,39.52,39.67,37.71,37.9,36.9921721313,15611717,0.0000,1.0
2022-06-29,40.92,41.085,40.435,40.87,39.8910310028,6099225,0.0000,1.0
2022-06-28,41.03,42.74,40.9,40.96,39.978875211,7825456,0.0000,1.0
2022-06-27,41.87,42.34,41.55,42.19,41.1794127235,7140577,0.0000,1.0
2022-06-24,41.29,41.97,41.08,41.65,40.6523474741,8093912,0.0000,1.0
2022-06-23,40.89,41.475,40.39,40.89,39.910551938,6354094,0.0000,1.0
2022-06-22,39.68,40.8123,39.68,40.45,39.4810913644,6332792,0.0000,1.0
2022-06-21,39.61,40.325,39.17,40.1,39.1394749991,5493155,0.0000,1.0
2022-06-17,39.54,40.585,39.27,39.32,38.3781585278,11970373,0.0000,1.0
2022-06-16,40.35,40.35,39.14,39.67,38.7197748931,7784852,0.0000,1.0
2022-06-15,40.525,41.24,40.15,40.73,39.7543844567,6439129,0.0000,1.0
2022-06-14,40.54,40.74,39.77,40.2,39.2370796749,6428933,0.0000,1.0
2022-06-13,40.86,41.221,40.1,40.28,39.3151634155,6696717,0.0000,1.0
2022-06-10,41.34,41.92,41.08,41.54,40.5449823307,6057563,0.0000,1.0
2022-06-09,42.4,42.71,41.69,41.72,40.7206707472,5207266,0.0000,1.0
2022-06-08,42.85,43.065,42.39,42.6,41.5795918943,3291040,0.0000,1.0
2022-06-07,42.87,43.11,42.3,43.0,41.9700105975,4086955,0.0000,1.0
2022-06-06,43.38,43.93,43.14,43.39,42.3506688332,3611446,0.0000,1.0
2022-06-03,43.51,43.79,42.925,43.14,42.1066571437,4011958,0.0000,1.0
2022-06-02,43.38,43.495,42.17,43.43,42.3897107035,4860012,0.0000,1.0
2022-06-01,43.9,43.99,42.79,43.26,42.2237827546,4691123,0.0000,1.0
2022-05-31,43.48,44.27,43.05,43.83,42.7801294067,8192026,0.0000,1.0
2022-05-27,43.16,43.75,42.95,43.71,42.6630037958,4928809,0.0000,1.0
2022-05-26,42.93,43.505,42.86,43.04,42.0090524679,7261758,0.0000,1.0
2022-05-25,42.05,42.715,41.72,42.46,41.4429453482,5544123,0.0000,1.0
2022-05-24,41.98,42.16,41.28,42.08,41.0720475801,5290569,0.0000,1.0
2022-05-23,41.35,42.4,41.28,42.15,41.1403708532,6888729,0.0000,1.0
2022-05-20,40.85,41.045,39.715,40.96,39.978875211,7370382,0.0000,1.0
2022-05-19,40.56,41.05,39.76,40.61,39.6372588457,8323615,0.4775,1.0
2022-05-18,44.19,44.235,41.015,41.17,39.7168468921,15164132,0.0000,1.0
2022-05-17,44.25,44.96,43.69,44.94,43.3537794348,7089842,0.0000,1.0
2022-05-16,43.68,44.5,43.16,44.15,42.5916635969,4919163,0.0000,1.0
2022-05-13,43.5,43.705,42.97,43.55,42.0128414416,5781807,0.0000,1.0
2022-05-12,43.35,43.57,42.455,43.16,41.6366070406,6545712,0.0000,1.0
2022-05-11,43.51,44.29,43.215,43.35,41.8199007231,6218420,0.0000,1.0
2022-05-10,44.42,44.72,42.86,43.31,41.7813125794,8095946,0.0000,1.0
2022-05-09,43.87,44.535,43.55,43.85,42.3022525192,8900432,0.0000,1.0
2022-05-06,43.58,45.295,43.5,43.99,42.4373110222,10631839,0.0000,1.0
2022-05-05,44.28,44.35,43.375,43.78,42.2347232678,7884992,0.0000,1.0
2022-05-04,42.95,44.57,42.32,44.46,42.8907217105,9179285,0.0000,1.0
2022-05-03,42.79,43.29,42.4,42.94,41.4243722503,6968837,0.0000,1.0
2022-05-02,42.63,42.9924,41.8,42.52,41.0191967416,7691547,0.0000,1.0
2022-04-29,44.48,44.62,42.34,42.4,40.9034323105,11835530,0.0000,1.0
2022-04-28,44.48,44.895,44.11,44.53,42.958250962,6055505,0.0000,1.0
2022-04-27,44.92,45.04,43.89,44.23,42.6688398843,6936853,0.0000,1.0
2022-04-26,45.1,45.905,44.86,44.87,43.2862501833,6027058,0.0000,1.0
2022-04-25,45.22,45.495,44.165,45.39,43.7878960513,6572678,0.0000,1.0
2022-04-22,46.62,46.8,45.5,45.54,43.9326015901,5956532,0.0000,1.0
2022-04-21,46.72,47.275,46.225,46.81,45.1577751522,7106024,0.0000,1.0
2022-04-20,45.86,46.75,45.79,46.54,44.8973051823,5600634,0.0000,1.0
2022-04-19,44.69,45.66,44.66,45.6,43.9904838056,5328181,0.0000,1.0
2022-04-18,44.71,44.97,44.305,44.5,42.9293098542,3679131,0.0000,1.0
2022-04-14,44.66,45.425,44.62,44.81,43.2283679678,5289740,0.0000,1.0
2022-04-13,44.42,47.11,44.06,44.6,43.0257802134,12014101,0.0000,1.0
2022-04-12,44.54,44.965,44.05,44.23,42.6688398843,5168235,0.0000,1.0
2022-04-11,45.49,46.265,44.34,44.43,42.8617806027,7698530,0.0000,1.0
2022-04-08,45.18,45.795,44.75,45.42,43.816837159,6164893,0.0000,1.0
2022-04-07,44.43,45.21,43.695,45.11,43.5177790455,9526359,0.0000,1.0
2022-04-06,43.22,44.76,43.0611,44.31,42.7460161717,10504527,0.0000,1.0
2022-04-05,43.022,43.75,43.02,43.49,41.954959226,7868747,0.0000,1.0
2022-04-04,43.84,44.05,42.9,43.4,41.8681359027,9759313,0.0000,1.0
2022-04-01,44.54,44.77,43.18,43.86,42.3118995552,15009387,0.0000,1.0
2022-03-31,45.29,45.7414,44.17,44.77,43.1897798241,23284745,0.0000,1.0
2022-03-30,47.82,48.48,47.29,47.46,45.7848324872,8034400,0.0000,1.0
2022-03-29,47.594,47.84,47.0688,47.82,46.1321257804,5122941,0.0000,1.0
2022-03-28,47.0,47.36,46.65,47.19,45.5243625173,4496757,0.0000,1.0
2022-03-25,47.03,47.775,46.911,47.12,45.4568332658,4668217,0.0000,1.0
2022-03-24,46.87,47.35,46.31,47.02,45.3603629066,5413601,0.0000,1.0
2022-03-23,47.28,47.6,46.31,46.74,45.0902459008,7986702,0.0000,1.0
2022-03-22,47.78,48.165,47.01,47.43,45.7558913794,6979953,0.0000,1.0
2022-03-21,47.43,48.6175,47.085,47.38,45.7076561998,5630560,0.0000,1.0
2022-03-18,47.35,47.45,46.47,47.36,45.688362128,11012615,0.0000,1.0
2022-03-17,46.95,47.8184,46.73,47.48,45.804126559,5736270,0.0000,1.0
2022-03-16,48.27,48.41,46.67,47.38,45.7076561998,7484084,0.0000,1.0
2022-03-15,48.08,48.43,47.625,48.17,46.4697720377,3850198,0.0000,1.0
2022-03-14,47.84,48.455,47.12,47.91,46.2189491037,5277602,0.0000,1.0
2022-03-11,48.42,48.97,47.38,47.44,45.7655384154,5737993,0.0000,1.0
2022-03-10,47.652,48.195,47.1,48.07,46.3733016785,4999822,0.0000,1.0
2022-03-09,48.51,48.83,47.63,48.12,46.4215368581,5408382,0.0000,1.0
2022-03-08,47.2,48.75,47.14,47.47,45.7944795231,5710107,0.0000,1.0
2022-03-07,47.44,48.47,46.95,46.99,45.3314217988,6674395,0.0000,1.0
2022-03-04,46.11,47.79,46.05,47.72,46.0356554212,9602408,0.0000,1.0
2022-03-03,46.755,47.01,46.19,46.72,45.0709518289,7234332,0.0000,1.0
2022-03-02,45.26,46.27,44.92,46.15,44.5210707814,6247204,0.0000,1.0
2022-03-01,45.91,46.08,44.59,45.01,43.4213086862,5291965,0.0000,1.0
2022-02-28,45.6,46.4,45.34,46.09,44.4631885658,7033206,0.0000,1.0
