timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,98.19,98.7,97.14,97.54,97.54,979077,0.0000,1.0
2022-11-25,98.4,98.86,98.07,98.66,98.66,466576,0.0000,1.0
2022-11-23,96.98,98.15,96.9592,98.07,98.07,802021,0.0000,1.0
2022-11-22,96.99,98.2,96.72,97.13,97.13,1025059,0.0000,1.0
2022-11-21,95.9,97.6,95.75,96.73,96.73,1358119,0.0000,1.0
2022-11-18,94.09,95.89,93.6,95.7,95.7,1679152,0.0000,1.0
2022-11-17,93.52,93.655,92.59,93.02,93.02,1494493,0.0000,1.0
2022-11-16,93.46,95.12,93.46,94.41,94.41,1580420,0.0000,1.0
2022-11-15,93.19,94.0,92.19,93.26,93.26,1237790,0.0000,1.0
2022-11-14,93.57,93.96,92.49,92.53,92.53,1707849,0.0000,1.0
2022-11-11,94.09,94.09,92.4,93.15,93.15,2113865,0.0000,1.0
2022-11-10,91.69,94.37,90.69,94.15,94.15,1197648,0.7275,1.0
2022-11-09,91.41,91.52,90.11,90.35,89.6572158836,1652193,0.0000,1.0
2022-11-08,90.39,91.85,90.19,91.45,90.7487813233,1550039,0.0000,1.0
2022-11-07,91.15,91.31,88.48,90.12,89.4289794735,1452549,0.0000,1.0
2022-11-04,90.45,91.68,90.1,91.39,90.6892413902,1958615,0.0000,1.0
2022-11-03,89.56,91.17,88.59,90.39,89.6969091724,1452138,0.0000,1.0
2022-11-02,91.42,92.44,90.13,90.25,89.5579826619,2347150,0.0000,1.0
2022-11-01,90.78,92.26,90.29,91.95,91.2449474322,2341312,0.0000,1.0
2022-10-31,91.64,92.195,90.54,91.33,90.6297014571,2287434,0.0000,1.0
2022-10-28,89.0,91.91,89.0,91.6,90.897631156,1721709,0.0000,1.0
2022-10-27,88.58,89.76,88.35,88.72,88.0397143685,1229678,0.0000,1.0
2022-10-26,88.43,88.97,87.54,88.08,87.4046217491,1213152,0.0000,1.0
2022-10-25,86.77,88.1615,86.65,87.77,87.0969987616,1580879,0.0000,1.0
2022-10-24,87.37,88.12,86.32,86.76,86.0947432215,1140391,0.0000,1.0
2022-10-21,85.95,87.33,85.25,86.65,85.9855866776,1215817,0.0000,1.0
2022-10-20,86.52,87.01,85.11,85.44,84.7848646939,1690639,0.0000,1.0
2022-10-19,86.71,87.25,85.83,86.77,86.1046665437,1060615,0.0000,1.0
2022-10-18,86.93,88.13,86.74,87.79,87.1168454059,1383083,0.0000,1.0
2022-10-17,85.12,86.82,85.09,85.65,84.9932544597,1669921,0.0000,1.0
2022-10-14,85.5,85.96,82.9,84.3,83.6536059656,1954231,0.0000,1.0
2022-10-13,81.3,85.025,80.82,84.72,84.0703854971,2145973,0.0000,1.0
2022-10-12,85.2,85.2,82.17,82.23,81.5994782746,1960445,0.0000,1.0
2022-10-11,85.0,86.24,84.835,85.18,84.5268583173,1401299,0.0000,1.0
2022-10-10,85.69,86.89,85.19,85.3,84.6459381834,1797532,0.0000,1.0
2022-10-07,86.58,86.9332,84.755,85.48,84.8245579827,2334928,0.0000,1.0
2022-10-06,90.0,90.27,86.3,86.52,85.8565834892,2021015,0.0000,1.0
2022-10-05,92.13,92.13,89.58,90.56,89.8656056494,1441700,0.0000,1.0
2022-10-04,92.6,93.64,92.06,93.1,92.3861294828,1612786,0.0000,1.0
2022-10-03,91.29,93.45,90.28,92.6,91.8899633738,2084637,0.0000,1.0
2022-09-30,92.59,92.81,89.17,89.43,88.7442702432,2216048,0.0000,1.0
2022-09-29,95.29,95.29,91.66,91.81,91.1060209217,1225477,0.0000,1.0
2022-09-28,96.05,96.36,94.41,95.64,94.9066533161,1805842,0.0000,1.0
2022-09-27,97.61,97.7,94.45,94.77,94.0433242866,1301142,0.0000,1.0
2022-09-26,99.18,99.2811,96.41,97.21,96.4646148982,1192005,0.0000,1.0
2022-09-23,99.44,99.83,98.21,99.57,98.8065189323,1068481,0.0000,1.0
