timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,33.33,33.63,33.19,33.48,33.48,5807460,0.0000,1.0
2022-11-25,33.94,34.15,33.81,33.9,33.9,2108078,0.0000,1.0
2022-11-23,33.9,34.1,33.55,33.83,33.83,4032416,0.0000,1.0
2022-11-22,33.55,34.31,33.365,34.21,34.21,6366288,0.0000,1.0
2022-11-21,32.96,33.19,32.335,33.15,33.15,6415100,0.0000,1.0
2022-11-18,32.88,33.46,32.74,33.4,33.4,8510490,0.0000,1.0
2022-11-17,33.37,33.51,32.59,33.1,33.1,7848077,0.0000,1.0
2022-11-16,33.7,33.88,33.465,33.77,33.77,4642734,0.0000,1.0
2022-11-15,34.06,34.21,33.72,33.9,33.9,4467842,0.0000,1.0
2022-11-14,34.08,34.53,33.76,33.77,33.77,5113138,0.0000,1.0
2022-11-11,34.06,34.24,33.555,34.08,34.08,5767671,0.0000,1.0
2022-11-10,33.32,33.65,33.02,33.62,33.62,9389247,0.0000,1.0
2022-11-09,33.8,33.82,32.59,32.67,32.67,5655765,0.0000,1.0
2022-11-08,33.87,34.12,33.5302,33.96,33.96,4777122,0.0000,1.0
2022-11-07,33.67,34.065,33.49,33.84,33.84,5816370,0.0000,1.0
2022-11-04,33.72,33.825,33.09,33.54,33.54,5524154,0.0000,1.0
2022-11-03,32.88,33.355,32.58,33.15,33.15,6386380,0.0000,1.0
2022-11-02,33.44,33.75,32.975,33.04,33.04,7057250,0.0000,1.0
2022-11-01,33.28,33.84,33.07,33.44,33.44,7498512,0.0000,1.0
2022-10-31,32.53,33.145,32.45,32.73,32.73,10473310,0.0000,1.0
2022-10-28,32.84,32.89,32.22,32.67,32.67,6079624,0.0000,1.0
2022-10-27,32.61,32.865,32.415,32.5,32.5,5166105,0.0000,1.0
2022-10-26,32.08,32.34,31.865,32.15,32.15,5633883,0.0000,1.0
2022-10-25,31.0,31.875,30.93,31.85,31.85,5810052,0.0000,1.0
2022-10-24,31.66,31.66,30.975,31.1,31.1,5646876,0.0000,1.0
2022-10-21,30.97,31.76,30.69,31.52,31.52,8867495,0.0000,1.0
2022-10-20,31.24,31.24,30.56,30.9,30.9,9037838,0.0000,1.0
2022-10-19,30.41,31.085,30.32,30.88,30.88,5948552,0.0000,1.0
2022-10-18,30.19,30.7383,30.08,30.44,30.44,6239904,0.0000,1.0
2022-10-17,29.82,30.295,29.68,29.96,29.96,6089041,0.0000,1.0
2022-10-14,30.43,30.68,29.375,29.41,29.41,6948323,0.0000,1.0
2022-10-13,28.97,30.55,28.96,30.41,30.41,8315060,0.0000,1.0
2022-10-12,29.58,29.68,29.215,29.36,29.36,6608690,0.0000,1.0
2022-10-11,29.21,30.185,29.04,29.75,29.75,7521974,0.0000,1.0
2022-10-10,29.9,30.23,29.225,29.35,29.35,5571620,0.0000,1.0
2022-10-07,30.1,30.22,29.51,29.79,29.79,7169333,0.0000,1.0
2022-10-06,30.17,30.59,29.975,30.11,30.11,5950481,0.0000,1.0
2022-10-05,30.55,30.82,29.97,30.46,30.46,7109086,0.0000,1.0
