timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,118.14,119.26,117.2,117.67,117.67,1207617,0.0000,1.0
2022-11-25,118.45,119.545,118.3211,119.21,119.21,427925,0.0000,1.0
2022-11-23,116.37,118.19,116.27,118.01,118.01,1243093,0.0000,1.0
2022-11-22,114.52,115.46,113.26,115.33,115.33,834218,0.0000,1.0
2022-11-21,113.42,114.795,113.27,114.53,114.53,655432,0.0000,1.0
2022-11-18,113.61,114.51,112.44,114.09,114.09,770464,0.0000,1.0
2022-11-17,112.75,113.47,111.77,112.12,112.12,1124360,0.0000,1.0
2022-11-16,115.16,115.59,113.97,114.46,114.46,938145,0.0000,1.0
2022-11-15,114.76,115.64,113.39,115.12,115.12,1013604,0.0000,1.0
2022-11-14,114.8,115.82,113.28,113.31,113.31,1175678,0.0000,1.0
2022-11-11,113.54,115.97,113.085,115.56,115.56,1562183,0.0000,1.0
2022-11-10,109.38,113.13,109.38,112.9,112.9,989431,0.0000,1.0
2022-11-09,105.61,107.3185,105.0,105.77,105.77,1454532,0.0000,1.0
2022-11-08,107.28,108.285,105.442,106.23,106.23,927829,0.0000,1.0
2022-11-07,105.56,107.57,105.36,107.53,107.53,1321556,0.0000,1.0
2022-11-04,106.61,107.5,103.75,104.85,104.85,1734134,0.0000,1.0
2022-11-03,106.29,106.705,103.79,105.42,105.42,1321199,0.0000,1.0
2022-11-02,114.99,115.25,107.62,107.69,107.69,2487440,0.0000,1.0
2022-11-01,113.66,113.66,109.77,111.84,111.84,2429782,0.0000,1.0
2022-10-31,113.4,113.6,112.35,113.35,113.35,1229284,0.0000,1.0
2022-10-28,112.08,113.64,111.87,113.47,113.47,1209308,0.0000,1.0
2022-10-27,113.0,113.0,111.0,111.56,111.56,1051396,0.0000,1.0
2022-10-26,111.54,113.74,111.36,112.27,112.27,902161,0.0000,1.0
2022-10-25,109.27,111.0,109.11,110.73,110.73,1231413,0.0000,1.0
2022-10-24,108.55,109.14,107.433,109.03,109.03,778966,0.0000,1.0
2022-10-21,105.93,107.7,102.6,107.39,107.39,1116829,0.0000,1.0
2022-10-20,108.57,108.87,106.0804,106.33,106.33,915010,0.0000,1.0
2022-10-19,108.71,109.6,107.31,108.12,108.12,795649,0.0000,1.0
2022-10-18,112.52,113.44,108.78,109.03,109.03,1550023,0.0000,1.0
2022-10-17,108.59,111.105,108.39,110.51,110.51,1082827,0.0000,1.0
