,date,unemployment_rate,unemployment_change
273,2000-01-01,4.0,
272,2000-02-01,4.1,0.02499999999999991
271,2000-03-01,4.0,-0.024390243902438935
270,2000-04-01,3.8,-0.050000000000000044
269,2000-05-01,4.0,0.05263157894736836
268,2000-06-01,4.0,0.0
267,2000-07-01,4.0,0.0
266,2000-08-01,4.1,0.02499999999999991
265,2000-09-01,3.9,-0.04878048780487798
264,2000-10-01,3.9,0.0
263,2000-11-01,3.9,0.0
262,2000-12-01,3.9,0.0
261,2001-01-01,4.2,0.0769230769230771
260,2001-02-01,4.2,0.0
259,2001-03-01,4.3,0.023809523809523725
258,2001-04-01,4.4,0.023255813953488413
257,2001-05-01,4.3,-0.022727272727272818
256,2001-06-01,4.5,0.04651162790697683
255,2001-07-01,4.6,0.022222222222222143
254,2001-08-01,4.9,0.0652173913043479
253,2001-09-01,5.0,0.020408163265306145
252,2001-10-01,5.3,0.06000000000000005
251,2001-11-01,5.5,0.037735849056603765
250,2001-12-01,5.7,0.036363636363636376
249,2002-01-01,5.7,0.0
248,2002-02-01,5.7,0.0
247,2002-03-01,5.7,0.0
246,2002-04-01,5.9,0.03508771929824572
245,2002-05-01,5.8,-0.016949152542372947
244,2002-06-01,5.8,0.0
243,2002-07-01,5.8,0.0
242,2002-08-01,5.7,-0.01724137931034475
241,2002-09-01,5.7,0.0
240,2002-10-01,5.7,0.0
239,2002-11-01,5.9,0.03508771929824572
238,2002-12-01,6.0,0.016949152542372836
237,2003-01-01,5.8,-0.033333333333333326
236,2003-02-01,5.9,0.017241379310344973
235,2003-03-01,5.9,0.0
234,2003-04-01,6.0,0.016949152542372836
233,2003-05-01,6.1,0.016666666666666607
232,2003-06-01,6.3,0.032786885245901676
231,2003-07-01,6.2,-0.015873015873015817
230,2003-08-01,6.1,-0.016129032258064613
229,2003-09-01,6.1,0.0
228,2003-10-01,6.0,-0.016393442622950727
227,2003-11-01,5.8,-0.033333333333333326
226,2003-12-01,5.7,-0.01724137931034475
